numPlayed,heuristicList,remainingTime
241,20.0;18.0;16.0;14.0;11.0;10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;8.0;6.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0,900.0;800.0;700.0;518.1818181818182;461.18721461187204;425.92592592592587;435.6643356643358;468.91385767790257;518.3098591549297;580.6451612903227;654.299175500589;738.3647798742138;832.2946175637394;935.73883161512;1048.463356973995;1170.3056768558954;1301.1494252873563;1440.909090909091;1589.5204262877442;1746.9342251950948;1913.1121642969983;2088.0239520958085;2150.0459136822774;2000.0;1799.065420560747;1570.8333333333321;1398.9819890368053;1265.2719665271966;1158.6633144772682;1072.0823798626993;1000.787401574803;941.4807630132564;891.7981072555203;850.0;814.7782602974075;785.1301115241631;760.2739726027403;739.5916555703507;722.5877886744702;708.8607594936711;698.0815347721827;689.9779735682823;684.3230403800471;680.9258320662275;679.6246648793567;680.2816901408441;682.7786582144745;687.0135548753824;692.8979074191502;659.173754556502;628.4548104956266;600.448430493273;574.9055585536971;551.6129032258068;530.3867403314916;511.0679611650494;493.51808360732593;477.61601455869004;463.255403617115;450.34246575342604;438.79417879417906;428.5367825384001;419.50452221785326;411.6385911179177;404.88623647892564;399.1999999999989;394.5370698829365;390.8587257617728;388.1298613459594;386.31857237276927;385.3957996768986;385.3350189633393;386.1119703062168;387.7044215626893;390.09196084247924;393.25581395348854;397.1786833855813;401.8446059250982;407.2388264326855;413.3476856835314;420.1585204755611;427.65957446808534;435.8399184297723;444.68937875751726;454.1984732824403;464.35835351089554;475.1607525601339;486.5979381443285;498.6626700484194;511.3481615978217;524.648044692738;538.5563380281674;553.0674181660524;568.1759931653141;583.8770785097859;600.165975103735;617.0382491307009;634.4897135941901;652.5164113785559;671.1145996860305;690.2807357212023;710.0114635078316;730.3036017348677;751.1541325390899;772.5601911413341;794.5190562613407;817.0281412439508;840.084985835696;863.6872485569384;887.832699619772;912.519214346712;937.7447670492911;963.5074253295497;989.8053447707007;1016.6367639863001;1044.0000000000018;1071.8934439304503;1100.3155569580304;1129.2648665522083;1158.7399629400843;1188.7394957983233;1219.2621711520987;1250.3067484662588;1281.8720379146907;1313.9568978155712;1346.5602322206105;1379.6809886477931;1413.318155947638;1447.4707622939277;1482.1378732905414;1517.3185901865945;1553.012048192768;1589.217414892173;1625.933888739586;1663.1606976434541;1700.8970976253295;1739.1423715518376;1777.895827934699;1817.1567997945313;1856.9246435845253;1897.1987381703493;1937.9784838628966;1979.2633015006813;2021.0526315789466;2063.3459334227373;2106.1426844014495;2149.4423791821573;2193.244529019983;2237.548661082932;2282.3543178095024;2327.661056297158;2373.4684477199444;2419.7760767736763;2466.5835411471344;2513.8904510178836;2561.6964285714275;2610.0011075423645;2658.8041327764367;2708.1051598123704;2757.9038544824616;2808.199892530898;2858.992959248986;2910.282749126338;2962.0689655172428;3014.3513203214716;3067.129533678748;3120.4033336763023;3174.172456068656;3228.4366440093327;3283.195647793673;3338.4492246123045;3394.197138314783;3450.439159182868;3507.175063712999;3564.404634407554;3622.127659574471;3680.343933134787;3739.0532544378657;3798.2554280838194;3857.950263752824;3918.137576041183;3978.8171843035125;4039.988912501154;4101.652589056186;4163.80804671107;4226.455122393469;4289.593657086225;4353.223495702005;4417.344486962709;4481.956483283215;4547.059340659343;4612.652918559947;4678.737079822808;4745.311690554307;4812.376620032614;4879.931740614335;4947.976927644417;5016.512059369201;5085.537016852519;5155.051683894624;5225.0559469539985;5295.549695071702;5366.532819798409;5438.00521512386;5509.966777408637;5582.417405318294;5655.356999759591;5728.785463818931;5802.702702702703;5877.108623679647;5952.003136025087;6027.386150966937;6103.257581633443;6179.617343002621;6256.465351853276;6333.801526717554;6411.625787835066;6489.938057108324;6568.738258059668;6648.026315789477;6727.802156935657;6808.065709634455;6888.816903482293;6970.0556694989755;7051.781940091838;7133.995649021028;7216.696731365901;7299.885123492248;7383.560763020647;7467.723588795678;7552.373540856035;7637.510560405517;7723.134589784913;7809.245572444568;7895.843452917907;7982.928176795576;8070.499690700395;8158.557942262967;8247.102880098046;8336.134453781517;8425.652613827995
107,18.0;17.0;17.0;17.0;15.0;13.0;11.0;10.0;9.0;8.0;7.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0,1700.0;3366.6666666666665;5600.0;2600.0;1575.2688172043013;1093.5483870967744;889.0;759.8173515981737;658.2089552238806;567.6691729323306;481.3840155945418;396.279069767442;341.3127413127413;304.18041804180416;278.8184438040348;261.8925831202048;251.4176245210731;246.13778705636764;245.21988527724716;248.08935920046997;254.33715220949261;263.6641221374043;275.8464473056747;290.71332436069997;308.1321473951716;327.99839550742126;350.2285714285713;374.75516866158887;401.52301834544824;430.4865938430985;461.60799238820164;494.8554033485543;530.2019315188763;567.6246830092987;607.1040478130944;648.6231313926046;692.167300380228;737.7238165317631;785.2815395580901;834.8306841741532;886.362620165436;939.8697068403908;995.3451551614944;1052.7829123023212;1112.1775644871013;1173.5242548217411;1236.8186134852795;1302.0566981656484;1369.2349430276727;1438.3501148207033;1509.399274987054;1582.3797468354433;1657.2890870067686;1734.125060591372;1812.885619364025;1893.5688826902215;1976.1731207289286;2060.6967396159;2147.138268360345;2235.4963472281906;2325.7697174188106;2417.9572118702563;2512.0577470516473;2608.070315621255;2705.993979845569;2805.8278656889233;2907.5711574952547;3011.2230931939794;3116.78295997062;3224.2500903505606;3333.623858650537;3444.9036777583206;3558.08899620559;3673.1792955034543;3790.1740877134216;3909.0729132299566;4029.875338753387;4152.580955434436;4277.18937717357;4403.70023906039;4532.113195939708;4662.427921092563;4794.644105021462;4928.761454330477;5064.779690691566;5202.698549889561;5342.5177809388315;5484.237145265524;5627.856415949673;5773.375377022212;5920.793822812246;6070.111557340475;6221.328393754959;6374.444153805911;6529.458667356263;6686.371771925344;6845.183312262958;7005.893139951655;7168.501113034872;7333.0070956692;7499.410957798758;7667.712574850295;7837.91182744726;8010.008601141606;8184.002786162058;8359.89427717766;8537.682973075469
82,18.0;16.0;14.0;12.0;10.0;9.0;8.0;7.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0,800.0;700.0;600.0;500.0;458.974358974359;425.0;386.56716417910457;340.74074074074065;287.23404255319156;258.6206896551723;244.44444444444457;240.0;242.8571428571429;251.6339869281046;265.4867256637167;283.8709677419354;306.41975308641963;332.8767123287671;363.05732484076407;396.82539682539664;434.07821229050296;474.73684210526244;518.7396351575462;566.0377358490564;616.5919282511213;670.3703703703709;727.3469387755099;787.4999999999995;850.8114856429461;917.2661870503593;986.8512110726647;1059.5555555555557;1135.3697749196135;1214.2857142857147;1296.2962962962965;1381.39534883721;1469.577464788732;1560.837887067395;1655.1724137931042;1752.577319587629;1853.0492898913935;1956.585365853658;2063.1828978622325;2172.839506172839;2285.5530474040634;2401.3215859030834;2520.1433691756265;2642.0168067226887;2766.9404517453804;2894.91298527443;3025.9332023575625;3160.0;3297.112366603893;3437.269372693727;3580.470162748643;3726.713947990542;3876.000000000002;4028.327645051195;4183.696259073144;4342.105263157893;4503.554119547656;4668.042328042327;4835.569422776911;5006.134969325152;5179.738562091503;5356.379821958457;5536.058394160587;5718.773946360154;5904.526166902402;6093.314763231199;6285.139460448103;6480.000000000002;6677.896138482021;6878.827646544183;7082.794307891332;7289.795918367348;7499.832285115301;7712.903225806451;7929.008567931456;8148.14814814815;8370.321811680573;8595.529411764706
49,18.0;17.0;17.0;17.0;17.0;15.0;13.0;11.0;10.0;9.0;8.0;7.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.147483647E9,1700.0;3366.6666666666665;5600.0;8399.999999999996;3677.7777777777774;2099.9999999999995;1400.0;1100.0;915.5172413793102;777.3109243697477;660.7028753993611;554.9999999999998;454.9999999999998;388.8888888888887;342.85714285714266;310.00000000000045;286.48148148148175;270.0;259.09090909090946;252.77777777777828;250.38461538461524;251.4285714285711;255.5555555555552;262.50000000000045;272.05882352941217;284.0740740740739;298.4210526315792;315.00000000000045;333.730158730159;354.54545454545405;377.391304347826;402.2222222222226;428.99999999999955;457.6923076923081;488.27160493827205;520.7142857142853;555.0;591.1111111111104;629.0322580645161;668.75;710.2525252525265;753.5294117647063;798.5714285714284;845.3703703703704;893.9189189189192;944.2105263157891;996.2393162393164;1050.000000000001;995100.0
45,20.0;18.0;16.0;14.0;11.0;10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,900.0;800.0;700.0;518.1818181818182;461.18721461187204;425.92592592592587;435.6643356643358;468.91385767790257;518.3098591549297;580.6451612903227;654.299175500589;738.3647798742138;832.2946175637394;935.73883161512;1048.463356973995;1170.3056768558954;1301.1494252873563;1440.909090909091;1589.5204262877442;1746.9342251950948;1913.1121642969983;2088.0239520958085;2271.645329540066;2463.956639566396;2664.9417852522647;2874.5874587458748;3092.8825622775803;3319.817767653759;3555.385177071924;3799.5780590717313;4052.390640895219;4313.8179436804185;4583.855650522317;4862.5;5149.747699614129;5445.59585492228;5750.041911148364;6063.0836047774155;6384.718923198734;6714.946070878275;7053.763440860215;7401.169590643274;7757.163221667854;8121.743161798797;8494.908350305495
39,20.0;16.0;14.0;11.0;10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,400.0;455.55555555555566;375.8620689655172;367.9999999999999;364.0350877192983;398.0392156862745;453.90625;526.4069264069265;613.333333333333;713.5922330097089;826.5804597701147;951.9379844961236;1089.4366197183099;1238.9247311827953;1400.2976190476193;1573.4806629834252;1758.4192439862545;1955.072463768116;2163.409090909091;2383.40486409156;2615.040650406504;2858.3011583011585;3113.1740196078445;3379.649122807017;3657.718120805369;3947.3740621650586;4248.611111111111;4561.424332344214;4885.809523809525;5221.763085399449;5569.281914893618;5928.363324764352;6299.004975124377;6681.204819277109;7074.961059190031;7480.272108843539;7897.136563876649;8325.553176302641;8765.520833333334
39,20.0;16.0;14.0;11.0;10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,400.0;455.55555555555566;375.8620689655172;367.9999999999999;364.0350877192983;398.0392156862745;453.90625;526.4069264069265;613.333333333333;713.5922330097089;826.5804597701147;951.9379844961236;1089.4366197183099;1238.9247311827953;1400.2976190476193;1573.4806629834252;1758.4192439862545;1955.072463768116;2163.409090909091;2383.40486409156;2615.040650406504;2858.3011583011585;3113.1740196078445;3379.649122807017;3657.718120805369;3947.3740621650586;4248.611111111111;4561.424332344214;4885.809523809525;5221.763085399449;5569.281914893618;5928.363324764352;6299.004975124377;6681.204819277109;7074.961059190031;7480.272108843539;7897.136563876649;8325.553176302641;8765.520833333334
37,18.0;16.0;14.0;11.0;10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,800.0;700.0;491.3043478260869;457.1428571428571;439.3939393939395;473.3333333333335;534.2105263157896;614.4927536231883;711.1111111111111;822.5806451612907;948.0952380952381;1087.1794871794873;1239.5348837209299;1404.9645390070923;1583.3333333333335;1774.5454545454545;1978.5310734463278;2195.238095238096;2424.626865671642;2666.666666666666;2921.333333333334;3188.6075949367087;3468.4738955823286;3760.9195402298856;4065.934065934067;4383.508771929824;4713.636363636364;5056.310679611649;5411.526479750781;5779.279279279277;6159.565217391306;6552.380952380952;6957.723577235771;7375.590551181102;7805.979643765902;8248.888888888889;8704.31654676259
5,18.0;17.0;17.0;17.0;17.0;17.0,1700.0;3366.6666666666665;5600.0;8399.999999999996;11766.666666666668
4,18.0;17.0;17.0;17.0;17.0,1700.0;3366.6666666666665;5600.0;8399.999999999996
