numPlayed,heuristicList,remainingTime
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
115,10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0,90.0;176.66666666666666;293.3333333333333;440.0;616.6666666666666;823.3333333333333;1060.0;1326.6666666666667;1623.3333333333333;1949.9999999999995;2306.6666666666665;2693.333333333333;3109.9999999999995;3556.666666666667;4033.333333333334;4539.999999999997;5076.666666666667;5643.333333333331;6240.000000000001;6866.6666666666615;7523.333333333333;8210.000000000002;8926.666666666666;9673.333333333332;10450.0;11256.666666666662;12093.333333333334;12959.999999999998;13856.666666666666;14783.333333333338;15740.0;16726.666666666668;17743.333333333332;18790.00000000001;19866.666666666668;20973.33333333334;22110.000000000004;23276.666666666682;24473.333333333336;25699.999999999964;26956.666666666668;28243.33333333332;29560.0;30906.666666666642;32283.333333333336;33689.99999999999;35126.66666666667;36593.333333333336;38090.0;39616.66666666669;41173.333333333336;42759.999999999935;44376.66666666667;46023.33333333335;47699.99999999999;49406.66666666668;51143.33333333334;52910.00000000008;54706.66666666667;56533.33333333335;58389.99999999999;60276.666666666715;62193.33333333333;64139.99999999994;66116.66666666667;68123.33333333328;70160.00000000001;72226.66666666666;74323.33333333333;76449.99999999997;78606.66666666667;80793.33333333334;83010.00000000001;85256.66666666664;87533.33333333333;89840.00000000001;92176.66666666667;94543.33333333337;96940.0;99366.66666666672;101823.33333333334;104310.00000000001;106826.66666666669;109373.33333333327;111950.0;114556.66666666669;117193.33333333334;119859.99999999999;122556.66666666667;125283.33333333343;128039.99999999999;130826.66666666657;133643.3333333333;136489.99999999988;139366.66666666666;142273.33333333323;145209.99999999997;148176.66666666666;151173.33333333334;154199.9999999999;157256.66666666666;160343.33333333343;163460.0;166606.66666666657;169783.33333333334;172990.00000000026;176226.66666666666;179493.33333333326;182790.00000000003;186116.66666666677;189473.33333333334;192859.99999999994;196276.66666666666;199723.33333333334;203200.0
