numPlayed,heuristicList,remainingTime
36,19.0;11.0;14.0;10.0;13.0;12.0;13.0;14.0;14.0;14.0;13.0;11.0;13.0;10.0;13.0;13.0;13.0;13.0;13.0;14.0;10.0;12.0;13.0;9.0;8.0;8.0;9.0;9.0;10.0;10.0;10.0;8.0;10.0;10.0;11.0;11.0;2.147483647E9,137.5;486.6666666666665;412.5;830.7692307692307;1146.4646464646464;1864.705882352941;3624.999999999999;6872.727272727273;13368.749999999995;14199.999999999998;7636.23188405797;9375.0;5959.550561797752;7530.30303030303;9362.068965517241;11479.069767441862;13906.66666666667;16671.42857142857;26065.625;14967.741935483875;14936.61971830986;17711.59420289855;11740.855457227139;8400.000000000002;6750.0;6147.512437810945;5741.479099678458;5764.7058823529405;5818.337850045165;5896.984924623115;5448.689956331877;5601.097393689986;5765.369649805447;6207.428571428571;6665.889303482587;996400.0
25,17.0;15.0;15.0;15.0;11.0;10.0;13.0;13.0;12.0;13.0;13.0;14.0;13.0;14.0;12.0;14.0;14.0;13.0;10.0;13.0;13.0;13.0;13.0;13.0;14.0;14.0,750.0;1466.6666666666663;2433.333333333333;1016.6666666666667;780.1418439716313;1176.923076923077;1657.8947368421054;1904.7619047619046;2537.8378378378384;3269.2307692307695;4854.460093896713;5810.526315789473;8335.29411764706;7784.848484848488;10910.256410256408;15294.117647058822;16448.44444444445;10173.529411764706;11590.000000000002;13106.481481481478;14723.64864864865;16442.105263157897;18262.39316239316;24035.29411764707;32112.068965517232
23,17.0;14.0;11.0;11.0;13.0;13.0;14.0;14.0;13.0;14.0;12.0;14.0;12.0;12.0;13.0;11.0;13.0;13.0;10.0;14.0;14.0;12.0;13.0;14.0,466.66666666666674;366.66666666666674;480.95238095238085;1000.0;1753.623188405797;3833.333333333333;8292.307692307691;9599.999999999998;21660.000000000007;11666.666666666666;23283.33333333334;14449.999999999998;11808.333333333336;14009.333333333334;10030.487804878048;12136.585365853658;14512.195121951218;9864.705882352942;14100.000000000002;20681.159420289856;19362.499999999996;22660.0;33913.72549019608
20,17.0;12.0;15.0;11.0;10.0;12.0;13.0;13.0;14.0;14.0;12.0;13.0;11.0;10.0;13.0;13.0;13.0;11.0;13.0;14.0;14.0,240.0;1366.6666666666665;766.6666666666667;666.6666666666667;1033.3333333333333;1817.6470588235293;2927.272727272727;6100.0;13959.999999999995;10500.0;13750.0;8751.999999999998;5962.068965517242;7950.40650406504;10454.545454545454;13599.999999999996;11249.174917491748;14419.14893617021;23889.705882352948;45793.650793650784
18,17.0;11.0;13.0;12.0;13.0;14.0;13.0;13.0;13.0;13.0;12.0;13.0;13.0;11.0;13.0;14.0;11.0;14.0;14.0,183.33333333333337;583.3333333333333;869.2307692307693;1685.7142857142858;4416.666666666667;5900.0;7600.0;9516.666666666666;11650.0;9100.0;11520.430107526881;14275.000000000002;9320.33898305085;11787.356321839081;20297.619047619046;13405.405405405405;21955.757575757576;40266.666666666664
16,18.0;12.0;13.0;10.0;13.0;13.0;13.0;14.0;13.0;13.0;13.0;12.0;13.0;13.0;13.0;13.0;14.0,200.0;473.33333333333337;426.0869565217391;900.0;1593.3333333333335;2530.7692307692305;5215.0;6812.121212121213;8624.999999999996;10653.846153846156;9044.444444444443;11300.0;13856.097560975608;16722.222222222223;19906.976744186046;37428.571428571435
12,16.0;12.0;15.0;13.0;14.0;12.0;13.0;12.0;13.0;13.0;14.0;14.0;14.0,300.0;2766.6666666666665;2183.3333333333335;4466.666666666666;2739.583333333333;3500.0;3274.1935483870966;4305.882352941177;5481.081081081082;9299.999999999998;16133.333333333332;30024.99999999999
10,16.0;12.0;15.0;14.0;10.0;13.0;13.0;14.0;14.0;14.0;14.0,300.0;2766.6666666666665;4600.0;1140.0;1871.212121212121;2799.9999999999995;5563.157894736842;11123.809523809523;24300.0;74000.00000000001
4,14.0;12.0;13.0;13.0;14.0,600.0;2500.0;6350.0;999600.0
1,12.0;15.0,999900.0
1,15.0;15.0,999900.0
