numPlayed,heuristicList,remainingTime
456,8.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;0.0;2.0,70.0;60.0;81.42857142857142;111.99999999999997;150.0;195.0;246.84210526315792;305.45454545454544;370.79999999999984;442.8571428571429;521.6129032258065;426.9565217391305;387.86885245901647;372.1052631578948;368.68131868131866;372.8301886792452;382.1487603305785;395.2941176470589;411.45695364238406;430.1204819277109;450.939226519337;473.6734693877552;498.15165876777246;524.2477876106194;551.8672199170124;580.9375;611.4022140221402;643.2167832167834;676.345514950166;710.7594936708862;746.4350453172206;783.3526011560693;821.4958448753464;860.8510638297873;901.4066496163682;943.1527093596058;986.0807600950113;1030.1834862385322;968.8979591836733;922.0588235294117;885.8193979933108;857.60736196319;835.6373937677054;818.6315789473686;805.6511056511056;795.9907834101382;789.1106290672451;784.5901639344263;782.0970873786407;781.3653136531364;782.1792618629172;784.3624161073826;787.7688603531301;792.2769230769231;797.784342688331;804.2045454545453;811.4637482900137;819.4986807387861;828.2547770700639;837.6847290640392;847.7473182359952;858.4064665127019;869.6304591265398;881.3913043478262;893.6642027455123;906.4271047227926;919.6603396603398;933.3463035019454;947.4691943127962;962.0147874306838;976.970243462579;992.3239436619717;1008.0653482373175;1024.18487394958;1040.6737880032867;1057.524115755627;1074.7285601888277;1092.2804314329735;1110.1735849056604;1128.4023668639056;1146.9615663524294;1165.8463726884777;1185.0523377529662;1204.575342465754;1224.411566913248;1244.5574636723913;1265.0097339390013;1285.7653061224491;1306.82131661442;1328.175092478422;1349.8241358399027;1371.7661097852033;1393.9988256018792;1416.5202312138726;1439.3284006829822;1462.4215246636763;1485.7979017117618;1509.4559303590872;1533.394101876676;1557.6109936575049;1524.1880341880342;1493.7909135319987;1466.095551894563;1440.8234937935217;1417.734152226365;1396.6185829444225;1377.2944478674608;1359.6019108280257;1343.400270322456;1328.5651793525813;1314.9863363089812;1302.5655563430182;1291.2151520377074;1280.8565670137718;1271.4192175478802;1262.8395061728374;1255.0599781897495;1248.028597505324;1241.6981225541194;1236.025566531087;1230.9717289387704;1226.5007876934478;1188.9012312633836;1154.0800000000008;1121.7509549908655;1091.666265350349;1063.610205032619;1037.3941172045443;1012.8522975929977;989.8386069229132;968.2236661166112;947.8925205534392;928.7426843542726;910.6824944602722;893.6297187268688;877.5103734439831;862.2577144198035;847.8113726163888;834.1166107382555;821.1236814778381;808.787271561398;797.0660185039992;785.922089216288;775.3208114199856;765.2303503090966;755.6214241069279;746.4670531674215;737.7423380945775;729.4242630385484;721.4915208973161;713.9243576297854;706.7044332861246;699.8146976979515;693.2392790553145;686.9633838383838;680.9732067764021;675.255849680927;669.7992481494398;664.5921052631579;659.6238315125574;654.8844902787018;650.3647482800043;646.0558304647166;641.9494788906554;638.0379151869643;634.3138062390608;630.770232778455;627.4006605945351;624.1989141164854;621.1591521407468;618.2758455034595;615.5437565184411;612.9579200199637;610.5136258660509;608.2064027727106;606.0320033624548;603.9863903220066;602.0657235743788;600.26634837963;598.584784286817;597.0177148669268;595.5619781631344;594.2145578005957;592.9725747032344;591.8332793697045;590.7940446650127;589.8523590880309;589.0058204786887;588.252130131681;587.589087286382;587.0145839652205;586.5266001350642;586.1231991682762;585.8025235820164;585.5627910360886;585.4022905712022;585.3193790709834;585.3124779323489;585.38006993007;585.520696262437;585.7329537659489;586.01549228783;586.3670122060689;586.7862620873625;587.272036474164;587.8231737925303;588.4385543732155;589.1170985788722;589.8577650308057;590.6595489291803;591.5214804609213;592.442623290081;593.4220731256924;594.4589563625268;595.5524287904464;596.7016743683612;597.9059040590405;599.1643547212875;600.4762880562062;601.8409896045068;603.2577677919885;604.7259530205179;606.2448968019962;607.813970932958;609.4325667076032;611.1000941671746;612.8159813837583;614.5796737766623;616.390633459665;618.248338617515;620.1522829101768;622.1019749033726;624.0969375240893;626.1367075397857;628.2208350600913;630.3488830598844;632.5204269226833;634.7350540033467;636.9923632091304;639.2919645982297;641.6334789949351;644.016537620621;646.4407817398119;648.9058623206038;651.4114397087728;653.957183314933;656.5427713141335;659.1678903573179;661.8322352941177;664.5355089064474;667.277421652424;670.0576914201315;672.8760432908371;675.7322093111566;678.6259282738638;681.5569455069076;684.5250126703045;687.5298875605527;690.5713339222616;693.6491212666633;696.7630246967451;699.9128247386907;703.0983071793976;706.3192629097925;709.5754877737072;712.8667824221106;716.1929521724496;719.5538068728802;722.9491607712589;726.378832388596;729.842644396906;733.3404235011785;736.8720003253889;740.4372093023253;744.035888567139;747.6678798544172;751.3330283986957;755.0311828382314;758.7621951219512;762.5259204194217;766.3222170337508;770.1509463172965;774.0119725900827;777.9051630608205;781.8303877504381;785.7875194180274;789.7764334891199;793.7970079862025;797.8491234613948;801.9326629312163;806.047511813349;810.1935578653543;814.3706911252402;818.5788038538449;822.8177904789445;827.087547541063;831.3879736408567;835.7189693881201;840.080437352246;844.4722820141856;848.8944097197837;853.346728634494;857.8291486994017;862.3415815885105;866.8839406672669;871.4561409522557;876.0580990720528;880.6897332292056;885.350963163231;890.0417101147032;894.7618967903213;899.5114473289568;904.2902872686263;909.0983435143908;913.9355443071277;918.8018191931424;923.6970989946367;928.6213157809407;933.5744028405425;938.5562946538566;943.5669268667216;948.6062362646117;953.6741607475051;958.7706393054468;963.8956119947197;969.0490199146661;974.2308051850932;979.4409109242661;984.6792812274734;989.9458611461432;995.2405966674833;1000.5634346946454;1005.9143230273949;1011.2932103432631;1016.7000461791749;1022.1347809135341;1027.5973657487611;1033.0877526942486;1038.6058945497625;1044.15174488923;1049.7252580449294;1055.326389092078;1060.9550938337798;1066.61132878634;1072.2950511649433;1078.006218869662;1083.744790471821;1089.510725200651;1095.3039829303007;1101.1245241671122;1106.9723100372594;1112.8473022745811;1118.7494632087964;1124.678755753941;1130.6351433970658;1136.6185901872223;1142.6290607247256;1148.6665201505448;1154.730934136107;1160.8222688731985;1166.9404910641524;1173.0855679122578;1179.2574671123575;1185.4561568416802;1191.6816057508786;1197.9337829552433;1204.2126580261347;1210.5182009825976;1216.8503822831526;1223.2091728177784;1229.5945439000552;1236.006467259499;1242.4449150340388;1248.9098597626753;1255.4012743782896;1261.9191322006018;1268.4634069292906;1275.0340726372478;1281.631103763987;1288.2544751091827;1294.9041618263545;1301.5801394166656;1308.2823837228743;1315.0108709234028;1321.765577526523;1328.5464803646637;1335.3535565888415;1342.1867836632082;1349.0461393596997;1355.9316017527963;1362.8431492144027;1369.7807604088148;1376.7444142877912;1383.734090085738;1390.7497673149746;1397.791425761102;1404.8590454784571;1411.952606785666;1419.0720902612811;1426.2174767395072;1433.388747305993;1440.585883293741;1447.8088662790706;1455.0576780776573;1462.3323007406725;1469.6327165509738;1476.9589080193764;1484.310857881018;1491.6885490917457;1499.091964824619;1506.5210884664602;1513.9759036144587;1521.456394072863;1528.9625438497224;1536.4943371536865;1544.0517583908704;1551.6347921617862;1559.2434232583246;1566.8776366607253;1574.537417534818;1582.22275122902;1589.9336232715923;1597.6700193679017;1605.4319253976955;1613.219327412462;1621.032211632827;1628.8705644459906;1636.734372403229;1644.6236222174193;1652.5383007606288;1660.4783950617275;1668.443892304067;1676.4347798231756;1684.4510451045144;1692.49267578125;1700.5596596321157;1708.6519845792354;1716.7696386860543;1724.9126101552665;1733.0808873267924;1741.27445867579;1749.4933128106986;1757.737438471324;1766.0068245269376;1774.3014599744301;1782.6213339364913;1790.966435659805;1799.3367545132996;1807.7322799864087;1816.1530016873694;1824.59890934155;1833.0699927898058;1841.5662419868568;1827.9196349955973;1792.6423813337815;1801.2882866891541
69,7.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,60.0;50.0;67.14285714285712;91.99999999999997;123.07692307692307;160.0;202.63157894736844;250.90909090909088;304.7999999999999;364.2857142857143;429.35483870967744;500.0;576.2162162162163;658.0000000000001;745.3488372093024;838.2608695652175;665.4040404040404;579.7674418604652;532.3584905660377;505.29100529100526;490.4794520547945;483.73493975903614;482.67025089605727;485.8252427184466;492.25663716814165;501.32791327913276;512.5939849624062;525.7342657342657;540.5119825708064;556.7484662576687;574.306358381503;593.0783242258653;612.9792746113992;633.9408866995075;655.9076682316121;678.8340807174889;702.6824034334766;727.4211248285321;753.0237154150198;779.4676806083651;806.7338217338217;834.8056537102473;863.6689419795221;893.3113311331131;923.7220447284346;954.8916408668729;986.811811811812;1019.4752186588917;1052.875354107649;1087.006427915519;1121.8632707774802;1157.4412532637075;1193.736217133163;1230.7444168734487;1268.462469733656;1306.8873128447597;1346.0161662817554;1385.8465011286683;1426.376011773363;1467.6025917926568;1509.5243128964062;1552.139406487232;1595.446247464503;1639.443339960239;1684.1293047433405;1729.5028680688338;1775.5628517823643;1822.3081645181096;1869.737793851718
66,7.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,60.0;116.66666666666666;193.33333333333334;130.0;132.05128205128204;147.7777777777778;170.43478260869566;198.09523809523807;230.0;265.78947368421046;305.27131782945736;262.0;243.11688311688312;235.81560283687946;235.13513513513516;238.75;245.42528735632186;254.4444444444444;265.36312849162;277.8911564625851;291.830985915493;307.0434782608695;323.4278002699057;340.9090909090909;359.43060498220643;378.94854586129725;399.42857142857133;420.84337349397595;443.17096466093597;466.39344262295106;490.4960835509138;515.4666666666669;541.2949640287769;567.9723502304147;595.4915003695493;623.8461538461538;653.0309278350516;683.0411686586988;713.872832369942;745.5223880597016;777.9867389993972;811.2631578947364;845.3492333901193;880.2428256070643;915.9420289855075;952.4451410658307;989.7506361323155;1027.857142857143;1066.763425253991;1106.4683663833803;1146.9709543568465;1188.2702702702704;1230.3654777630998;1273.2558139534888;1316.9405815423515;1361.419141914191;1406.6909090909096;1452.755344418052;1499.6119518820333;1547.260273972603;1595.6998880179176;1644.930402930403;1694.9514563106795;1745.7627118644064;1797.3638570933053;1849.754601226994
66,7.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,60.0;116.66666666666666;193.33333333333334;130.0;132.05128205128204;147.7777777777778;170.43478260869566;198.09523809523807;230.0;265.78947368421046;305.27131782945736;262.0;243.11688311688312;235.81560283687946;235.13513513513516;238.75;245.42528735632186;254.4444444444444;265.36312849162;277.8911564625851;291.830985915493;307.0434782608695;323.4278002699057;340.9090909090909;359.43060498220643;378.94854586129725;399.42857142857133;420.84337349397595;443.17096466093597;466.39344262295106;490.4960835509138;515.4666666666669;541.2949640287769;567.9723502304147;595.4915003695493;623.8461538461538;653.0309278350516;683.0411686586988;713.872832369942;745.5223880597016;777.9867389993972;811.2631578947364;845.3492333901193;880.2428256070643;915.9420289855075;952.4451410658307;989.7506361323155;1027.857142857143;1066.763425253991;1106.4683663833803;1146.9709543568465;1188.2702702702704;1230.3654777630998;1273.2558139534888;1316.9405815423515;1361.419141914191;1406.6909090909096;1452.755344418052;1499.6119518820333;1547.260273972603;1595.6998880179176;1644.930402930403;1694.9514563106795;1745.7627118644064;1797.3638570933053;1849.754601226994
62,8.0;7.0;6.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,70.0;60.0;50.0;57.5;70.45454545454544;87.14285714285714;107.05882352941177;98.88888888888886;98.70967741935488;102.63157894736841;109.18518518518516;117.69230769230771;127.79661016949154;139.29292929292927;152.05479452054794;166.0;181.0727969348659;197.23404255319144;214.4554455445545;232.71604938271605;252.0000000000001;272.2950819672131;293.59173126614985;315.88235294117646;339.16083916083915;363.4222222222222;388.6624203821656;414.8780487804877;442.06627680311897;470.22471910112347;499.35135135135135;529.4444444444445;560.5025125628141;592.5242718446602;625.5086071987481;659.4545454545455;694.3612334801762;730.2279202279201;767.0539419087136;804.8387096774193;843.5816993464048;883.2824427480914;923.9405204460968;965.5555555555554;1008.1272084805653;1051.6551724137933;1096.1391694725032;1141.578947368421;1187.9742765273313;1235.3249475890984;1283.6307692307691;1332.89156626506;1383.1071779744343;1434.2774566473988;1486.4022662889518;1539.4814814814813;1593.5149863760216;1648.5026737967914;1704.4444444444443;1761.3402061855672;1819.1898734177212;1877.9933665008298
53,8.0;7.0;6.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,70.0;60.0;50.0;40.0;41.111111111111114;46.0;53.2;62.2222222222222;72.85714285714286;85.00000000000003;98.59259259259261;113.60000000000002;130.0;147.77777777777777;166.9230769230769;187.4285714285714;209.28888888888895;232.49999999999994;257.05882352941177;282.96296296296293;310.2105263157895;338.80000000000007;368.7301587301587;400.0;432.6086956521739;466.5555555555559;501.84000000000003;538.4615384615386;576.4197530864199;615.7142857142859;656.344827586207;698.311111111111;741.6129032258063;786.25;832.222222222222;879.5294117647061;928.1714285714286;978.1481481481483;1029.4594594594594;1082.105263157895;1136.0854700854702;1191.4;1248.0487804878048;1306.031746031746;1365.3488372093027;1425.9999999999995;1487.9851851851847;1551.304347826088;1615.9574468085107;1681.9444444444448;1749.2653061224491;1817.9200000000005;1887.9084967320264
51,7.0;6.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,60.0;50.0;67.14285714285712;91.99999999999997;123.07692307692307;160.0;134.61538461538464;130.37037037037032;134.3478260869565;142.85714285714283;154.4444444444444;168.42105263157896;184.4186046511628;202.22222222222223;221.69811320754712;242.75862068965512;265.3439153439153;289.4117647058823;314.93150684931504;341.8803418803419;370.2409638554217;400.0;431.14695340501805;463.6734693877553;497.5728155339807;532.8395061728396;569.4690265486724;607.4576271186442;646.8021680216802;687.5;729.5488721804511;772.9468599033817;817.6923076923078;863.7837837837837;911.2200435729849;960.0000000000002;1010.1226993865034;1061.5873015873017;1114.3930635838149;1168.5393258426968;1224.025500910747;1280.8510638297873;1339.0155440414508;1398.5185185185185;1459.3596059113302;1521.5384615384612;1585.0547730829417;1649.9082568807344;1716.09865470852;1783.6257309941534;1852.489270386266
46,7.0;6.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,60.0;50.0;67.14285714285712;91.99999999999997;78.7037037037037;80.76923076923077;88.52941176470588;99.68253968253973;113.39999999999998;129.31034482758622;147.22222222222223;167.02702702702697;188.65853658536582;212.07407407407408;237.24489795918367;264.1509433962264;292.7777777777778;323.11475409836066;355.1538461538463;388.8888888888888;424.31506849315065;461.42857142857144;500.22633744855955;540.7058823529414;582.8651685393257;626.7025089605735;672.2164948453608;719.4059405940595;768.2698412698412;818.8073394495414;871.0176991150443;924.9002849002848;980.4545454545455;1037.6799999999998;1096.5762273901807;1157.142857142857;1219.3795620437954;1283.2860520094562;1348.8620689655172;1416.107382550336;1485.0217864923745;1555.605095541401;1627.8571428571431;1701.7777777777778;1777.3668639053258;1854.6242774566472
46,7.0;6.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,60.0;50.0;67.14285714285712;91.99999999999997;78.7037037037037;80.76923076923077;88.52941176470588;99.68253968253973;113.39999999999998;129.31034482758622;147.22222222222223;167.02702702702697;188.65853658536582;212.07407407407408;237.24489795918367;264.1509433962264;292.7777777777778;323.11475409836066;355.1538461538463;388.8888888888888;424.31506849315065;461.42857142857144;500.22633744855955;540.7058823529414;582.8651685393257;626.7025089605735;672.2164948453608;719.4059405940595;768.2698412698412;818.8073394495414;871.0176991150443;924.9002849002848;980.4545454545455;1037.6799999999998;1096.5762273901807;1157.142857142857;1219.3795620437954;1283.2860520094562;1348.8620689655172;1416.107382550336;1485.0217864923745;1555.605095541401;1627.8571428571431;1701.7777777777778;1777.3668639053258;1854.6242774566472
32,7.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0,60.0;116.66666666666666;193.33333333333334;130.0;132.05128205128204;147.7777777777778;170.43478260869566;198.09523809523807;230.0;265.78947368421046;305.27131782945736;348.3333333333333;394.9056603773586;444.9425287356322;498.41269841269855;555.2941176470589;615.5707762557079;679.230769230769;746.2650602409637;816.6666666666666;890.430107526882;967.5510204081634;1048.0258899676376;1131.851851851852;1219.0265486725664;1309.5480225988708;1403.4146341463418;1500.625;1601.1779448621555;1705.0724637681158;1812.3076923076924;1922.8828828828823
