numPlayed,heuristicList,remainingTime
1,18.0;18.0,999900.0
1,19.0;20.0,999900.0
1,25.0;17.0,212.5
1,22.0;17.0,340.0
1,23.0;20.0,666.6666666666667
1,19.0;20.0,999900.0
1,20.0;19.0,1900.0
1,18.0;16.0,800.0
1,20.0;20.0,999900.0
1,21.0;19.0,950.0
1,20.0;19.0,1900.0
1,21.0;19.0,950.0
1,19.0;18.0,1800.0
1,23.0;21.0,1050.0
1,24.0;23.0,2300.0
1,23.0;16.0,228.57142857142856
1,14.0;14.0,999900.0
1,21.0;19.0,950.0
1,21.0;19.0,950.0
1,19.0;20.0,999900.0
1,25.0;21.0,525.0
1,24.0;17.0,242.85714285714283
1,19.0;17.0,850.0
1,22.0;17.0,340.0
1,21.0;19.0,950.0
1,19.0;20.0,999900.0
1,21.0;19.0,950.0
1,23.0;20.0,666.6666666666667
1,25.0;23.0,1150.0
1,20.0;18.0,900.0
1,21.0;19.0,950.0
1,25.0;23.0,1150.0
1,21.0;16.0,320.0
1,19.0;19.0,999900.0
1,19.0;20.0,999900.0
1,21.0;19.0,950.0
1,19.0;19.0,999900.0
1,20.0;18.0,900.0
1,21.0;19.0,950.0
1,19.0;20.0,999900.0
1,23.0;18.0,360.0
1,18.0;18.0,999900.0
1,23.0;21.0,1050.0
1,25.0;21.0,525.0
1,23.0;18.0,360.0
1,20.0;18.0,900.0
1,21.0;19.0,950.0
1,20.0;20.0,999900.0
1,22.0;17.0,340.0
1,20.0;18.0,900.0
1,21.0;19.0,950.0
1,15.0;14.0,1400.0
1,21.0;19.0,950.0
1,24.0;22.0,1100.0
1,20.0;18.0,900.0
1,22.0;19.0,633.3333333333334
1,18.0;18.0,999900.0
1,21.0;20.0,2000.0
1,20.0;19.0,1900.0
1,19.0;17.0,850.0
1,20.0;20.0,999900.0
1,20.0;19.0,1900.0
1,19.0;21.0,999900.0
1,24.0;19.0,380.0
1,24.0;22.0,1100.0
1,19.0;19.0,999900.0
1,20.0;21.0,999900.0
1,23.0;16.0,228.57142857142856
1,25.0;19.0,316.6666666666667
1,19.0;17.0,850.0
1,19.0;18.0,1800.0
1,20.0;18.0,900.0
1,18.0;18.0,999900.0
1,18.0;18.0,999900.0
1,19.0;15.0,375.0
1,19.0;19.0,999900.0
1,23.0;18.0,360.0
1,24.0;23.0,2300.0
1,19.0;17.0,850.0
1,28.0;24.0,600.0
1,23.0;20.0,666.6666666666667
1,24.0;22.0,1100.0
1,23.0;21.0,1050.0
1,19.0;19.0,999900.0
1,20.0;20.0,999900.0
1,21.0;19.0,950.0
1,19.0;15.0,375.0
1,19.0;20.0,999900.0
1,19.0;17.0,850.0
1,19.0;17.0,850.0
1,19.0;17.0,850.0
1,21.0;19.0,950.0
1,24.0;20.0,500.0
1,21.0;16.0,320.0
1,23.0;21.0,1050.0
1,23.0;20.0,666.6666666666667
1,19.0;18.0,1800.0
1,21.0;20.0,2000.0
1,22.0;19.0,633.3333333333334
1,23.0;2.147483647E9,999900.0
0,20.0,
