numPlayed,heuristicList,remainingTime
63,32.0;27.0;24.0;22.0;20.0;19.0;19.0;19.0;20.0;20.0;20.0;21.0;21.0;21.0;22.0;22.0;23.0;23.0;23.0;20.0;19.0;18.0;19.0;17.0;16.0;17.0;19.0;19.0;19.0;20.0;20.0;20.0;20.0;16.0;14.0;14.0;16.0;16.0;16.0;18.0;17.0;15.0;14.0;15.0;17.0;17.0;18.0;18.0;18.0;19.0;17.0;16.0;15.0;16.0;17.0;17.0;17.0;19.0;18.0;17.0;15.0;14.0;18.0;19.0,54.0;59.16666666666667;64.54545454545453;66.20689655172414;70.45454545454544;80.50847457627117;94.12162162162161;118.43137254901958;145.78124999999997;176.1682242990654;223.5851851851852;276.9491525423729;336.3157894736843;430.327868852459;540.4564315352698;724.3243243243243;962.4958949096881;1273.0434782608695;1217.0270270270269;1096.904761904762;960.1114206128134;934.9999999999998;828.5613359023764;728.4210526315788;693.1818181818182;726.0233918128653;760.6485849056603;796.9710467706013;867.4755168661588;941.063829787234;1017.741935483871;1097.5152749490835;1017.136563876652;899.646017699115;817.2585077150709;798.8412514484357;785.9786666666669;777.5230566534915;811.2124105011931;825.566636446056;803.0234820063915;768.7243735763097;757.2929936305732;780.4869169510807;804.3836519446274;845.9120310478654;888.474074074074;932.0698254364086;996.6024246192103;1021.5975145319703;1026.973608720597;1014.40778799351;1023.5856883588278;1052.9681978798587;1082.9604130808948;1113.5570469798656;1186.5986067739618;1239.8670465337136;1271.2314814814815;1258.179419525066;1227.0622286541245;1283.0025966926332;1363.1404448105436
59,31.0;26.0;23.0;21.0;19.0;19.0;19.0;21.0;21.0;23.0;23.0;20.0;19.0;18.0;20.0;19.0;17.0;16.0;17.0;19.0;19.0;19.0;20.0;20.0;20.0;18.0;17.0;15.0;14.0;15.0;15.0;17.0;17.0;17.0;17.0;18.0;18.0;18.0;18.0;17.0;16.0;15.0;16.0;16.0;17.0;17.0;19.0;18.0;17.0;15.0;14.0;19.0;16.0;14.0;16.0;19.0;17.0;16.0;16.0;17.0,52.0;56.66666666666667;61.515151515151516;62.75862068965519;72.69076305220882;87.03703703703704;122.94117647058823;165.12820512820514;254.14634146341473;374.13793103448285;391.45539906103284;383.33333333333337;361.2987012987013;404.75065616797906;422.7739726027397;396.0220994475137;364.6102449888641;364.05405405405406;402.84153005464486;443.67816091954023;486.5630114566286;555.6774193548387;630.0317965023847;709.7178683385581;725.609756097561;714.0579710144929;657.0684039087947;597.3161764705882;573.6133768352365;557.3313782991205;579.0972222222222;601.93491644679;625.7977386934673;650.6474820143885;695.1531109810808;741.1200000000001;788.5482970407593;837.438136826783;864.3096234309623;869.2913385826771;854.8366013071891;865.0692041522491;876.8037844508431;910.7262569832403;945.4475009686169;1027.285491419657;1087.8488820354664;1123.7724550898208;1109.2099719101125;1075.092170895684;1163.816091954023;1178.5245901639344;1146.128242780225;1164.9008498583573;1258.0659025787968;1302.0550252667042;1320.1164995936062;1339.1623036649214;1385.7669237360758
24,26.0;22.0;19.0;18.0;15.0;16.0;18.0;19.0;20.0;20.0;17.0;15.0;16.0;17.0;20.0;17.0;15.0;15.0;17.0;17.0;17.0;17.0;20.0;20.0;2.147483647E9,55.0;53.80952380952381;63.703703703703695;56.92307692307692;68.98148148148148;104.0;163.33333333333331;271.7117117117117;430.29850746268676;416.66666666666663;342.2222222222223;341.6666666666667;381.0106382978724;555.2208835341365;588.3597883597884;529.8360655737704;500.144927536232;555.2830188679245;613.4124629080118;674.5318352059924;738.64;998.0487804878048;1361.7200474495853;999760.0
23,26.0;22.0;19.0;18.0;15.0;16.0;18.0;19.0;20.0;20.0;17.0;15.0;16.0;17.0;20.0;17.0;15.0;15.0;17.0;17.0;17.0;17.0;20.0;20.0,55.0;53.80952380952381;63.703703703703695;56.92307692307692;68.98148148148148;104.0;163.33333333333331;271.7117117117117;430.29850746268676;416.66666666666663;342.2222222222223;341.6666666666667;381.0106382978724;555.2208835341365;588.3597883597884;529.8360655737704;500.144927536232;555.2830188679245;613.4124629080118;674.5318352059924;738.64;998.0487804878048;1361.7200474495853
19,25.0;22.0;19.0;18.0;17.0;18.0;18.0;19.0;19.0;19.0;19.0;19.0;20.0;19.0;17.0;16.0;17.0;19.0;19.0;20.0,73.33333333333334;63.33333333333334;72.50000000000001;80.99999999999999;111.11111111111111;146.77419354838713;213.1818181818182;293.3333333333332;387.5675675675676;496.1538461538463;619.3089430894308;893.5135135135134;1049.8734177215192;889.9999999999998;732.5;722.5000000000002;878.3333333333333;1055.7446808510638;1414.191616766467
18,22.0;20.0;19.0;18.0;19.0;20.0;17.0;15.0;16.0;17.0;19.0;18.0;15.0;16.0;18.0;19.0;20.0;16.0;20.0,100.0;125.55555555555554;136.9230769230769;225.00000000000006;466.66666666666663;330.0;227.5;229.9186991869919;272.84210526315786;409.090909090909;514.9275362318841;438.4848484848484;448.05031446540875;565.6118143459914;786.9718309859155;1263.9999999999998;1109.6575342465753;1786.3636363636363
18,22.0;20.0;19.0;18.0;19.0;20.0;17.0;15.0;16.0;17.0;19.0;18.0;15.0;16.0;18.0;19.0;20.0;16.0;20.0,100.0;125.55555555555554;136.9230769230769;225.00000000000006;466.66666666666663;330.0;227.5;229.9186991869919;272.84210526315786;409.090909090909;514.9275362318841;438.4848484848484;448.05031446540875;565.6118143459914;786.9718309859155;1263.9999999999998;1109.6575342465753;1786.3636363636363
18,22.0;20.0;19.0;18.0;19.0;20.0;20.0;17.0;15.0;16.0;19.0;18.0;15.0;16.0;18.0;19.0;20.0;16.0;20.0,100.0;125.55555555555554;136.9230769230769;225.00000000000006;466.66666666666663;890.0;490.0;303.4343434343434;288.5869565217391;415.90909090909076;504.45614035087715;422.8985507246375;426.3690476190476;527.3333333333334;712.7388535031847;1086.25;969.1017964071857;1463.731343283582
17,23.0;20.0;19.0;18.0;19.0;19.0;20.0;18.0;16.0;17.0;18.0;20.0;20.0;19.0;16.0;17.0;19.0;20.0,66.66666666666667;93.33333333333333;110.0;178.00000000000003;261.8055555555556;471.81818181818187;446.7647058823529;329.89247311827955;340.00000000000006;410.0;647.6190476190476;1020.625;1285.78125;923.2075471698113;880.4511278195489;1112.5;1631.5723270440255
17,23.0;20.0;19.0;18.0;19.0;19.0;20.0;18.0;16.0;17.0;18.0;20.0;20.0;19.0;16.0;17.0;19.0;20.0,66.66666666666667;93.33333333333333;110.0;178.00000000000003;261.8055555555556;471.81818181818187;446.7647058823529;329.89247311827955;340.00000000000006;410.0;647.6190476190476;1020.625;1285.78125;923.2075471698113;880.4511278195489;1112.5;1631.5723270440255
