numPlayed,heuristicList,remainingTime
6,12.0;7.0;7.0;6.0;4.0;2.0;1.0,14.0;24.666666666666664;29.444444444444443;22.352941176470594;11.944444444444443;3.9130434782608674
2,11.0;8.0;7.0,26.66666666666667;33.33333333333333
2,11.0;8.0;7.0,26.66666666666667;33.33333333333333
2,10.0;7.0;7.0,23.333333333333336;43.333333333333336
2,10.0;7.0;7.0,23.333333333333336;43.333333333333336
1,11.0;10.0,100.0
1,11.0;9.0,45.0
1,12.0;11.0,110.0
1,11.0;10.0,100.0
1,9.0;8.0,80.0
1,14.0;11.0,36.66666666666667
1,10.0;10.0,999990.0
1,11.0;10.0,100.0
1,11.0;10.0,100.0
1,13.0;12.0,120.0
1,11.0;10.0,100.0
1,13.0;12.0,120.0
1,11.0;10.0,100.0
1,9.0;8.0,80.0
1,10.0;10.0,999990.0
1,11.0;10.0,100.0
1,11.0;10.0,100.0
1,11.0;10.0,100.0
1,9.0;8.0,80.0
1,14.0;11.0,36.66666666666667
1,10.0;9.0,90.0
1,10.0;9.0,90.0
1,9.0;7.0,35.0
1,10.0;9.0,90.0
1,10.0;10.0,999990.0
1,10.0;9.0,90.0
1,11.0;9.0,45.0
1,11.0;10.0,100.0
1,11.0;9.0,45.0
1,11.0;10.0,100.0
1,10.0;8.0,40.0
1,12.0;11.0,110.0
1,10.0;9.0,90.0
1,14.0;11.0,36.66666666666667
1,13.0;10.0,33.333333333333336
1,13.0;11.0,55.0
1,10.0;9.0,90.0
1,11.0;10.0,100.0
1,11.0;10.0,100.0
1,8.0;7.0,70.0
1,13.0;10.0,33.333333333333336
1,10.0;9.0,90.0
1,13.0;10.0,33.333333333333336
1,10.0;9.0,90.0
1,10.0;8.0,40.0
1,13.0;10.0,33.333333333333336
1,10.0;10.0,999990.0
1,10.0;9.0,90.0
1,9.0;8.0,80.0
1,13.0;12.0,120.0
1,11.0;10.0,100.0
1,10.0;9.0,90.0
1,10.0;10.0,999990.0
1,9.0;8.0,80.0
1,10.0;9.0,90.0
1,10.0;9.0,90.0
1,10.0;10.0,999990.0
1,11.0;10.0,100.0
1,12.0;10.0,50.0
1,12.0;10.0,50.0
1,8.0;7.0,70.0
1,12.0;11.0,110.0
1,11.0;10.0,100.0
1,12.0;11.0,110.0
1,10.0;10.0,999990.0
1,10.0;9.0,90.0
1,11.0;10.0,100.0
1,10.0;9.0,90.0
1,11.0;10.0,100.0
1,13.0;12.0,120.0
1,12.0;11.0,110.0
1,11.0;10.0,100.0
1,12.0;11.0,110.0
1,12.0;9.0,30.0
1,10.0;9.0,90.0
1,12.0;11.0,110.0
1,10.0;10.0,999990.0
1,10.0;10.0,999990.0
1,12.0;10.0,50.0
1,13.0;10.0,33.333333333333336
1,11.0;10.0,100.0
1,10.0;9.0,90.0
1,13.0;11.0,55.0
1,11.0;10.0,100.0
1,11.0;10.0,100.0
1,13.0;12.0,120.0
1,11.0;10.0,100.0
1,12.0;10.0,50.0
1,11.0;10.0,100.0
1,13.0;10.0,33.333333333333336
1,11.0;10.0,100.0
1,9.0;8.0,80.0
1,12.0;9.0,30.0
1,11.0;10.0,100.0
1,9.0;8.0,80.0
1,13.0;10.0,33.333333333333336
