numPlayed,heuristicList,remainingTime
75,23.0;19.0;18.0;17.0;17.0;16.0;16.0;16.0;16.0;13.0;13.0;12.0;12.0;12.0;12.0;12.0;9.0;8.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;1.0,475.0;700.0;863.1578947368423;1142.857142857143;1277.7777777777776;1500.0;1780.0;2107.9365079365084;1807.1999999999998;1716.867469879518;1592.8134556574923;1557.0370370370374;1570.4968944099378;1615.8645276292332;1684.2723004694835;1508.7452471482898;1335.1477449455679;1060.6879606879606;879.593908629442;750.8650519031144;654.634513941221;580.1068090787721;520.9107249850208;473.04347826086996;433.863749378419;401.55820348304314;374.84062898427555;352.7733755942945;334.6567717996286;319.95812979762695;308.26473493579215;299.25187032418944;292.66055045871553;288.2816901408455;285.94463853802745;285.5087358684482;286.8570022151116;289.891355692017;294.5289443813854;300.6993006993007;308.3421108068251;317.40544936966216;327.8443702102577;339.6197718631174;352.6974774443006;367.04748304177065;382.64333968473966;399.4616419919248;417.4816026165163;436.6846961501742;457.0543596097259;478.5757392878704;501.2354758052652;525.0215208034433;549.9229799747936;575.9299781181617;603.0335426967777;631.2255030049646;660.4984025559097;690.8454227113552;722.2603159054734;754.7373470856328;788.2712422141258;822.857142857144;858.4905660377353;895.1673686544;932.883715870772;971.6360529688163;1052.567082188887;1135.4515050167229;1220.2895553257495;1307.0814572247236;1395.8274255620836;1486.527666399359;1341.9592461494303
22,23.0;19.0;18.0;17.0;15.0;14.0;14.0;14.0;14.0;14.0;14.0;12.0;12.0;12.0;12.0;11.0;10.0;10.0;11.0;11.0;11.0;11.0;11.0,475.0;700.0;863.1578947368423;822.2222222222224;816.0919540229886;900.0;1029.4117647058824;1191.3978494623655;1380.821917808219;1595.2380952380954;1563.5220125786163;1587.5;1646.6666666666665;1731.0077519379847;1728.287841191067;1660.251046025105;1632.3688969258592;1716.3934426229512;1811.6941529235378;1917.127071823205;2031.8822023047378;2155.3699284009554
20,22.0;20.0;19.0;18.0;15.0;16.0;15.0;14.0;13.0;12.0;12.0;12.0;12.0;12.0;11.0;12.0;11.0;12.0;12.0;12.0;12.0,1000.0;1255.5555555555554;1369.2307692307693;975.0;1144.9275362318838;1215.151515151515;1219.3548387096776;1183.3333333333333;1123.2558139534883;1129.6296296296296;1173.333333333333;1242.1052631578946;1329.8850574712642;1350.5747126436781;1474.3875278396436;1524.409448818898;1675.2727272727275;1836.4864864864867;2007.8864353312297;2189.3491124260354
19,23.0;18.0;18.0;18.0;18.0;16.0;15.0;14.0;14.0;13.0;13.0;13.0;13.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0,360.0;686.6666666666666;1133.3333333333335;1700.0;1600.0;1500.0;1400.0;1433.333333333333;1399.3288590604025;1435.483870967742;1512.70553064275;1618.461538461538;1635.483870967742;1685.1851851851857;1758.536585365854;1850.434782608696;1957.7777777777783;2078.571428571429;2211.4754098360663
18,25.0;23.0;18.0;18.0;15.0;15.0;14.0;14.0;14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1150.0;528.5714285714286;657.6923076923077;592.0;648.6486486486485;684.6153846153843;762.686567164179;868.292682926829;923.6453201970442;1004.1322314049589;1103.9145907473307;1220.0;1350.6963788300836;1494.9748743718592;1652.1739130434785;1821.8487394957983;2003.6893203883492;2197.472924187726
18,23.0;18.0;18.0;18.0;16.0;15.0;14.0;14.0;13.0;13.0;13.0;13.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0,360.0;686.6666666666666;1133.3333333333335;1128.5714285714287;1119.5652173913043;1094.285714285714;1169.148936170213;1176.7195767195767;1241.7721518987341;1342.1052631578946;1468.3183183183182;1505.263157894737;1572.5806451612898;1662.3352165725046;1770.1005025125628;1893.2126696832574;2029.97256515775;2179.2452830188677
17,20.0;19.0;18.0;15.0;16.0;15.0;14.0;13.0;12.0;12.0;12.0;12.0;12.0;11.0;12.0;11.0;12.0;12.0,1900.0;1800.0;974.9999999999998;1266.6666666666667;1373.873873873874;1371.4285714285716;1314.6341463414635;1232.183908045977;1244.0000000000005;1304.347826086957;1396.0244648318044;1511.1111111111113;1534.782608695652;1695.1807228915663;1755.2631578947367;1949.5145631067958;2156.9069069069064
16,24.0;21.0;18.0;15.0;15.0;14.0;14.0;14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,700.0;600.0;500.0;575.0000000000001;629.1079812206572;729.7872340425531;861.5384615384614;933.3333333333333;1034.078212290503;1157.1428571428569;1299.308437067773;1458.8235294117649;1634.6534653465346;1826.1477045908182;2032.876712328767;2254.5454545454545
16,25.0;18.0;18.0;18.0;15.0;15.0;14.0;14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,257.1428571428571;480.95238095238085;790.4761904761904;740.0;827.6836158192091;871.4285714285716;969.724770642202;1008.4507042253524;1086.857142857143;1192.307692307692;1319.0871369294605;1464.2335766423353;1626.0586319218241;1803.5294117647059;1995.9785522788202;2202.955665024631
16,25.0;18.0;18.0;18.0;15.0;14.0;14.0;14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,257.1428571428571;480.95238095238085;790.4761904761904;740.0;734.375;809.090909090909;925.0;979.6296296296298;1068.75;1182.6923076923076;1316.9444444444443;1469.1176470588239;1637.8289473684213;1822.2222222222222;2021.7391304347825;2235.9999999999995
