numPlayed,heuristicList,remainingTime
37,41.0;38.0;36.0;32.0;31.0;31.0;31.0;30.0;28.0;25.0;25.0;25.0;25.0;24.0;22.0;22.0;23.0;21.0;22.0;23.0;21.0;23.0;20.0;23.0;21.0;23.0;21.0;21.0;20.0;22.0;20.0;20.0;20.0;19.0;20.0;19.0;20.0;20.0,126.66666666666669;143.33333333333334;111.7241379310345;116.92307692307693;137.55555555555557;165.9183673469388;186.484375;188.35249042145597;170.76923076923077;167.5;171.20441051738766;179.1416309012876;183.4601449275362;178.88888888888886;178.9102564102564;187.33485193621868;186.83168316831689;193.9857651245552;207.76866283839212;211.96454948301334;228.23773324118866;229.1780821917808;247.7653301886793;255.96510359869137;276.5348595213319;286.0168121564824;296.4441416893733;301.85654008438803;320.20833333333337;326.9811320754717;334.73404255319156;343.36677814938696;346.84622611963675;357.293277810827;362.4649467190129;374.4295661489019;386.9733470015377
21,41.0;38.0;35.0;33.0;32.0;29.0;28.0;28.0;27.0;27.0;27.0;27.0;27.0;26.0;25.0;25.0;25.0;26.0;27.0;25.0;25.0;26.0,126.66666666666669;116.66666666666669;121.11111111111109;135.65217391304347;126.66666666666666;127.33333333333337;138.25;146.53846153846152;159.9609375;176.9736842105263;196.875;219.29999999999995;234.62039045553144;243.43283582089555;255.40098199672667;269.8542274052478;295.5958781362007;333.2142857142858;350.9048723897912;370.42553191489367;402.86860581745236
20,42.0;40.0;38.0;34.0;31.0;32.0;30.0;29.0;31.0;29.0;28.0;28.0;27.0;27.0;27.0;27.0;27.0;28.0;27.0;28.0;27.0,200.0;190.0;133.07692307692307;112.14285714285714;131.27572016460903;137.45762711864404;143.88888888888889;175.4385964912281;189.91525423728814;199.3150684931507;213.46743295019155;222.01923076923077;234.48347107438013;249.9033816425121;267.741935483871;287.6744186046512;319.29634641407307;342.17821782178225;377.7855477855477;403.3764367816092
20,41.0;38.0;35.0;33.0;32.0;29.0;28.0;28.0;27.0;27.0;27.0;27.0;27.0;25.0;25.0;26.0;27.0;25.0;25.0;26.0;27.0,126.66666666666669;116.66666666666669;121.11111111111109;135.65217391304347;126.66666666666666;127.33333333333337;138.25;146.53846153846152;159.9609375;176.9736842105263;196.875;219.29999999999995;225.71729957805906;235.88807785888076;257.57825370675454;290.7076923076924;305.23613021549755;321.9402985074627;350.9048723897912;392.96296296296293
19,42.0;40.0;36.0;34.0;32.0;31.0;32.0;30.0;30.0;29.0;29.0;28.0;27.0;28.0;27.0;28.0;29.0;27.0;27.0;27.0,200.0;121.11111111111111;120.71428571428572;121.53846153846152;129.83539094650206;159.99999999999997;171.27659574468086;189.9625468164794;202.5;220.37037037037032;231.43730886850153;236.969696969697;257.1238938053097;269.71902937420185;295.4939341421144;334.5454545454545;351.7610062893083;371.4173228346457;393.19760479041906
9,43.0;40.0;38.0;38.0;38.0;36.0;35.0;35.0;35.0;35.0,133.33333333333334;151.33333333333334;218.82352941176467;308.3333333333333;306.50406504065046;305.00000000000006;330.6896551724138;369.6969696969698;417.74436090225555
8,42.0;39.0;36.0;35.0;35.0;35.0;36.0;34.0;33.0,130.0;120.0;143.33333333333334;187.7777777777778;244.79166666666669;352.2222222222222;379.3243243243243;384.83660130718954
7,41.0;39.0;38.0;37.0;36.0;35.0;35.0;35.0,195.0;252.22222222222223;283.0769230769231;298.33333333333337;304.5833333333333;342.85714285714283;396.6666666666667
6,39.0;37.0;36.0;36.0;34.0;34.0;34.0,185.0;238.8888888888889;355.0;310.90909090909093;345.5882352941177;404.7826086956522
6,43.0;41.0;39.0;38.0;38.0;38.0;38.0,205.0;195.0;221.7647058823529;286.15384615384613;370.0;470.0
6,39.0;36.0;36.0;34.0;34.0;34.0;34.0,120.0;236.66666666666669;226.66666666666669;278.3333333333333;351.51515151515144;440.4761904761905
6,39.0;37.0;36.0;36.0;34.0;34.0;34.0,185.0;238.8888888888889;355.0;310.90909090909093;345.5882352941177;404.7826086956522
6,39.0;37.0;36.0;35.0;35.0;34.0;34.0,185.0;238.8888888888889;267.6923076923077;343.99999999999994;368.75;424.5454545454545
6,39.0;37.0;36.0;36.0;34.0;34.0;34.0,185.0;238.8888888888889;355.0;310.90909090909093;345.5882352941177;404.7826086956522
6,39.0;37.0;36.0;36.0;34.0;34.0;34.0,185.0;238.8888888888889;355.0;310.90909090909093;345.5882352941177;404.7826086956522
5,40.0;37.0;36.0;35.0;35.0;36.0,123.33333333333334;178.33333333333331;216.25;285.0;448.1481481481482
