numPlayed,heuristicList,remainingTime
24,32.0;31.0;30.0;29.0;28.0;26.0;26.0;24.0;23.0;22.0;21.0;21.0;21.0;20.0;19.0;19.0;19.0;19.0;19.0;19.0;20.0;19.0;20.0;20.0;20.0,310.0;300.0;290.0;280.0;231.66666666666669;239.33333333333331;217.44680851063828;204.1176470588236;194.1176470588236;185.48387096774195;186.4185544768069;192.75675675675672;194.1216216216216;191.75438596491227;193.70967741935482;198.6440677966101;205.80820770519261;214.7511312217195;225.18518518518516;244.10256410256403;256.50132860938896;277.75919732441474;300.0501451570335;323.36842105263156
11,32.0;31.0;30.0;29.0;28.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0,310.0;300.0;290.0;280.0;201.85185185185188;198.57142857142856;213.68421052631578;237.77777777777777;267.9310344827586;302.9411764705882;342.22222222222223
5,36.0;34.0;33.0;32.0;32.0;32.0,170.0;218.8888888888889;244.61538461538464;313.99999999999994;404.9382716049383
5,36.0;34.0;33.0;32.0;32.0;2.147483647E9,170.0;218.8888888888889;244.61538461538464;313.99999999999994;999950.0
2,32.0;31.0;31.0,310.0;616.6666666666666
1,36.0;36.0,999990.0
1,34.0;33.0,330.0
1,36.0;35.0,350.0
1,35.0;34.0,340.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,33.0;32.0,320.0
1,36.0;35.0,350.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,33.0;32.0,320.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,33.0;32.0,320.0
1,36.0;35.0,350.0
1,32.0;32.0,999990.0
1,34.0;33.0,330.0
1,36.0;35.0,350.0
1,34.0;33.0,330.0
1,33.0;33.0,999990.0
1,34.0;33.0,330.0
1,36.0;35.0,350.0
1,36.0;35.0,350.0
1,32.0;32.0,999990.0
1,34.0;33.0,330.0
1,36.0;36.0,999990.0
1,32.0;32.0,999990.0
1,33.0;32.0,320.0
1,34.0;33.0,330.0
1,35.0;34.0,340.0
1,32.0;32.0,999990.0
1,33.0;33.0,999990.0
1,33.0;32.0,320.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,35.0;34.0,340.0
1,36.0;35.0,350.0
1,35.0;34.0,340.0
1,34.0;33.0,330.0
1,33.0;32.0,320.0
1,33.0;32.0,320.0
1,34.0;33.0,330.0
1,36.0;36.0,999990.0
1,33.0;32.0,320.0
1,33.0;32.0,320.0
1,34.0;33.0,330.0
1,32.0;32.0,999990.0
1,36.0;35.0,350.0
1,36.0;35.0,350.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,33.0;33.0,999990.0
1,36.0;36.0,999990.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,33.0;32.0,320.0
1,33.0;32.0,320.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,36.0;35.0,350.0
1,36.0;36.0,999990.0
1,35.0;34.0,340.0
1,34.0;33.0,330.0
1,33.0;33.0,999990.0
1,35.0;34.0,340.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,33.0;32.0,320.0
1,32.0;32.0,999990.0
1,35.0;34.0,340.0
1,36.0;35.0,350.0
1,34.0;33.0,330.0
1,33.0;32.0,320.0
1,33.0;32.0,320.0
1,36.0;35.0,350.0
1,33.0;32.0,320.0
1,34.0;33.0,330.0
1,32.0;32.0,999990.0
1,34.0;33.0,330.0
1,32.0;32.0,999990.0
1,34.0;33.0,330.0
1,34.0;33.0,330.0
1,35.0;34.0,340.0
1,35.0;34.0,340.0
