numPlayed,heuristicList,remainingTime
7,18.0;14.0;11.0;10.0;9.0;8.0;6.0;2.147483647E9,35.0;30.952380952380963;34.074074074074076;36.36363636363636;36.86868686868685;30.799999999999997;999930.0
4,15.0;10.0;9.0;8.0;8.0,20.0;27.77777777777778;32.727272727272734;42.5
4,18.0;12.0;11.0;10.0;9.0,20.0;29.047619047619044;36.0;40.0
3,16.0;11.0;10.0;9.0,22.0;31.111111111111114;37.27272727272728
3,16.0;11.0;10.0;9.0,22.0;31.111111111111114;37.27272727272728
2,18.0;14.0;13.0,35.0;50.0
2,18.0;13.0;12.0,26.0;37.777777777777786
2,14.0;11.0;10.0,36.66666666666667;48.33333333333333
1,15.0;12.0,40.0
1,20.0;16.0,40.0
1,19.0;15.0,37.5
