numPlayed,heuristicList,remainingTime
2,5.0;2.0;1.0,66.66666666666669;33.333333333333286
1,7.0;5.0,250.0
1,5.0;5.0,999900.0
1,10.0;5.0,100.0
1,5.0;5.0,999900.0
1,5.0;5.0,999900.0
1,5.0;5.0,999900.0
1,10.0;5.0,100.0
1,6.0;5.0,500.0
1,10.0;7.0,233.33333333333337
1,9.0;5.0,125.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,5.0;5.0,999900.0
1,5.0;5.0,999900.0
1,9.0;5.0,125.0
1,10.0;5.0,100.0
1,5.0;4.0,400.0
1,5.0;5.0,999900.0
1,10.0;5.0,100.0
1,7.0;6.0,600.0
1,8.0;7.0,700.0
1,10.0;5.0,100.0
1,5.0;5.0,999900.0
1,5.0;5.0,999900.0
1,5.0;5.0,999900.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,10.0;5.0,100.0
1,10.0;5.0,100.0
1,9.0;5.0,125.0
1,7.0;6.0,600.0
1,5.0;5.0,999900.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,9.0;5.0,125.0
1,7.0;5.0,250.0
1,7.0;5.0,250.0
1,5.0;5.0,999900.0
1,5.0;4.0,400.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,5.0;5.0,999900.0
1,5.0;4.0,400.0
1,6.0;5.0,500.0
1,10.0;5.0,100.0
1,10.0;5.0,100.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,5.0;5.0,999900.0
1,7.0;6.0,600.0
1,6.0;5.0,500.0
1,7.0;5.0,250.0
1,9.0;5.0,125.0
1,6.0;5.0,500.0
1,10.0;5.0,100.0
1,10.0;5.0,100.0
1,6.0;5.0,500.0
1,9.0;5.0,125.0
1,7.0;6.0,600.0
1,7.0;5.0,250.0
1,6.0;5.0,500.0
1,9.0;5.0,125.0
1,7.0;5.0,250.0
1,6.0;5.0,500.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,6.0;5.0,500.0
1,6.0;5.0,500.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,10.0;5.0,100.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,7.0;5.0,250.0
1,10.0;5.0,100.0
1,7.0;6.0,600.0
1,5.0;4.0,400.0
1,5.0;5.0,999900.0
1,10.0;5.0,100.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,5.0;5.0,999900.0
1,7.0;6.0,600.0
1,6.0;5.0,500.0
1,7.0;5.0,250.0
1,7.0;6.0,600.0
1,7.0;5.0,250.0
1,9.0;5.0,125.0
1,10.0;5.0,100.0
1,6.0;5.0,500.0
1,5.0;5.0,999900.0
1,6.0;5.0,500.0
1,10.0;5.0,100.0
1,7.0;6.0,600.0
1,5.0;5.0,999900.0
1,7.0;5.0,250.0
1,6.0;5.0,500.0
1,6.0;5.0,500.0
1,9.0;5.0,125.0
1,7.0;5.0,250.0
