numPlayed,heuristicList,remainingTime
3,8.0;5.0;4.0;1.0,166.66666666666669;183.33333333333331;54.54545454545456
2,11.0;7.0;6.0,175.0;220.0
1,8.0;7.0,700.0
1,10.0;7.0,233.33333333333337
1,10.0;7.0,233.33333333333337
1,10.0;8.0,400.0
1,9.0;8.0,800.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,10.0;8.0,400.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,7.0;7.0,999900.0
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,10.0;8.0,400.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,7.0;7.0,999900.0
1,10.0;8.0,400.0
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,10.0;7.0,233.33333333333337
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,9.0;8.0,800.0
1,7.0;7.0,999900.0
1,10.0;7.0,233.33333333333337
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,10.0;8.0,400.0
1,8.0;7.0,700.0
1,10.0;7.0,233.33333333333337
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;6.0,300.0
1,9.0;8.0,800.0
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,9.0;7.0,350.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
