numPlayed,heuristicList,remainingTime
20,13.0;10.0;8.0;8.0;8.0;8.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;6.0;6.0;6.0;6.0;6.0;2.0;1.0,333.33333333333337;313.33333333333337;423.52941176470586;583.3333333333334;784.9462365591396;827.2727272727273;921.0526315789475;1047.6190476190477;1200.0000000000005;1375.0;1570.9480122324162;1786.8852459016393;2022.2222222222222;1996.296296296296;2015.873015873016;2066.6666666666665;2140.740740740741;2233.3333333333335;1599.4638069705097;1129.032258064516
18,13.0;10.0;8.0;8.0;8.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;6.0;6.0;6.0;6.0;6.0,333.33333333333337;313.33333333333337;423.52941176470586;583.3333333333334;625.0;716.6666666666665;840.0;988.8888888888889;1160.7142857142853;1354.1666666666665;1568.5185185185182;1803.333333333333;2058.333333333333;2040.928270042194;2067.9347826086955;2125.714285714286;2206.638418079096;2306.1068702290077
8,15.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0,200.0;366.66666666666663;600.0;900.0;1266.666666666667;1700.0;2200.0;2766.6666666666665
7,14.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0,250.0;466.66666666666663;766.6666666666667;1150.0;1616.6666666666665;2166.6666666666665;2799.9999999999995
7,14.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0,250.0;466.66666666666663;766.6666666666667;1150.0;1616.6666666666665;2166.6666666666665;2799.9999999999995
7,14.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0,250.0;466.66666666666663;766.6666666666667;1150.0;1616.6666666666665;2166.6666666666665;2799.9999999999995
7,14.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0,250.0;466.66666666666663;766.6666666666667;1150.0;1616.6666666666665;2166.6666666666665;2799.9999999999995
6,13.0;11.0;10.0;10.0;10.0;10.0;10.0,550.0;655.5555555555557;950.0;1342.857142857143;1824.0740740740744;2390.9090909090905
6,13.0;11.0;10.0;10.0;10.0;10.0;10.0,550.0;655.5555555555557;950.0;1342.857142857143;1824.0740740740744;2390.9090909090905
6,13.0;11.0;10.0;10.0;10.0;10.0;10.0,550.0;655.5555555555557;950.0;1342.857142857143;1824.0740740740744;2390.9090909090905
6,13.0;11.0;10.0;10.0;10.0;10.0;10.0,550.0;655.5555555555557;950.0;1342.857142857143;1824.0740740740744;2390.9090909090905
6,13.0;11.0;10.0;10.0;10.0;10.0;10.0,550.0;655.5555555555557;950.0;1342.857142857143;1824.0740740740744;2390.9090909090905
6,13.0;11.0;10.0;10.0;10.0;10.0;10.0,550.0;655.5555555555557;950.0;1342.857142857143;1824.0740740740744;2390.9090909090905
6,13.0;10.0;10.0;10.0;10.0;10.0;10.0,333.33333333333337;633.3333333333334;1044.4444444444446;1566.6666666666665;2200.0;2944.4444444444443
6,13.0;10.0;10.0;10.0;10.0;10.0;10.0,333.33333333333337;633.3333333333334;1044.4444444444446;1566.6666666666665;2200.0;2944.4444444444443
