numPlayed,heuristicList,remainingTime
273,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;2.147483647E9,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0;993200.0;993100.0;993000.0;992900.0;992800.0;992700.0;992600.0;992500.0;992400.0;992300.0;992200.0;992100.0;992000.0;991900.0;991800.0;991700.0;991600.0;991500.0;991400.0;991300.0;991200.0;991100.0;991000.0;990900.0;990800.0;990700.0;990600.0;990500.0;990400.0;990300.0;990200.0;990100.0;990000.0;989900.0;989800.0;989700.0;989600.0;989500.0;989400.0;989300.0;989200.0;989100.0;989000.0;988900.0;988800.0;988700.0;988600.0;988500.0;988400.0;988300.0;988200.0;988100.0;988000.0;987900.0;987800.0;987700.0;987600.0;987500.0;987400.0;987300.0;987200.0;987100.0;987000.0;986900.0;986800.0;986700.0;986600.0;986500.0;986400.0;986300.0;986200.0;986100.0;986000.0;985900.0;985800.0;985700.0;985600.0;985500.0;985400.0;985300.0;985200.0;985100.0;985000.0;984900.0;984800.0;984700.0;984600.0;984500.0;984400.0;984300.0;984200.0;984100.0;984000.0;983900.0;983800.0;983700.0;983600.0;983500.0;983400.0;983300.0;983200.0;983100.0;983000.0;982900.0;982800.0;982700.0;982600.0;982500.0;982400.0;982300.0;982200.0;982100.0;982000.0;981900.0;981800.0;981700.0;981600.0;981500.0;981400.0;981300.0;981200.0;981100.0;981000.0;980900.0;980800.0;980700.0;980600.0;980500.0;980400.0;980300.0;980200.0;980100.0;980000.0;979900.0;979800.0;979700.0;979600.0;979500.0;979400.0;979300.0;979200.0;979100.0;979000.0;978900.0;978800.0;978700.0;978600.0;978500.0;978400.0;978300.0;978200.0;978100.0;978000.0;977900.0;977800.0;977700.0;977600.0;977500.0;977400.0;977300.0;977200.0;977100.0;977000.0;976900.0;976800.0;976700.0;976600.0;976500.0;976400.0;976300.0;976200.0;976100.0;976000.0;975900.0;975800.0;975700.0;975600.0;975500.0;975400.0;975300.0;975200.0;975100.0;975000.0;974900.0;974800.0;974700.0;974600.0;974500.0;974400.0;974300.0;974200.0;974100.0;974000.0;973900.0;973800.0;973700.0;973600.0;973500.0;973400.0;973300.0;973200.0;973100.0;973000.0;972900.0;972800.0;972700.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
67,14.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0,1300.0;2566.6666666666665;4266.666666666666;6399.999999999998;8966.666666666666;11966.666666666668;15399.999999999998;19266.666666666668;23566.666666666668;28300.0;33466.66666666667;39066.666666666664;45099.99999999999;51566.66666666668;58466.666666666664;65800.0;73566.66666666667;81766.66666666664;90400.0;99466.66666666666;108966.66666666667;118899.99999999999;129266.66666666666;140066.66666666672;151300.0;162966.66666666666;175066.66666666666;187599.99999999997;200566.66666666666;213966.66666666666;227800.0;242066.66666666698;256766.6666666667;271900.0;287466.6666666667;303466.6666666667;319900.00000000006;336766.66666666674;354066.6666666667;371799.9999999999;389966.6666666667;408566.6666666667;427600.0;447066.6666666667;466966.66666666674;487300.0000000003;508066.6666666667;529266.6666666667;550900.0;572966.6666666666;595466.6666666667;618400.0000000001;641766.6666666667;665566.6666666666;689800.0;714466.6666666674;739566.6666666666;765100.0000000002;791066.6666666666;817466.6666666666;844299.9999999999;871566.6666666667;899266.6666666666;927399.9999999999;955966.6666666667;984966.6666666666;993300.0
