numPlayed,heuristicList,remainingTime
6,21.0;20.0;19.0;19.0;19.0;19.0;2.147483647E9,2000.0;1900.0;2671.4285714285716;3720.000000000001;5000.0;999400.0
5,21.0;20.0;19.0;19.0;19.0;19.0,2000.0;1900.0;2671.4285714285716;3720.000000000001;5000.0
5,21.0;20.0;19.0;19.0;19.0;19.0,2000.0;1900.0;2671.4285714285716;3720.000000000001;5000.0
5,21.0;19.0;19.0;19.0;19.0;19.0,950.0;1866.6666666666665;3099.9999999999995;4649.999999999998;6516.666666666667
5,21.0;19.0;19.0;19.0;19.0;19.0,950.0;1866.6666666666665;3099.9999999999995;4649.999999999998;6516.666666666667
5,21.0;19.0;19.0;19.0;19.0;19.0,950.0;1866.6666666666665;3099.9999999999995;4649.999999999998;6516.666666666667
5,21.0;20.0;19.0;19.0;19.0;19.0,2000.0;1900.0;2671.4285714285716;3720.000000000001;5000.0
5,21.0;19.0;19.0;19.0;19.0;19.0,950.0;1866.6666666666665;3099.9999999999995;4649.999999999998;6516.666666666667
5,21.0;20.0;19.0;19.0;19.0;19.0,2000.0;1900.0;2671.4285714285716;3720.000000000001;5000.0
5,21.0;19.0;19.0;19.0;19.0;19.0,950.0;1866.6666666666665;3099.9999999999995;4649.999999999998;6516.666666666667
5,21.0;20.0;19.0;19.0;19.0;19.0,2000.0;1900.0;2671.4285714285716;3720.000000000001;5000.0
