numPlayed,heuristicList,remainingTime
75,34.0;28.0;27.0;28.0;27.0;28.0;28.0;28.0;28.0;28.0;28.0;27.0;28.0;27.0;28.0;27.0;28.0;26.0;27.0;26.0;27.0;26.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;27.0;27.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;25.0;25.0;25.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0,466.66666666666674;747.6190476190477;1389.4736842105265;1857.1428571428573;2885.4166666666665;4144.444444444444;5635.0;7357.575757575759;9312.5;11500.0;11508.955223880597;14079.999999999998;14239.53488372093;17203.030303030304;17423.809523809523;20800.0;18354.373522458627;19226.582278481015;18108.762886597942;19358.730158730155;18797.97570850203;20261.8320610687;19997.22222222222;19969.23076923077;20113.031914893618;20387.60064412238;20765.70796460177;21228.571428571428;21762.815656565654;22358.657243816255;24367.19022687609;26475.40229885057;28684.327086882455;27574.92447129909;25480.78583765113;23998.63945578231;22927.31854838709;22145.977011494255;21577.640264026402;21170.953101361578;20890.33985102421;20710.37613488975;20612.409200968523;21185.564610011646;21776.905829596413;21767.51054852321;21811.62018592297;21901.886792452828;22032.43727598566;22198.521046643913;22943.991683991684;23141.85861795075;23368.212340048143;23620.408163265303;23896.219810990548;24193.759820426483;25045.340383344348;25361.146496815294;26243.766301512784;27141.53846153847;28054.46293494705;28982.539682539682;29925.768667642747;30246.972269383135;30587.781731909847;30946.977730646868;31323.49010537137;31716.3757273483;32749.507389162558;33154.54545454547;33574.744186046526;34009.41176470588;34457.9295154185;34919.74248927039;35394.35146443514
75,32.0;28.0;27.0;26.0;25.0;26.0;26.0;25.0;26.0;25.0;26.0;25.0;26.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;23.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;23.0;23.0;23.0;23.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;23.0;23.0;23.0;23.0;23.0;23.0;22.0;22.0;22.0;22.0;22.0;23.0;23.0;23.0;22.0;22.0;22.0;22.0;22.0;23.0;23.0;22.0;23.0;23.0;23.0;22.0;23.0;23.0,700.0;1060.0;1336.842105263158;1525.0;2141.6666666666665;2866.6666666666665;3233.3333333333335;4190.47619047619;4653.488372093023;5847.826086956522;6381.345565749236;7824.561403508773;8410.606060606058;9081.333333333332;9824.404761904761;10632.258064516132;11500.0;12424.324324324323;13402.916666666664;14434.108527131782;15516.666666666664;16649.659863945577;17832.371794871793;19064.24242424242;17575.376884422116;15666.937669376694;14461.433447098978;13670.588235294119;13146.167097329888;12804.14746543779;12593.347193347196;12480.80808080808;12444.34782608696;12468.488745980709;12942.568431823998;13433.480176211451;13940.745953553836;14463.963963963964;14566.920152091254;14706.443914081145;14877.715144682446;15076.923076923078;15301.015228426397;15547.517730496453;15814.404432132967;16099.999999999996;16402.9071408411;17119.071310116084;17850.568643379367;18597.3991507431;19359.562841530056;20137.059724349154;20929.889807162537;21242.73318872017;21572.648083623695;21918.583277292088;22279.629629629635;22654.996857322436;23537.837000309886;24437.65281173594;25354.44678926741;25736.760124610588;26133.135089209856;26542.93567894448;26965.598575878954;27400.623052959512;28404.419321685513;29426.89047134621;29868.695867359565;30923.5294117647;31997.402282107323;33090.33189033189;33533.84074941452;34659.30052615291;35804.187758858716
71,34.0;28.0;27.0;28.0;27.0;28.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;27.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0,466.66666666666674;747.6190476190477;1389.4736842105265;1857.1428571428573;2885.4166666666665;3490.4761904761904;4213.461538461538;5040.860215053764;5966.666666666667;6987.804878048781;8102.536231884058;9309.80392156863;10608.928571428574;11999.453551912567;13481.060606060608;15053.521126760563;16716.666666666668;16500.0;16570.19230769231;16836.158192090392;17245.454545454544;17765.75342465753;18376.041666666668;19062.068965517246;19813.829787234044;20624.092409240926;23042.222222222223;25634.48275862068;24617.777777777774;22557.76173285198;21174.494556765163;20224.408014571945;19569.54933008526;19125.934065934067;18839.50617283951;18673.89705882353;18603.73831775701;18610.795155344917;19313.297872340427;19388.335704125184;19516.109625668443;19689.15510718789;19901.610978520286;20148.81087202718;20426.993534482757;20733.09352517986;21064.58742632613;21419.379115710253;22363.174896169825;22736.197224682615;23129.84248616432;23542.786885245903;23973.897010404326;24422.196796338674;24886.841135274604;25367.09462672373;25862.31433506046;26371.935699933023;27498.79611221559;28019.93569131833;28554.934415990007;29103.359643796815;29664.82575310101;30238.987924094305;31478.174037089877;32744.620611551523;33326.30998345284;33920.78853046594;34527.739905610906;35146.87819856703;35777.94436115275
68,33.0;27.0;28.0;28.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;27.0;26.0;27.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;25.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0,450.0;1073.3333333333333;1921.4285714285716;2400.0;3055.555555555555;3847.3684210526317;4763.043478260869;5797.530864197531;6948.387096774195;8214.285714285714;9594.444444444443;11088.372093023256;12695.744680851063;14416.339869281044;16250.0;18196.610169491523;17709.32400932401;17635.71428571429;17828.497409326428;18207.951070336392;18727.160493827156;19356.71641791044;20077.246871444822;20875.471698113208;21741.982507288627;24527.680311890836;27543.69501466275;28311.956521739117;31627.959927140255;29933.962264150934;26933.138401559456;24937.320044296783;23561.649782923294;22596.92307692308;21919.63943229766;21452.192066805845;21143.36198662846;20957.98122065728;20871.10204081634;21604.395604395606;22358.37742504409;23132.65306122449;23926.882477128787;24740.770975056676;24750.95907928389;24822.798552472857;24947.735920852352;25118.959913326114;25330.979381443296;25579.318256309423;25860.291353383458;26170.83708370837;26508.39090385722;27569.94906621392;27926.35658914729;28306.46766169154;28708.633093525175;29131.43274853802;29573.63711291652;30747.383112351723;31202.261985145167;31675.147155003273;32165.155358275202;32671.507692307685;33193.51464435147;34476.65876777251;35008.60927152318;35555.55555555557
68,33.0;27.0;28.0;28.0;28.0;28.0;27.0;28.0;27.0;27.0;27.0;26.0;26.0;26.0;26.0;27.0;27.0;27.0;27.0;27.0;27.0;26.0;26.0;26.0;26.0;26.0;27.0;27.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;24.0,450.0;1073.3333333333333;1921.4285714285716;3000.0000000000005;4310.606060606061;4675.000000000002;6460.0;6962.31884057971;7684.21052631579;8558.823529411766;8294.814814814814;8400.0;8711.940298507463;9159.829059829059;10696.319018404907;12357.64705882353;14144.256120527303;16056.521739130436;18094.764397905754;20259.25925925926;20321.681415929197;20588.188976377955;21007.210401891254;21545.8064516129;22181.952662721895;24786.666666666657;27573.684210526313;26005.000000000004;23378.644763860357;21663.76306620209;20504.08472012103;19709.09090909091;19167.66467065868;18810.629067245118;18592.66600594648;18482.846715328462;18459.34065934066;19156.277056277053;19208.484848484848;19318.18181818182;19476.827094474153;19677.777777777774;19915.78947368421;20186.666666666664;20487.01298701299;20814.04958677686;21165.480895915676;22115.50387596899;22485.833720390157;22877.6390127862;23289.489489489493;23720.165289256198;24168.619635977146;24633.949191685915;25115.370301451432;25612.199807877045;26123.839441535776;27261.60220994476;28424.951600045548;29613.928329952672;30130.0;30661.256100148537;31207.142857142855;31767.16776909201;32340.891359469475;33643.90243902439;34975.15850144093;35554.35839880283
67,32.0;27.0;28.0;28.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;27.0;26.0;27.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;25.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0,540.0;1350.0;2463.6363636363635;2955.5555555555557;3693.333333333334;4600.0;5653.846153846153;6846.376811594203;8173.584905660378;9633.333333333332;11224.378109452737;12945.945945945947;14797.530864197532;16778.787878787876;18889.473684210523;21129.41176470588;20170.63492063492;19820.0;19840.804597701146;20111.11111111111;20561.71171171171;21150.40650406504;21850.0;22642.176870748317;23514.150943396227;26614.345991561182;29986.624203821655;30717.64705882353;34429.9703264095;32286.802030456856;28729.668049792534;26395.321637426896;24796.8085106383;23676.943699731906;22887.090327737813;22335.3579175705;21961.88118811881;21725.986642380085;21599.072512647548;22346.83954619125;23116.06864274571;23906.315789473683;24717.198838896955;25548.387096774193;25527.649769585256;25573.94540942928;25677.712609970677;25831.368186874304;26028.820729772608;26265.120967741936;26536.206066441984;26838.709677419352;27169.818824569153;28258.123370981753;28608.722871452417;28984.31057563587;29383.08823529412;29803.51008215086;30244.240019240016;31446.899501069143;31900.413650465358;32372.7191811304;32862.85991588482;33369.9937225361;33893.37600325103;35207.31117824773;35740.54609512624
66,34.0;28.0;27.0;28.0;27.0;28.0;28.0;26.0;27.0;27.0;26.0;27.0;26.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;27.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0,466.66666666666674;747.6190476190477;1389.4736842105265;1857.1428571428573;2885.4166666666665;4144.444444444444;4044.4444444444443;4870.833333333333;5793.243243243243;6010.63829787234;7155.339805825242;7506.451612903225;8853.78787878788;9287.878787878788;9826.704545454544;10448.484848484848;11140.151515151516;11893.388429752065;12702.651515151514;13564.102564102564;14475.0;16642.857142857145;19012.33766233766;18460.674157303372;17027.972027972028;16126.5604249668;15558.26086956522;15214.1975308642;15029.5885344429;14963.476070528966;14988.69665513264;15086.524822695035;15243.632773938796;16023.954372623575;16826.306141154902;17650.619469026544;17852.653399668325;18097.919916796673;18380.92783505154;18697.35006973501;19043.730684326707;19417.276166456493;19815.703971119132;20237.130801687767;20679.988974641677;21747.722342733192;22842.902881536822;23965.546218487394;24413.51487644982;24882.799870675717;25372.162540868747;25880.540540540536;26407.017543859653;27661.445783132534;28200.083194675535;28755.984970477723;29328.471138845554;29916.944024205754;30520.876162506116;31908.892128279876;32523.25663716814;33152.71851342051;33796.85302979578;34455.28031290743;35127.659574468096;35813.68421052632
66,31.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;23.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;23.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;23.0;23.0;23.0;22.0;23.0;22.0;22.0;22.0;22.0;22.0;23.0;23.0;23.0;23.0;23.0;23.0;22.0;23.0;23.0;23.0;23.0;23.0;22.0;23.0;23.0;23.0;23.0,675.0;1020.0;1568.7499999999998;2272.727272727273;3125.0;4123.529411764706;5267.5;6556.521739130436;7990.384615384617;9568.965517241379;9523.555555555557;9808.695652173912;10292.660550458719;10914.814814814816;11643.356643356643;12460.000000000002;13353.483992467043;14316.494845360823;15344.075829383884;13776.119402985078;12025.433526011562;11020.754716981133;10418.725099601594;10060.689655172415;9863.22188449848;9778.260869565218;9776.167076167078;9837.668161434975;9949.690721649487;10460.707269155204;10619.69006381039;10812.698412698413;11035.059760956177;11283.2083958021;11554.376032083035;11846.380697050941;12157.479312539783;12486.262626262625;12831.578947368427;13552.036199095022;14292.141671278361;15051.895991332614;15413.537344398344;16210.918955578163;16587.847730600293;16980.300187617264;17387.524454477058;17808.8772845953;18243.80512389752;19148.71582435791;20076.25664078463;21026.45161290322;21999.32351770792;22994.893951296155;24013.183404420324;24449.275362318844;25507.14814814815;26588.286969253295;27692.71587071877;28820.457796852657;29971.534653465344;30396.69176363221;31587.470369116156;32802.144772117965;34040.74074074076;35303.28299409061
65,33.0;29.0;27.0;28.0;27.0;28.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;27.0;26.0;26.0;26.0;26.0;26.0;27.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;25.0;24.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;25.0;25.0,725.0;888.8888888888891;1570.5882352941176;2015.3846153846157;3094.4444444444443;3680.0;4396.0;5222.222222222222;6149.999999999999;7175.0;8294.814814814814;9508.0;10813.636363636368;12211.111111111108;13699.999999999998;15280.0;15106.586826347306;15213.402061855668;15509.502262443439;15943.54838709677;16484.363636363636;17111.920529801326;17812.76595744681;18577.528089887644;19399.477806788513;21765.972222222226;24309.350649350657;25078.26086956522;25912.34010534236;26805.08474576271;27751.49700598802;28747.672955974827;31799.619771863123;30767.118644067792;28416.54571843251;26757.86802030457;25562.119503945883;24692.292089249495;24061.382488479274;23611.486486486487;23302.572096648484;23106.078147612152;23001.080351114113;23714.93055555556;24447.831552482712;24430.02364066195;24473.377951292066;24569.37697993665;24711.22807017544;24893.447837150128;25789.93476234856;26703.278688524588;27633.466904125846;27840.255319148935;28809.08711963318;29794.989106753826;30025.058731401725;30286.466165413534;30576.4762593396;30892.757660167124;31233.310946944242;32330.134568718284;33445.890410958906;34580.57877813506;35734.19995772565
65,34.0;28.0;27.0;28.0;27.0;28.0;28.0;28.0;27.0;28.0;28.0;26.0;27.0;26.0;27.0;26.0;27.0;27.0;27.0;26.0;27.0;27.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;24.0;25.0;25.0;25.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;25.0;25.0;25.0,466.66666666666674;747.6190476190477;1389.4736842105265;1857.1428571428573;2885.4166666666665;4144.444444444444;5635.0;6138.461538461539;8040.000000000002;10224.137931034482;9126.907630522088;10016.666666666668;9739.34426229508;10917.910447761198;10944.099378881989;12316.279069767446;13770.309653916214;15306.185567010303;15378.125;17082.62108262108;18877.04918032787;17474.4966442953;15537.777777777777;14376.991150442474;13657.844990548205;13215.951595159515;12961.054172767203;12839.473684210523;12817.283950617284;12871.991247264772;12988.092835519677;13627.799227799227;14287.789084181313;14967.850799289517;15144.416804864566;15362.052877138412;15615.300146412883;15899.907791609043;16212.516382699869;16550.435865504358;16911.486753657573;17293.884484711212;17696.153846153848;18609.98937300744;19029.291900152828;19466.731898238748;19921.36470588235;20392.384406165012;20879.09925666813;21914.725337935004;22976.415495955724;23474.83552631579;24581.925264012993;25715.73033707865;26876.288659793812;28063.636363636368;29277.807900852058;29771.161048689137;30282.245588590777;30810.260014054817;31354.498977505107;31914.339289653653;33248.50672792911;34612.49999999999;36006.40404692714
