numPlayed,heuristicList,remainingTime
2,3.0;2.0;2.147483647E9,20.0;999980.0
1,4.0;3.0,30.0
1,5.0;4.0,40.0
1,5.0;4.0,40.0
1,4.0;3.0,30.0
1,3.0;3.0,999990.0
1,3.0;3.0,999990.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,3.0;3.0,999990.0
1,3.0;2.0,20.0
1,3.0;2.0,20.0
1,5.0;4.0,40.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,3.0;3.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,3.0;2.0,20.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,3.0;2.0,20.0
1,3.0;2.0,20.0
1,4.0;3.0,30.0
1,3.0;3.0,999990.0
1,4.0;3.0,30.0
1,3.0;2.0,20.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,3.0;3.0,999990.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,5.0;4.0,40.0
1,5.0;4.0,40.0
1,3.0;2.0,20.0
1,5.0;4.0,40.0
1,3.0;2.0,20.0
1,5.0;4.0,40.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,5.0;4.0,40.0
1,3.0;3.0,999990.0
1,3.0;3.0,999990.0
1,3.0;2.0,20.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,3.0;2.0,20.0
1,6.0;4.0,20.0
1,3.0;2.0,20.0
1,3.0;2.0,20.0
1,3.0;2.0,20.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,5.0;4.0,40.0
1,4.0;3.0,30.0
1,3.0;2.0,20.0
1,5.0;4.0,40.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,5.0;4.0,40.0
1,4.0;3.0,30.0
1,3.0;3.0,999990.0
1,4.0;3.0,30.0
1,3.0;3.0,999990.0
1,4.0;3.0,30.0
1,3.0;2.0,20.0
1,5.0;4.0,40.0
1,4.0;3.0,30.0
1,3.0;3.0,999990.0
1,3.0;2.0,20.0
1,4.0;3.0,30.0
1,3.0;2.0,20.0
1,3.0;2.0,20.0
1,6.0;5.0,50.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,3.0;2.0,20.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
1,6.0;4.0,20.0
1,3.0;3.0,999990.0
1,3.0;3.0,999990.0
1,3.0;3.0,999990.0
1,5.0;4.0,40.0
1,4.0;3.0,30.0
1,3.0;2.0,20.0
1,4.0;3.0,30.0
1,4.0;3.0,30.0
