numPlayed,heuristicList,remainingTime
161,39.0;37.0;38.0;32.0;31.0;31.0;30.0;31.0;31.0;32.0;32.0;32.0;31.0;30.0;31.0;31.0;32.0;32.0;31.0;30.0;32.0;31.0;31.0;30.0;31.0;32.0;32.0;32.0;30.0;27.0;27.0;27.0;27.0;27.0;27.0;27.0;24.0;27.0;27.0;28.0;28.0;25.0;23.0;21.0;23.0;25.0;25.0;25.0;26.0;27.0;25.0;27.0;24.0;24.0;25.0;25.0;25.0;25.0;25.0;25.0;26.0;26.0;26.0;27.0;27.0;27.0;27.0;26.0;26.0;24.0;25.0;26.0;26.0;26.0;26.0;26.0;25.0;26.0;25.0;24.0;24.0;25.0;24.0;25.0;25.0;26.0;26.0;26.0;26.0;25.0;26.0;26.0;24.0;26.0;25.0;26.0;25.0;26.0;26.0;24.0;23.0;22.0;20.0;18.0;17.0;17.0;17.0;19.0;18.0;19.0;17.0;19.0;19.0;19.0;18.0;17.0;17.0;16.0;18.0;16.0;16.0;15.0;13.0;11.0;13.0;14.0;11.0;12.0;12.0;13.0;13.0;13.0;13.0;10.0;11.0;10.0;8.0;6.0;7.0;6.0;4.0;4.0;4.0;5.0;3.0;5.0;5.0;5.0;4.0;4.0;4.0;5.0;5.0;5.0;3.0;5.0;4.0;4.0;6.0;5.0;3.0;1.0,1850.0;7500.0;1675.0;1485.7142857142856;1645.833333333333;1769.5652173913045;2149.557522123894;2585.074626865672;3302.054794520548;4107.594936708861;5001.764705882353;5562.886597938143;5779.653679653679;6472.703412073491;7212.996389891696;8512.676056338027;9935.16609392898;10758.227848101265;10946.111111111113;12619.047619047617;13580.719794344468;14586.956521739132;14780.735930735933;15897.942386831277;18025.77319587629;20334.435261707986;22831.677018633538;22670.631970260223;19526.666666666668;17555.961070559613;16242.842323651454;15336.467751657627;14700.16025641025;14253.093525179858;13944.408181026978;12760.26936026936;12735.242061426343;12758.899676375408;13102.314814814814;13461.946902654869;13014.431467311046;12207.09677419355;11193.779453345902;10759.48012232416;10743.856332703212;10755.640632976005;10791.160577465927;11004.6511627907;11389.339067451334;11455.277538107566;11859.93265993266;11782.802547770701;11734.18932527694;11860.609357997826;11998.866015352403;12148.078431372553;12307.490272373543;12476.448481052303;12654.386230567332;12990.535344572614;13332.731213872834;13680.936234341149;14195.566708490169;14719.647771051183;15253.180315994396;15796.165191740412;16165.288713910759;16540.375224877924;16553.340757238304;16762.27141482194;17161.19702514461;17565.88644264195;17976.32267607236;18392.489941886455;18814.37355880093;19043.93063583815;19478.83859649123;19717.91290057519;19765.32683315093;19826.355392629754;20093.6037735849;20172.480762183954;20455.069213980332;20743.173431734318;21233.781439722457;21730.256322429646;22232.59766615931;22740.805077668283;23041.896650560968;23562.30781679883;24088.620551779284;24179.5055572868;24718.3267853016;25038.69894099849;25589.718647111644;25916.847985886503;26480.07565286971;27049.364050875927;27148.07111236034;27025.627044711015;26700.09640243635;25984.01002506265;24948.509933774832;23850.89047195013;22880.8084524811;22018.227091633475;21537.74336424179;20961.375274323338;20571.932373530577;19961.540618602954;19650.152358509727;19365.456545654564;19104.97001508755;18755.630597562766;18328.83582933033;17937.358747447233;17480.26828071323;17247.680396014464;16851.388846416517;16486.189801699715;16065.606887146267;15519.465911977073;14870.663622684588;14419.762569832401;14071.192890344646;13554.122426368762;13139.702222222226;12755.94024052333;12455.938037865752;12175.909182238294;11914.072659482568;11668.85593220339;11290.804597701153;10985.860619547173;10654.817394867594;10258.16937553465;9806.343136170413;9426.650009141322;9034.897989138408;8598.42416036707;8193.072558972824;7815.460681211745;7493.472680601393;7131.865076461549;6849.854072384824;6583.66414546566;6331.912692320522;6067.830703818017;5817.800851468066;5580.6353084911425;5378.418578823152;5185.508478944375;5001.21868461234;4782.203389830513;4614.813952377539;4433.968331643886;4260.655541905548;4133.06595365419;3991.0231147232735;3817.0001437171522;3613.691694355606
90,33.0;31.0;28.0;27.0;27.0;28.0;29.0;27.0;24.0;25.0;27.0;27.0;28.0;28.0;28.0;25.0;23.0;21.0;25.0;25.0;25.0;26.0;27.0;25.0;25.0;23.0;23.0;23.0;24.0;24.0;21.0;20.0;21.0;21.0;22.0;22.0;22.0;21.0;21.0;22.0;22.0;20.0;22.0;21.0;18.0;18.0;22.0;22.0;23.0;22.0;20.0;21.0;21.0;22.0;21.0;18.0;18.0;21.0;18.0;18.0;22.0;22.0;22.0;23.0;22.0;20.0;21.0;21.0;23.0;21.0;18.0;22.0;22.0;23.0;23.0;21.0;23.0;24.0;22.0;20.0;23.0;21.0;21.0;21.0;22.0;22.0;22.0;21.0;23.0;23.0;23.0,1550.0;1126.6666666666667;1266.6666666666665;1624.9999999999998;2421.0526315789475;3973.684210526316;4294.2307692307695;3362.9629629629626;3418.4873949579833;4281.25;5243.065693430657;6943.283582089552;9000.763358778624;11462.5;10300.0;8347.540983606556;6582.670454545454;7002.061855670103;7456.603773584906;7943.478260869566;8898.105263157897;10445.299145299143;10928.402366863906;11447.619047619042;10921.259842519685;10598.710865561694;10415.867158671586;10725.858123569795;11065.490196078428;10315.837937384898;9502.917981072555;9180.253878702395;8957.142857142857;9033.016627078385;9137.592592592595;9266.805845511486;9204.398260028996;9181.908190819082;9389.940068493152;9611.42857142857;9454.585537918876;9715.228426395943;9795.674562306896;9364.208333333334;9021.508459994264;9355.041782729808;9696.109757198301;10214.727854855924;10568.328141225336;10576.923076923078;10775.552387740556;10982.943603851447;11374.054982817866;11592.374350086655;11299.797365754814;11057.886055069153;11323.324694557574;11123.75960866527;10959.466313816298;11407.310704960837;11864.057971014492;12329.709684255133;12974.346379337665;13458.617453862993;13591.266838201907;13910.42345276873;14234.951456310675;14941.242283950614;15271.335504885996;15032.075471698117;15570.740493662444;16118.996036988112;16884.865293185423;17672.78408590793;18026.469065493144;18847.527828112863;19941.748376694122;20552.380952380954;20647.11864406779;21541.321276061284;21903.21388991503;22270.724637681164;22643.784808626613;23305.050505050505;23975.9576202119;24656.509695290864;25039.3609789259;26053.472537448935;27094.184284307048;28161.885245901634
90,35.0;32.0;30.0;27.0;27.0;28.0;29.0;27.0;24.0;27.0;27.0;28.0;28.0;28.0;25.0;23.0;21.0;23.0;25.0;25.0;25.0;26.0;26.0;27.0;25.0;25.0;23.0;23.0;23.0;24.0;23.0;21.0;20.0;20.0;21.0;21.0;22.0;22.0;22.0;21.0;21.0;22.0;20.0;23.0;21.0;18.0;22.0;23.0;20.0;21.0;21.0;22.0;21.0;18.0;21.0;18.0;22.0;22.0;23.0;22.0;20.0;21.0;22.0;21.0;23.0;21.0;18.0;18.0;22.0;22.0;22.0;23.0;21.0;24.0;22.0;20.0;23.0;21.0;21.0;21.0;22.0;22.0;22.0;22.0;21.0;23.0;23.0;23.0;23.0;23.0;23.0,1066.6666666666667;1193.3333333333333;1042.3076923076924;1238.0952380952378;1720.1257861635222;2568.9655172413795;2854.545454545455;2477.777777777778;3019.8529411764703;3618.4210526315783;4626.539278131635;5777.777777777779;7076.047904191617;6661.993769470405;5749.140893470791;4792.0;4692.000000000001;5099.999999999999;5531.645569620253;5986.486486486487;6736.065573770491;7531.847133757963;8740.984483681113;9231.231231231232;9746.121297602256;9505.30679933665;9377.419354838707;9332.39436619718;9660.283018867924;9697.231833910033;9219.786910197869;8648.226950354609;8236.363636363636;8125.081081081082;8062.562313060818;8216.556914393226;8386.776491540517;8571.682163989855;8593.900990099011;8640.834575260807;8876.992624315966;8788.681757656459;9221.87195320117;9322.256536956967;8961.37521222411;9266.867800329128;9741.112009341601;9732.653061224493;9902.083333333334;10080.974842767298;10429.455047137273;10620.22172949002;10345.790200138028;10566.880513231756;10344.473733760118;10738.336414048059;11139.60791432202;11709.729729729734;12125.457227138642;12209.540034071553;12471.156078951735;12909.750788986836;13179.621380846325;13815.00474833808;14089.351851851854;13825.263157894737;13600.999999999996;14082.070984266375;14571.447939262474;15069.131832797433;15768.181615648533;16084.271133211205;17020.82014767933;17553.062288246027;17655.104877432394;18425.637143578097;18752.0184544406;19083.773310728997;19420.833333333332;19999.373286329806;20586.400651465796;21181.91660907625;21785.92229318735;22134.974267173864;23025.509062430076;23938.174088162898;24873.226672633697;25830.924144103825;26811.523830834638;27815.283061087495
78,31.0;30.0;27.0;27.0;28.0;29.0;27.0;24.0;27.0;27.0;28.0;28.0;25.0;21.0;25.0;25.0;26.0;26.0;25.0;23.0;23.0;24.0;23.0;21.0;20.0;21.0;21.0;21.0;22.0;22.0;21.0;21.0;22.0;22.0;20.0;20.0;23.0;21.0;18.0;23.0;22.0;23.0;22.0;20.0;21.0;21.0;18.0;22.0;22.0;21.0;18.0;18.0;22.0;22.0;23.0;22.0;20.0;21.0;21.0;22.0;21.0;18.0;23.0;22.0;23.0;23.0;21.0;23.0;24.0;23.0;21.0;21.0;21.0;22.0;22.0;21.0;23.0;23.0;23.0,3000.0;1366.6666666666665;1766.666666666667;2977.7777777777783;6020.833333333333;5823.076923076923;3757.894736842105;4808.333333333334;5987.323943661973;8470.588235294119;11660.0;9628.57142857143;6080.874316939891;6414.465408805032;6815.352697095435;7798.425196850394;8848.064918851436;9287.91946308725;8635.422343324248;8284.40366972477;8530.1652892562;8414.801444043323;7718.159203980098;7017.283950617286;6789.18918918919;6656.666666666668;6592.987012987012;6772.302737520129;6971.783295711062;6997.92531120332;7056.813819577736;7323.624595469255;7602.885170225043;7526.511134676564;7490.926924963216;8002.687140115166;8160.826146164323;7823.590585659551;8369.603880355698;8752.351097178684;9333.346208317242;9732.833583208396;9745.958348040946;9973.234032949675;10210.73170731707;9896.760647870427;10354.263338228098;10822.094361334868;11101.307007786429;10816.088980858769;10585.952611218569;11089.947594092426;11605.672926447573;12332.614807872542;12873.123989840686;12997.899097499627;13344.377162629757;13697.638127372418;14279.122405054506;14642.276422764226;14342.359249329762;15177.355836849507;15800.417536534445;16688.669201520916;17608.550752237672;17995.868998883503;18961.887003542794;20276.886197325257;21320.57262040197;21696.891191709838;22080.905914950003;22472.45762711863;23225.76472644642;23991.727241259952;24392.13197969543;25571.61290322581;26789.528676888134;28046.66666666667
68,37.0;35.0;32.0;31.0;30.0;31.0;31.0;31.0;32.0;32.0;32.0;30.0;27.0;27.0;27.0;27.0;27.0;29.0;27.0;24.0;27.0;27.0;28.0;28.0;25.0;23.0;21.0;25.0;25.0;25.0;26.0;27.0;25.0;27.0;24.0;24.0;25.0;25.0;25.0;25.0;25.0;25.0;26.0;26.0;26.0;27.0;27.0;26.0;26.0;25.0;24.0;26.0;24.0;26.0;26.0;26.0;26.0;26.0;26.0;25.0;26.0;25.0;26.0;26.0;26.0;26.0;26.0;26.0;25.0,1750.0;1286.6666666666665;1457.1428571428569;1633.3333333333335;2235.507246376811;2942.857142857142;3754.545454545454;5286.27450980392;7140.000000000001;9333.333333333332;8983.333333333334;6776.923076923075;5940.277777777777;5589.855072463768;5473.214285714285;5490.909090909091;6140.679304897314;6228.099173553718;5655.887230514096;5934.541792547835;6240.7766990291275;6806.068601583114;7396.6457023060775;7244.247787610619;6761.523988711197;6109.523809523809;6260.130718954248;6432.432432432433;6623.773425984418;6992.753623188406;7547.349823321556;7758.167036215817;8350.81344902386;8387.009063444108;8453.399122807017;8722.291853178154;9003.333333333332;9295.966203325157;9599.725705329152;9914.221218961622;10239.122045344911;10773.267326732674;11320.95435684647;11882.18313035634;12691.26050420168;13531.128924515695;14132.254901960787;14746.513115802947;15091.57667386609;15171.75572519084;15825.828769097723;15921.782178217822;16601.98359029844;17296.381053751997;18004.975124378114;18727.766323024047;19464.755138289776;20215.94202898551;20624.235807860263;21402.6781444285;21822.7748082733;22628.626012532477;23449.12915629948;24284.28571428572;25134.097084526697;25998.564593301435;26877.6894996779;27311.81716833891
55,39.0;37.0;37.0;37.0;37.0;35.0;33.0;31.0;28.0;28.0;28.0;29.0;26.0;27.0;28.0;27.0;26.0;27.0;28.0;29.0;28.0;28.0;26.0;29.0;29.0;29.0;26.0;28.0;27.0;26.0;28.0;29.0;29.0;29.0;29.0;28.0;28.0;26.0;29.0;28.0;28.0;25.0;27.0;28.0;27.0;29.0;29.0;28.0;28.0;28.0;28.0;28.0;29.0;29.0;29.0;29.0,1850.0;3666.6666666666665;6100.0;9149.999999999996;6225.0;4336.363636363636;3312.1951219512193;2507.407407407407;2289.320388349515;2261.194029850746;2431.034482758621;2331.03448275862;2410.416666666666;2618.5185185185187;2753.6585365853653;2823.7960339943347;3014.9572649572647;3320.0956937799047;3749.9427262313866;4086.021505376344;4439.007092198582;4553.676470588232;5079.166666666667;5634.027777777778;6218.327702702703;6313.80731581659;6770.000000000002;7064.435146443515;7199.073475544064;7710.000000000004;8436.128236744758;9198.377939983779;9997.058823529413;10832.464454976303;11422.636103151865;12029.300776914539;12072.374547335747;13014.188034188035;13673.330009970086;14349.175557710962;14064.286776736579;14460.27397260274;15190.452261306538;15603.703703703704;16719.87951807229;17883.97435897436;18686.295279194455;19506.225980015373;20343.766478342746;21198.916789758736;22071.67692864904;23460.246198406952;24903.41416334902;26402.170767004343;27957.504520795657
45,40.0;37.0;35.0;33.0;31.0;28.0;28.0;29.0;26.0;27.0;28.0;28.0;27.0;26.0;27.0;28.0;28.0;28.0;26.0;29.0;29.0;29.0;29.0;26.0;26.0;28.0;27.0;26.0;27.0;29.0;29.0;29.0;29.0;29.0;29.0;28.0;28.0;26.0;27.0;28.0;27.0;28.0;28.0;25.0;29.0;28.0,1233.3333333333335;1393.3333333333333;1426.0869565217392;1400.0000000000002;1237.5;1300.0;1539.9999999999995;1532.6599326599326;1690.909090909091;1978.260869565217;2294.623655913979;2522.4719101123596;2662.650602409639;2952.173913043478;3395.918367346939;3870.7692307692305;4376.727272727271;4554.545454545455;5316.96;6148.264984227129;7050.077760497668;8023.926380368097;8065.753424657534;8170.2970297029715;8923.444976076551;9374.606741573034;9522.760041194642;10029.6875;11268.923781485117;12606.508875739648;14046.778989098118;15594.156706507303;17253.15315315315;19028.370221327972;20128.41796875;21259.582542694494;20829.274611398963;21260.130718954246;22484.49240607514;22940.81942336874;24228.844246031746;25552.554744525543;24390.163934426237;26598.936170212764;28017.015706806273
41,40.0;37.0;35.0;33.0;31.0;28.0;28.0;28.0;29.0;26.0;26.0;26.0;27.0;28.0;28.0;27.0;26.0;27.0;28.0;28.0;28.0;28.0;26.0;29.0;29.0;29.0;29.0;26.0;26.0;26.0;28.0;28.0;27.0;26.0;28.0;29.0;29.0;29.0;29.0;29.0;28.0;28.0,1233.3333333333335;1393.3333333333333;1426.0869565217392;1400.0000000000002;1237.5;1300.0;1446.0526315789475;1740.7407407407409;1761.7021276595742;1851.7241379310349;1985.3140096618354;2243.2989690721647;2631.1004784688994;3050.0;3362.068965517241;3558.122743682311;3921.1817168338903;4465.384615384616;5045.2307692307695;5660.749506903352;6311.9658119658125;6514.507772020726;7491.116860715825;8555.038759689922;9709.677419354839;10958.419243986256;10969.93006993007;11051.063829787232;11187.606001304632;12139.846743295024;13132.8330206379;13700.0;13836.122618061308;14922.838499184338;16586.914600550965;18383.919597989952;20321.73174872665;22408.66322432588;24653.490401396164;26047.86324786325;27480.988274706866
38,41.0;37.0;36.0;34.0;32.0;30.0;30.0;30.0;31.0;28.0;28.0;28.0;29.0;30.0;29.0;28.0;29.0;30.0;30.0;30.0;30.0;28.0;31.0;31.0;31.0;31.0;30.0;30.0;28.0;28.0;28.0;30.0;29.0;28.0;29.0;31.0;31.0;31.0;30.0,925.0;1420.0;1531.8181818181818;1514.2857142857142;1451.3888888888887;1582.3529411764707;1797.7272727272725;2206.060606060606;2224.137931034483;2333.333333333333;2498.449612403101;2829.5857988165676;3336.187845303868;3714.666666666667;3950.3311258278145;4391.836734693878;5061.111111111111;5779.245283018867;6546.363636363638;7362.573099415204;7585.917721518987;8835.031847133756;10214.850427350426;11732.90322580645;13396.915584415587;14522.779519331245;15694.090909090908;15483.468834688349;15406.250000000004;15430.648769574946;16736.593406593405;17422.964509394573;17488.8354186718;18249.171270718238;20442.458450925056;22841.53846153847;25463.42182890855;27189.147286821706
38,41.0;37.0;36.0;34.0;32.0;30.0;30.0;30.0;31.0;28.0;28.0;28.0;29.0;30.0;29.0;28.0;29.0;30.0;30.0;30.0;30.0;28.0;30.0;31.0;31.0;31.0;31.0;30.0;28.0;28.0;28.0;30.0;29.0;28.0;29.0;31.0;31.0;31.0;30.0,925.0;1420.0;1531.8181818181818;1514.2857142857142;1451.3888888888887;1582.3529411764707;1797.7272727272725;2206.060606060606;2224.137931034483;2333.333333333333;2498.449612403101;2829.5857988165676;3336.187845303868;3714.666666666667;3950.3311258278145;4391.836734693878;5061.111111111111;5779.245283018867;6546.363636363638;7362.573099415204;7585.917721518987;8485.23076923077;9829.974160206717;11312.5;12940.944881889764;14723.7037037037;15903.220858895707;15668.493150684935;15573.14356435644;15583.52144469526;16898.780487804877;17583.15789473684;17637.34238603298;18397.217068645637;20610.742496050552;23032.55813953489;25679.98017839445;27416.406249999996
