numPlayed,heuristicList,remainingTime
12,27.0;20.0;19.0;15.0;12.0;11.0;12.0;8.0;9.0;8.0;9.0;1.0;1.0,285.71428571428567;450.0;397.2972972972974;331.42857142857144;311.7283950617284;362.857142857143;301.0;303.7037037037037;293.2907348242811;324.1758241758241;165.4738237243207;62.92834890965719
3,36.0;28.0;23.0;25.0,350.0;346.1538461538462;586.842105263158
2,35.0;27.0;25.0,337.5;480.0
1,38.0;35.0,1166.6666666666667
1,29.0;26.0,866.6666666666667
1,33.0;31.0,1550.0
1,29.0;28.0,2800.0
1,32.0;29.0,966.6666666666667
1,31.0;31.0,999900.0
1,33.0;29.0,725.0
1,32.0;29.0,966.6666666666667
1,35.0;34.0,3400.0
1,28.0;25.0,833.3333333333334
1,33.0;31.0,1550.0
1,29.0;28.0,2800.0
1,32.0;34.0,999900.0
1,36.0;32.0,800.0
1,32.0;30.0,1500.0
1,30.0;26.0,650.0
1,35.0;31.0,775.0
1,31.0;32.0,999900.0
1,32.0;33.0,999900.0
1,33.0;31.0,1550.0
1,33.0;32.0,3200.0
1,31.0;29.0,1450.0
1,36.0;36.0,999900.0
1,27.0;27.0,999900.0
1,31.0;27.0,675.0
1,30.0;30.0,999900.0
1,31.0;29.0,1450.0
1,33.0;33.0,999900.0
1,31.0;31.0,999900.0
1,35.0;29.0,483.33333333333337
1,37.0;35.0,1750.0
1,29.0;31.0,999900.0
1,28.0;29.0,999900.0
1,34.0;31.0,1033.3333333333335
1,34.0;31.0,1033.3333333333335
1,30.0;28.0,1400.0
1,34.0;32.0,1600.0
1,33.0;31.0,1550.0
1,29.0;26.0,866.6666666666667
1,31.0;28.0,933.3333333333335
1,33.0;30.0,1000.0
1,30.0;28.0,1400.0
1,31.0;31.0,999900.0
1,31.0;29.0,1450.0
1,31.0;32.0,999900.0
1,34.0;31.0,1033.3333333333335
1,30.0;28.0,1400.0
1,34.0;31.0,1033.3333333333335
1,29.0;30.0,999900.0
1,33.0;31.0,1550.0
1,32.0;31.0,3100.0
1,25.0;26.0,999900.0
1,29.0;24.0,480.0
1,29.0;26.0,866.6666666666667
1,35.0;34.0,3400.0
1,29.0;29.0,999900.0
1,37.0;35.0,1750.0
1,28.0;28.0,999900.0
1,35.0;33.0,1650.0
1,31.0;33.0,999900.0
1,33.0;29.0,725.0
1,28.0;25.0,833.3333333333334
1,29.0;26.0,866.6666666666667
1,31.0;27.0,675.0
1,31.0;33.0,999900.0
1,31.0;33.0,999900.0
1,31.0;32.0,999900.0
1,34.0;34.0,999900.0
1,28.0;29.0,999900.0
1,36.0;34.0,1700.0
1,34.0;31.0,1033.3333333333335
1,30.0;28.0,1400.0
1,28.0;25.0,833.3333333333334
1,29.0;26.0,866.6666666666667
1,28.0;29.0,999900.0
1,31.0;30.0,3000.0
1,31.0;29.0,1450.0
1,38.0;35.0,1166.6666666666667
1,33.0;31.0,1550.0
1,29.0;27.0,1350.0
1,25.0;28.0,999900.0
1,26.0;26.0,999900.0
1,34.0;34.0,999900.0
1,30.0;30.0,999900.0
1,30.0;25.0,500.0
1,29.0;26.0,866.6666666666667
1,34.0;33.0,3300.0
1,31.0;28.0,933.3333333333335
1,23.0;25.0,999900.0
1,34.0;31.0,1033.3333333333335
1,31.0;27.0,675.0
1,33.0;34.0,999900.0
1,33.0;33.0,999900.0
1,30.0;28.0,1400.0
1,36.0;32.0,800.0
1,37.0;31.0,516.6666666666667
1,29.0;29.0,999900.0
1,33.0;31.0,1550.0
