numPlayed,heuristicList,remainingTime
5,16.0;9.0;5.0;5.0;5.0;1.0,128.57142857142856;81.81818181818181;86.48648648648651;107.69230769230768;24.904214559387015
1,11.0;11.0,999900.0
1,14.0;12.0,600.0
1,15.0;12.0,400.0
1,13.0;11.0,550.0
1,14.0;10.0,250.0
1,15.0;12.0,400.0
1,13.0;11.0,550.0
1,14.0;11.0,366.6666666666667
1,14.0;13.0,1300.0
1,14.0;14.0,999900.0
1,14.0;11.0,366.6666666666667
1,17.0;11.0,183.33333333333337
1,13.0;9.0,225.0
1,13.0;13.0,999900.0
1,14.0;12.0,600.0
1,13.0;11.0,550.0
1,12.0;12.0,999900.0
1,14.0;12.0,600.0
1,14.0;12.0,600.0
1,13.0;12.0,1200.0
1,15.0;13.0,650.0
1,14.0;12.0,600.0
1,14.0;13.0,1300.0
1,16.0;13.0,433.33333333333337
1,15.0;14.0,1400.0
1,17.0;13.0,325.0
1,20.0;12.0,150.0
1,13.0;9.0,225.0
1,11.0;9.0,450.0
1,15.0;11.0,275.0
1,13.0;10.0,333.33333333333337
1,14.0;11.0,366.6666666666667
1,17.0;14.0,466.66666666666674
1,14.0;13.0,1300.0
1,15.0;13.0,650.0
1,16.0;10.0,166.66666666666669
1,13.0;13.0,999900.0
1,13.0;10.0,333.33333333333337
1,12.0;12.0,999900.0
1,13.0;9.0,225.0
1,13.0;11.0,550.0
1,13.0;10.0,333.33333333333337
1,14.0;11.0,366.6666666666667
1,14.0;12.0,600.0
1,16.0;12.0,300.0
1,16.0;14.0,700.0
1,13.0;10.0,333.33333333333337
1,18.0;13.0,260.0
1,14.0;11.0,366.6666666666667
1,13.0;10.0,333.33333333333337
1,15.0;11.0,275.0
1,14.0;14.0,999900.0
1,13.0;11.0,550.0
1,19.0;11.0,137.5
1,17.0;14.0,466.66666666666674
1,14.0;13.0,1300.0
1,18.0;12.0,200.0
1,14.0;9.0,180.0
1,13.0;11.0,550.0
1,11.0;11.0,999900.0
1,14.0;11.0,366.6666666666667
1,13.0;12.0,1200.0
1,15.0;11.0,275.0
1,13.0;10.0,333.33333333333337
1,16.0;12.0,300.0
1,13.0;11.0,550.0
1,15.0;10.0,200.0
1,13.0;11.0,550.0
1,13.0;11.0,550.0
1,11.0;9.0,450.0
1,13.0;11.0,550.0
1,16.0;12.0,300.0
1,14.0;13.0,1300.0
1,12.0;11.0,1100.0
1,14.0;13.0,1300.0
1,16.0;13.0,433.33333333333337
1,16.0;11.0,220.0
1,16.0;12.0,300.0
1,15.0;12.0,400.0
1,14.0;11.0,366.6666666666667
1,17.0;11.0,183.33333333333337
1,14.0;14.0,999900.0
1,15.0;10.0,200.0
1,14.0;12.0,600.0
1,16.0;9.0,128.57142857142856
1,16.0;10.0,166.66666666666669
1,13.0;8.0,160.0
1,13.0;9.0,225.0
1,15.0;9.0,150.0
1,12.0;11.0,1100.0
1,16.0;9.0,128.57142857142856
1,15.0;9.0,150.0
1,15.0;10.0,200.0
1,14.0;11.0,366.6666666666667
1,18.0;13.0,260.0
1,13.0;11.0,550.0
1,17.0;11.0,183.33333333333337
