numPlayed,heuristicList,remainingTime
4,24.0;19.0;16.0;13.0;13.0,380.0;391.66666666666663;350.0;407.1428571428572
4,22.0;12.0;12.0;12.0;12.0,120.0;206.66666666666669;333.33333333333337;500.0
4,23.0;17.0;13.0;13.0;13.0,283.33333333333337;253.33333333333331;335.2941176470588;458.33333333333337
4,23.0;16.0;12.0;13.0;13.0,228.57142857142856;209.09090909090907;320.5882352941177;469.5652173913044
4,22.0;17.0;13.0;13.0;14.0,340.0;285.18518518518516;374.1935483870967;590.0
3,25.0;15.0;16.0;16.0,150.0;314.8148148148149;542.3076923076923
3,24.0;15.0;16.0;16.0,166.66666666666669;358.33333333333326;621.7391304347826
3,22.0;15.0;15.0;2.147483647E9,214.28571428571428;395.2380952380952;999700.0
3,26.0;19.0;16.0;16.0,271.4285714285714;306.66666666666663;433.33333333333326
3,24.0;17.0;16.0;15.0,242.85714285714283;375.0;492.8571428571428
3,24.0;15.0;15.0;14.0,166.66666666666669;300.0;416.66666666666674
3,25.0;16.0;16.0;16.0,177.77777777777777;322.2222222222223;525.925925925926
3,21.0;14.0;14.0;14.0,199.99999999999994;366.66666666666663;599.9999999999999
3,27.0;16.0;16.0;16.0,145.45454545454547;257.5757575757576;418.18181818181813
3,21.0;14.0;14.0;15.0,199.99999999999994;366.66666666666663;738.8888888888889
3,23.0;15.0;15.0;14.0,187.5;341.66666666666663;470.37037037037044
3,23.0;14.0;14.0;14.0,155.55555555555557;277.77777777777777;451.85185185185185
3,23.0;16.0;15.0;15.0,228.57142857142856;350.0;540.0
3,20.0;15.0;13.0;14.0,300.0;357.1428571428571;625.0
3,25.0;15.0;15.0;15.0,150.0;266.66666666666663;433.33333333333337
3,24.0;15.0;16.0;16.0,166.66666666666669;358.33333333333326;621.7391304347826
3,25.0;16.0;16.0;16.0,177.77777777777777;322.2222222222223;525.925925925926
3,24.0;16.0;16.0;16.0,200.0;366.66666666666663;600.0
2,21.0;16.0;16.0,320.0;606.6666666666666
2,23.0;16.0;16.0,228.57142857142856;423.80952380952374
2,19.0;15.0;13.0,375.0;422.2222222222222
2,23.0;16.0;16.0,228.57142857142856;423.80952380952374
2,21.0;16.0;17.0,320.0;800.0
2,19.0;15.0;15.0,375.0;716.6666666666666
2,21.0;15.0;15.0,250.0;466.66666666666674
2,24.0;16.0;17.0,200.0;442.8571428571428
2,22.0;17.0;16.0,340.0;511.1111111111111
2,20.0;15.0;14.0,300.0;444.44444444444446
2,23.0;17.0;17.0,283.33333333333337;533.3333333333334
2,20.0;15.0;15.0,300.0;566.6666666666666
2,22.0;17.0;16.0,340.0;511.1111111111111
2,21.0;16.0;16.0,320.0;606.6666666666666
2,22.0;16.0;16.0,266.6666666666667;500.0
2,19.0;14.0;13.0,280.0;411.1111111111112
2,22.0;17.0;16.0,340.0;511.1111111111111
2,21.0;15.0;16.0,250.0;593.3333333333333
2,22.0;16.0;16.0,266.6666666666667;500.0
2,23.0;15.0;16.0,187.5;414.2857142857142
2,19.0;14.0;14.0,280.0;526.6666666666665
1,17.0;16.0,1600.0
1,24.0;20.0,500.0
1,15.0;15.0,999900.0
1,25.0;21.0,525.0
1,23.0;19.0,475.0
1,20.0;16.0,400.0
1,16.0;15.0,1500.0
1,17.0;19.0,999900.0
1,22.0;21.0,2100.0
1,21.0;19.0,950.0
1,20.0;16.0,400.0
1,17.0;17.0,999900.0
1,22.0;21.0,2100.0
1,15.0;16.0,999900.0
1,20.0;16.0,400.0
1,16.0;15.0,1500.0
1,19.0;18.0,1800.0
1,20.0;16.0,400.0
1,22.0;22.0,999900.0
1,17.0;15.0,750.0
1,21.0;17.0,425.0
1,25.0;24.0,2400.0
1,16.0;16.0,999900.0
1,19.0;16.0,533.3333333333334
1,20.0;17.0,566.6666666666667
1,16.0;15.0,1500.0
1,22.0;20.0,1000.0
1,24.0;22.0,1100.0
1,21.0;21.0,999900.0
1,20.0;17.0,566.6666666666667
1,20.0;16.0,400.0
1,17.0;15.0,750.0
1,17.0;16.0,1600.0
1,21.0;21.0,999900.0
1,17.0;16.0,1600.0
1,17.0;17.0,999900.0
1,18.0;18.0,999900.0
1,19.0;19.0,999900.0
1,25.0;21.0,525.0
1,16.0;16.0,999900.0
1,21.0;18.0,600.0
1,22.0;18.0,450.0
1,22.0;22.0,999900.0
1,25.0;22.0,733.3333333333334
1,22.0;21.0,2100.0
1,20.0;18.0,900.0
1,22.0;21.0,2100.0
1,16.0;16.0,999900.0
1,22.0;21.0,2100.0
1,21.0;17.0,425.0
1,23.0;19.0,475.0
1,16.0;16.0,999900.0
1,20.0;16.0,400.0
1,17.0;16.0,1600.0
1,16.0;15.0,1500.0
1,15.0;15.0,999900.0
1,16.0;16.0,999900.0
