numPlayed,heuristicList,remainingTime
217,77.0;73.0;71.0;70.0;70.0;70.0;71.0;71.0;72.0;71.0;70.0;70.0;70.0;71.0;71.0;72.0;70.0;70.0;71.0;72.0;72.0;72.0;72.0;70.0;70.0;71.0;72.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;71.0;71.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;71.0;70.0;70.0;70.0;70.0;71.0;70.0;70.0;69.0;69.0;69.0;68.0;69.0;69.0;69.0;69.0;69.0;68.0;69.0;68.0;69.0;69.0;69.0;69.0;69.0;69.0;70.0;70.0;68.0;69.0;69.0;68.0;69.0;69.0;69.0;69.0;70.0;68.0;69.0;68.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;70.0;70.0;68.0;66.0;66.0;67.0;68.0;68.0;66.0;63.0;64.0;66.0;63.0;64.0;66.0;66.0;66.0;66.0;67.0;67.0;67.0;65.0;64.0;64.0;65.0;66.0;64.0;64.0;65.0;65.0;65.0;66.0;66.0;66.0;64.0;64.0;65.0;65.0;65.0;66.0;66.0;66.0;66.0;66.0;66.0;66.0;67.0;64.0;62.0;62.0;63.0;63.0;63.0;63.0;62.0;62.0;62.0;63.0;60.0;56.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;54.0;52.0;50.0;51.0;50.0;52.0;52.0;51.0;51.0;50.0;50.0;50.0;50.0;51.0;50.0;50.0;51.0;51.0;50.0;51.0;50.0;51.0;51.0;51.0;50.0;51.0;51.0;51.0;51.0;50.0;51.0;51.0;51.0;50.0;47.0;47.0;49.0;47.0;2.147483647E9,182.5;235.55555555555557;301.30434782608694;404.7058823529412;533.7037037037037;773.1999999999999;1058.909090909091;1613.8461538461538;1991.8965517241377;2074.324324324325;2211.8148148148143;2386.0377358490564;2907.706422018349;3490.000000000002;4770.000000000001;4759.999999999998;4836.904761904762;5618.450704225353;7475.360000000001;10051.234567901229;13756.923076923074;19380.810810810824;15785.88996763754;13896.363636363647;15178.308823529413;20326.37426900583;17670.205479452055;16077.97752808987;15066.650793650791;14408.67768595042;13982.810218978102;13718.518518518511;13571.982248520708;13514.54054054054;13526.658374792703;13594.562211981562;13708.261802575107;13860.33467202142;14045.150943396222;14258.362989323847;15591.86256781194;17024.411764705885;17159.826989619374;17330.152505446622;17530.95975232198;17758.70588235294;18010.522875816994;18284.064171122995;18577.391304347824;18888.88888888889;19217.199999999997;19561.17647058824;19919.84023238925;20292.35294117649;20677.991886409738;22322.351313969575;22690.45045045045;23072.66924564797;23468.275647022136;23876.630434782608;25695.259740259735;26083.96768402155;26486.47826086956;25502.72;24697.432098765432;24034.165517241378;22494.100185528765;22128.53146853147;21828.71074380165;21584.796238244537;21388.882265275708;21234.54545454545;20425.93695271453;20379.616568709775;19745.20547945205;19774.901960784315;19821.59451921911;19883.78777231201;19960.183486238537;20049.64912280701;20151.19222186803;20805.418781725886;21471.76191979792;21011.200000000004;21136.600928074244;21271.620605376946;20902.696328062182;21070.344827586177;21245.188110403393;21426.877175534566;21615.09589706239;22309.85127707727;21999.58285052144;22205.90208522212;21942.02867072111;22169.25957446809;22401.21559633028;22637.759607522486;22878.765036086606;23124.114870180965;23373.70077220077;23627.422289613343;24365.589295881568;25119.56417078424;24867.676120768527;23732.102040816328;22757.03309504898;22283.08391396547;22223.657352941154;22178.09374106887;21460.349150714475;19941.590408612672;18936.588786813358;18540.723570190636;17531.97558046437;16862.462078475623;16637.034220532314;16434.301675977655;16251.967526265522;16088.041707396547;16102.10027855153;16121.735905814014;16146.631667047095;15868.192982456141;15472.853623390507;15117.480671820866;14924.93146277109;14875.431247125718;14589.635181506228;14330.400555684206;14204.93093767547;14091.249454862624;13988.390189638736;13998.31275720165;14012.22431141376;14029.919314672776;13853.579253405298;13692.24586950434;13636.1905195574;13586.68800379327;13543.30988667448;13593.299180327871;13645.491455682915;13699.806691449816;13756.169979270817;13814.511121779484;13874.764267990073;13936.86758203398;14086.62388893158;13980.688622754491;13721.190648001155;13482.747283365841;13337.220436474368;13202.771892887691;13078.525015204379;12963.695299837924;12791.580220045944;12632.243085709817;12484.608938547486;12407.482462977398;12162.552151851158;11721.58549645571;11275.782791642483;10875.481151021788;10514.307321350288;10187.02726473175;9889.302504276244;9617.506439583252;9368.584090405493;9139.943743708178;8929.372346980697;8734.968790250668;8555.090814351646;8388.312405516303;8233.389336917562;8089.231095801857;7954.877857022519;7829.481475423245;7691.216650148659;7521.925256547709;7326.604573436714;7164.235243838741;6996.086029883583;6873.056704469647;6757.962954964292;6634.763780352394;6519.493775173931;6397.263955484521;6282.868103448275;6175.645464529699;6075.008055465044;5992.7365133146295;5903.2357768287575;5818.93864790934;5750.6935584126695;5686.202564020587;5614.548419566014;5557.203224230581;5492.770525310697;5441.6703189676155;5393.249252214732;5347.350482495513;5294.545789532711;5253.534205244938;5214.6301815226225;5177.7203542272;5142.699575216052;5101.024776041082;5069.710529223292;5040.002533753214;5011.822533005944;4977.191379959843;4921.061149540652;4867.6717378191815;4831.608590166214;4782.774199791413;997830.0
125,79.0;77.0;77.0;77.0;73.0;71.0;70.0;70.0;70.0;71.0;71.0;72.0;70.0;70.0;70.0;71.0;71.0;72.0;70.0;70.0;70.0;71.0;71.0;72.0;70.0;70.0;71.0;72.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;71.0;69.0;69.0;68.0;68.0;69.0;69.0;69.0;68.0;68.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;70.0;69.0;68.0;68.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;70.0;70.0;69.0;69.0;69.0;68.0;68.0;69.0;69.0;69.0;69.0;69.0;70.0;69.0;69.0;69.0;68.0;68.0;69.0;69.0;69.0;69.0;68.0;68.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;68.0;68.0;69.0;69.0;69.0;69.0;69.0;69.0;69.0;70.0;68.0;69.0;69.0;70.0,385.0;766.6666666666666;1276.6666666666667;618.3333333333334;484.2948717948718;457.4418604651163;484.75;534.8917748917748;632.5139664804468;740.1960784313726;904.8929663608563;976.8750000000002;1060.3401360544215;1153.4538152610444;1312.5352112676057;1481.904761904762;1740.286458333333;1842.3943661971832;1953.995726495726;2074.117647058824;2294.839924670433;2526.8115942028976;2892.424242424242;3013.9597315436235;3144.8598130841124;3420.1913393756304;3867.664122137405;3994.375;4131.119964586101;4276.932668329177;4431.069330199765;4592.948148148148;4762.107481559537;4938.176352705412;5120.853231454951;5309.890510948903;5505.082969432313;5706.259073143496;5913.274336283185;6330.351437699679;6334.596674112684;6358.089260808926;6214.432397959183;6110.45045045045;6197.152428810721;6292.212765957446;6394.848484848485;6348.793922127256;6322.813196611681;6456.437768240345;6594.762101779064;6737.571884984029;6884.681590119645;7035.929798356981;7191.175406871609;7350.294530154277;7513.177951684246;7837.4258760107805;8003.741273996509;8013.108614232211;8033.729116945107;8217.314330036843;8404.111804767308;8594.083102493072;8787.193362193362;8983.410893707034;9182.706825232679;9385.054796830214;9765.124653739613;10154.212637913739;10360.263330062153;10569.394812680117;10781.578080903102;10804.100589034888;10835.9375;11061.896181896183;11290.73855658523;11522.453454695904;11757.030487804881;11994.45998135571;12441.28317701058;12682.334248724988;12926.22950819672;13172.959028831563;13204.041146216017;13243.428300094964;13502.218908963341;13763.802281368835;14028.174643729064;14295.332437877767;14340.068493150686;14392.039737898964;14670.115787826631;14950.994748223671;15234.675410502774;15521.156626506014;15810.437304774656;16102.5164070918;16397.39294527508;16695.065978198505;16995.534609024333;17298.797982628188;17604.85528320177;18182.52222222222;18773.826438222597;19378.985750209555;19998.22054084349;20631.753794266442;21279.811134601838;21942.620865139947;22620.414008223455;22570.562293274525;22533.544264199852;22859.909909909904;23188.981275369915;23520.754163430836;23855.224568138197;24192.388663967602;24532.242795779635;24874.78346943825;25611.26583850932;25561.574275800853;25912.137468566634;26265.374407582945;27029.68824369348
96,77.0;72.0;70.0;70.0;70.0;71.0;70.0;70.0;70.0;71.0;71.0;72.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;71.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;71.0;71.0;71.0;69.0;69.0;68.0;68.0;69.0;69.0;69.0;69.0;68.0;68.0;69.0;69.0;69.0;69.0;68.0;69.0;68.0;69.0;69.0;69.0;69.0;69.0;68.0;69.0;69.0;68.0;69.0;69.0;69.0;69.0;69.0;70.0;70.0;70.0;68.0;69.0;68.0;69.0;69.0;69.0;69.0;70.0;69.0;68.0;69.0;69.0;69.0;69.0;69.0;68.0;69.0;69.0;69.0;68.0;69.0,144.0;198.57142857142858;299.1304347826087;428.75;671.7592592592594;839.5652173913043;1033.75;1252.929292929293;1705.9701492537313;2250.0;3454.2528735632186;3533.3333333333317;3691.395348837209;3902.266666666667;4152.631578947367;4435.000000000002;4744.835680751174;5079.230769230768;5436.235294117647;5814.492753623188;6213.030303030303;6631.132075471703;7068.259587020648;7523.999999999999;7998.031496062991;9421.23966942149;9893.696498054474;10385.735294117647;10896.724738675957;11426.158940397347;11973.627760252368;12538.795180722895;13121.383285302594;13721.160220994472;14337.931034482759;14971.530612244895;15621.818181818184;16288.672985782003;18660.87939698493;21413.90374331551;24628.11428571429;22529.41463414633;21028.829787234044;18374.471544715445;16578.53982300885;16274.999999999996;16056.16288832913;15905.539906103284;15810.846153846156;14972.003929273103;14324.23623445826;14441.21827411168;14576.85514270328;14729.258114374035;14896.851851851852;14486.329229366158;14704.772577455506;14387.914110429454;14643.84204275535;14907.479861910242;15178.515624999998;15456.673889490787;15741.710526315788;15511.278493557977;15821.374537260584;16137.26930320149;15954.001782531195;16290.284552845522;16631.80153321976;16978.499999999996;17330.33170201196;17687.25239616613;18594.273056786144;19537.863525588953;20519.254403932817;20236.62519440126;20602.04493526276;20364.749818709206;20749.09284951974;21138.361266294214;21532.523140212546;21931.54882154882;22981.683673469386;23382.5250501002;23127.43376954995;23545.626700146473;23968.558196974376;24396.208991494525;24828.5610363727;25265.597410241313;25031.166007905136;25483.197922463372;25939.840921557872;26401.087074094114;26187.386215864757;26662.17659137577
38,77.0;75.0;74.0;72.0;70.0;70.0;70.0;71.0;70.0;70.0;72.0;70.0;70.0;71.0;70.0;70.0;72.0;72.0;70.0;70.0;71.0;72.0;70.0;70.0;72.0;72.0;72.0;72.0;72.0;72.0;70.0;72.0;70.0;70.0;71.0;72.0;72.0;70.0;72.0,375.0;492.2222222222222;450.625;412.9411764705882;466.3461538461538;550.5714285714286;715.5555555555555;825.3333333333334;951.9327731092437;1290.677966101695;1421.2949640287768;1569.2499999999993;1873.392857142857;2036.38596491228;2214.3867924528304;2804.752475247526;3520.7118055555557;3642.1100917431195;3791.4344262295085;4291.200000000001;5269.659574468084;5353.333333333335;5474.732650739476;6639.999999999999;8050.000000000002;9766.892655367226;11874.608294930875;14489.292929292938;17776.405959031646;15930.000000000011;19405.37688442211;17471.29476584021;16200.877192982458;17135.306122448983;20490.236318407955;24673.88429752066;22272.724137931025;26690.407124681944
36,77.0;75.0;74.0;72.0;70.0;70.0;70.0;71.0;70.0;70.0;72.0;70.0;70.0;71.0;70.0;70.0;72.0;72.0;70.0;70.0;71.0;72.0;70.0;70.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;70.0;72.0;70.0;70.0;72.0;72.0,375.0;492.2222222222222;450.625;412.9411764705882;466.3461538461538;550.5714285714286;715.5555555555555;825.3333333333334;951.9327731092437;1290.677966101695;1421.2949640287768;1569.2499999999993;1873.392857142857;2036.38596491228;2214.3867924528304;2804.752475247526;3520.7118055555557;3642.1100917431195;3791.4344262295085;4291.200000000001;5269.659574468084;5353.333333333335;5474.732650739476;6639.999999999999;8050.000000000002;9766.892655367226;11874.608294930875;14489.292929292938;17776.405959031646;21980.00000000001;19019.950738916257;23303.736263736253;20399.427312775333;18542.500000000004;22255.937921727396;26923.243243243203
34,77.0;74.0;72.0;70.0;70.0;70.0;71.0;70.0;70.0;72.0;72.0;70.0;70.0;71.0;72.0;72.0;70.0;70.0;71.0;70.0;70.0;72.0;70.0;70.0;71.0;70.0;70.0;72.0;72.0;72.0;72.0;70.0;70.0;72.0;72.0,246.66666666666669;287.3333333333333;303.4782608695652;383.33333333333326;490.4761904761905;690.0;826.0000000000001;982.2222222222226;1431.75;2023.6842105263167;2120.425531914894;2259.9999999999995;2710.0000000000005;3632.2222222222226;4831.818181818182;4692.459016393443;4678.321839080459;5326.000000000002;5347.2988505747135;5433.333333333337;6898.500000000001;6878.737864077673;6932.05459770115;7777.777777777781;7836.206896551724;7946.25;9810.0;12190.769230769229;15294.347826086954;19450.0;17886.279069767443;16849.06666666668;21080.3196347032;26838.297872340438
30,75.0;74.0;72.0;70.0;70.0;70.0;71.0;70.0;70.0;72.0;72.0;70.0;70.0;71.0;72.0;72.0;70.0;70.0;71.0;70.0;70.0;72.0;70.0;70.0;71.0;70.0;70.0;72.0;72.0;72.0;72.0,740.0;481.11111111111114;412.9411764705882;495.71428571428567;619.6581196581196;882.7272727272727;1037.5;1218.8235294117646;1855.1612903225807;2757.142857142857;2778.5185185185182;2886.363636363636;3495.7142857142853;4918.666666666669;6952.898550724638;6378.666666666664;6127.657657657658;7025.789473684212;6858.161764705882;6824.894514767934;9018.333333333332;8766.04938271605;8664.569892473119;9804.7311827957;9712.085308056872;9715.4802259887;12391.73913043478;16054.38202247191;21284.18344519016;29223.33333333333
23,75.0;74.0;72.0;70.0;70.0;70.0;71.0;70.0;70.0;72.0;70.0;70.0;71.0;70.0;70.0;72.0;72.0;70.0;70.0;71.0;72.0;72.0;72.0;72.0,740.0;481.11111111111114;412.9411764705882;495.71428571428567;619.6581196581196;882.7272727272727;1037.5;1218.8235294117646;1855.1612903225807;2013.157894736843;2206.5185185185182;2755.217391304348;2957.1962616822425;3189.016393442623;4441.121495327103;6227.826086956523;6117.957957957959;6136.153846153846;7168.846153846154;9846.66666666667;13884.111111111111;20456.857142857163;32621.66666666667
13,73.0;71.0;70.0;70.0;70.0;71.0;71.0;72.0;70.0;70.0;70.0;71.0;71.0;72.0,355.0;465.55555555555554;695.0;991.4285714285713;1882.051282051282;3276.6666666666665;14875.0;7048.888888888889;5796.0;5507.142857142858;8038.799999999999;11649.090909090908;53668.333333333336
1,77.0;77.0,999990.0
