numPlayed,heuristicList,remainingTime
53,37.0;36.0;35.0;34.0;34.0;34.0;34.0;34.0;33.0;32.0;31.0;30.0;29.0;28.0;27.0;26.0;24.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;23.0;23.0;22.0;21.0;20.0;21.0;22.0;22.0;23.0;22.0;24.0;24.0;24.0;23.0;23.0;23.0;23.0;23.0;23.0;24.0;23.0;24.0;24.0;24.0;24.0;24.0,3600.0;3500.0;3400.0;4200.0;5318.181818181818;6671.428571428571;8235.29411764706;8238.888888888889;7521.126760563378;6692.307692307692;5955.855855855855;5343.137254901961;4838.0952380952385;4417.602996254682;4061.6740088105726;3621.9178082191784;3281.39534883721;3004.017857142857;2769.074074074074;2563.862928348909;2489.366053169734;2452.000000000001;2441.789416257501;2452.3809523809523;2479.536152796726;2615.994277539342;2709.7668810289388;2862.0320855614973;3021.0092188258122;3132.7372764786787;3198.031623104227;3219.907686132853;3305.01138952164;3450.054525627045;3600.6799163179912;3813.286004056794;3973.372348207755;4260.688665710187;4557.776213933848;4864.6408839779;5108.322137632482;5358.326068003487;5614.649681528663;5877.290286975716;6146.245458215582;6421.51300236407;6793.146961754999;7080.470231323474;7471.858638743455;7873.785810893889;8286.262736535667;8709.299820466784;9142.906921804866
31,31.0;30.0;29.0;28.0;27.0;26.0;24.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;23.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;22.0;23.0,3000.0;2900.0;2800.0;2700.0;2600.0;2216.129032258065;2034.375;1918.840579710145;1828.571428571429;1748.0;1849.2222222222222;1984.0;2145.0000000000005;2328.1481481481474;2531.0;2989.9613899613905;3345.690174804098;3878.9473684210543;4453.833049403749;4864.316239316239;5087.829912023461;5136.220472440945;5414.407814407814;5709.589041095891;6020.9003215434095;6347.676767676767;6689.39828080229;7523.664122137405;8140.445269016698;8781.58844765343;9770.460704607047
18,28.0;27.0;26.0;24.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;23.0;23.0;22.0;2.147483647E9,2700.0;2600.0;1869.230769230769;1769.2307692307695;1738.6363636363635;1711.7647058823527;1675.7575757575755;1916.9398907103828;2201.379310344828;2523.8095238095234;2881.5008726003493;3272.8971962616824;4263.5071090047395;5034.534534534534;6346.330275229358;7880.373831775702;8849.486049926578;998200.0
12,26.0;24.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0,1200.0;1522.2222222222222;1676.923076923077;1733.333333333333;1733.3333333333335;2212.0000000000005;2765.0;3390.476190476189;4087.5;4855.555555555556;7516.666666666666;9666.666666666666
10,24.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;24.0,2300.0;2200.0;2100.0;2000.0;2806.6666666666665;3753.333333333333;4840.0;6066.666666666666;7433.333333333332;23400.000000000004
10,24.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0,2300.0;2200.0;2100.0;2000.0;2806.6666666666665;3753.333333333333;4840.0;6066.666666666666;7433.333333333332;15366.666666666666
10,24.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0,2300.0;2200.0;2100.0;2000.0;2806.6666666666665;3753.333333333333;4840.0;6066.666666666666;7433.333333333332;15366.666666666666
10,24.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;24.0,2300.0;2200.0;2100.0;2000.0;2806.6666666666665;3753.333333333333;4840.0;6066.666666666666;7433.333333333332;23400.000000000004
7,23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0,2200.0;2100.0;2000.0;3366.666666666666;5083.333333333333;7150.000000000001;9566.666666666666
7,23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0,2200.0;2100.0;2000.0;3366.666666666666;5083.333333333333;7150.000000000001;9566.666666666666
7,23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0,2200.0;2100.0;2000.0;3366.666666666666;5083.333333333333;7150.000000000001;9566.666666666666
5,24.0;23.0;22.0;21.0;23.0;23.0,2300.0;2200.0;2100.0;5450.000000000002;12972.222222222219
5,24.0;23.0;22.0;21.0;23.0;23.0,2300.0;2200.0;2100.0;5450.000000000002;12972.222222222219
5,24.0;23.0;22.0;21.0;23.0;23.0,2300.0;2200.0;2100.0;5450.000000000002;12972.222222222219
4,22.0;21.0;20.0;21.0;21.0,2100.0;2000.0;5100.0;10299.999999999998
4,24.0;23.0;23.0;23.0;23.0,2300.0;4566.666666666666;7600.0;11399.999999999996
4,24.0;23.0;23.0;23.0;23.0,2300.0;4566.666666666666;7600.0;11399.999999999996
4,22.0;21.0;20.0;21.0;21.0,2100.0;2000.0;5100.0;10299.999999999998
4,24.0;23.0;23.0;23.0;23.0,2300.0;4566.666666666666;7600.0;11399.999999999996
4,24.0;23.0;23.0;23.0;23.0,2300.0;4566.666666666666;7600.0;11399.999999999996
4,24.0;23.0;23.0;22.0;27.0,2300.0;4566.666666666666;3683.333333333333;999600.0
4,22.0;21.0;20.0;21.0;21.0,2100.0;2000.0;5100.0;10299.999999999998
4,22.0;21.0;20.0;21.0;21.0,2100.0;2000.0;5100.0;10299.999999999998
