numPlayed,heuristicList,remainingTime
226,21.0;17.0;15.0;14.0;13.0;12.0;11.0;10.0;9.0;8.0;7.0;7.0;6.0;5.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0,42.5;48.8888888888889;57.826086956521735;64.21052631578948;67.52873563218391;68.0952380952381;66.41025641025641;62.95358649789031;58.125;52.238805970149286;49.634146341463406;44.99999999999997;38.86597938144331;31.643835616438338;23.63896848137537;17.536945812807858;12.667386609071258;8.653846153846132;5.268630849220102;2.3659305993691078;-0.15195369030391248;-2.3529411764706083;-4.285714285714306;-5.9860788863109065;-7.4809575625680225;-8.790983606557376;-9.932236205227468;-10.917431192660501;-11.756756756756772;-12.458471760797352;-13.029341792228422;-13.474962063732903;-13.800000000000068;-14.008379888268166;-14.103425117528502;-14.087968952134588;-13.964441671865245;-13.734939759036195;-13.401281304601014;-12.965050732807242;-12.427635172037128;-11.790254237288138;-11.0539845758355;-10.219780219780205;-9.288489558037782;-8.260869565217376;-7.13759779107221;-5.919282511210781;-4.606471359860052;-3.199658703071748;-1.6992919616825475;-0.10577705451601105;1.5805168986082663;3.359253499222291;5.230125523012589;7.19285182427393;9.247174626321566;11.39285714285711;13.629681484074126;15.957446808510667;18.375967687647403;20.88507265521787;23.48460291734193;26.174411203055456;28.954360737730553;31.824324324324266;34.7841835194688;37.83382789317511;40.97315436241615;44.20206659012638;47.52047444224786;50.928293496386914;54.425444596443185;58.0118534482757;61.68745025205635;65.4521693674858;69.3059490084986;73.24873096446709;77.28046034525903;81.40108534780472;85.61055704208229;89.90882917466399;94.29585798816572;98.77160205511439;103.33602212491326;107.98908098271124;112.73074331911073;117.56097560975604;122.47974600394127;127.48702422145334;132.58278145695363;137.76699029126235;143.03962460896764;148.4006595218466;153.85007129761675;159.38783729359648;165.01393589488362;170.7283464566931;176.5310492505355;182.42202541393908;188.4012569034469;194.4687264506406;200.62441752096902;206.86831427517518;213.20040153312675;219.62066473988466;226.129089933846;232.7256637168141;239.4103732258627;246.18320610687033;253.04415048960664;259.9931949642737;267.0303285593934;274.15554072096165;281.3688212927757;288.67016049787094;296.0595489209802;303.53697749196135;311.10243747012896;318.75592042942844;326.49741824440616;334.32692307692287;342.2444273635665;350.2499238037183;358.34340534824014;366.5248651887357;374.79429674736366;383.1516936671576;391.59704980283345;400.13035921205096;408.7516161471053;417.4608150470219;426.25795053003594;435.1430173864276;444.1160105717065;453.1769252001102;462.32575653840877;471.5625000000002;480.8871511392747;490.2997056462407;499.8001593413885;509.3885081707954;519.064748201439;528.8288756167226;538.6808867122054;548.620777891505;558.6485456623907;568.7641866330391;578.9676975084512;589.2590750870213;599.638316257252;610.1054179946068;620.6603773584902;631.3031914893613;642.0338576059548;652.8523730026232;663.7587350467843;674.7529411764704;685.8349888979783;697.0048757836075;708.2625994694972;719.6081576535285;731.0415480933407;742.5627686043881;754.1718170580966;765.8686913800798;777.6533895484299;789.5259095920615;801.4862495891311;813.5344076655051;825.6703819932909;837.8941707894169;850.2057723142707;862.6051848703783;875.0924068011409;887.6674364896076;900.3302723572992;913.0809128630708;925.9193565020114;938.8456018043885;951.8596473346247;964.961491690312;978.1511335012592;991.4285714285716;1004.7938041637613;1018.2468304278923;1031.7876489707473;1045.4162585700292;1059.1326580305836;1072.9368461836498;1086.8288218861385;1100.808584019927;1114.8761314911862;1129.0314632297195;1143.2745781883305;1157.6054753422095;1172.0241536883336;1186.5306122448987;1201.1248500507522;1215.8068661648613;1230.5766596657836;1245.4342296511632;1260.3795752372348;1275.412695558352;1290.5335897665263;1305.7422570309714;1321.0386965376783;1336.4229074889868;1351.8948891031823;1367.4546406140962;1383.1021612707227;1398.837450336846;1414.6605070906749;1430.571330824495;1446.569920844327;1462.6562764695918;1478.8303970327916;1495.0922818791933;1511.4419303665359;1527.879341864716;1544.4045157555206;1561.0174514323348;1577.7181482998767;1594.5066057739368;1611.382823281111;1628.346800258565
203,17.0;15.0;14.0;13.0;12.0;11.0;10.0;9.0;8.0;7.0;7.0;6.0;5.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0,75.0;92.22222222222224;98.46153846153845;98.33333333333334;94.58333333333331;88.70967741935485;81.53846153846155;73.54166666666666;65.0;61.818181818181785;55.9927797833935;48.43930635838149;39.78971962616822;30.45801526717557;23.709677419354847;18.547486033519533;14.445812807881794;11.101321585903065;8.326693227091653;6.0;4.038461538461547;2.383900928792599;0.9942363112392059;-0.16172506738544712;-1.1075949367088356;-1.8615751789976116;-2.4379232505643245;-2.8479657387580346;-3.1008146639510983;-3.2038834951455897;-3.163265306122412;-2.984014209591521;-2.6703577512776633;-2.2258592471358156;-1.6535433070865224;-0.9559939301972804;-0.1354319180088055;0.806223479490825;1.8673050615595344;3.046357615894067;4.342105263157862;5.75342465753431;7.279322853688086;8.918918918918962;10.671428571428692;12.536151279199146;14.512459371614227;16.599788806758283;18.79763130792992;21.105527638191006;23.52306182531902;26.04985618408432;28.68556701030934;31.42988084326305;34.28251121076232;37.24319578577695;40.31169389509864;43.48778433024438;46.77126341866233;50.161943319837974;53.65965051628291;57.26422447388916;60.975516449885276;64.7933884297521;68.71771217712171;72.74836838288627;76.88524590163934;81.12824106517166;85.47725706409358;89.93220338983042;94.4929953302202;99.15955351280377;103.9318034906272;108.80967536600895;113.79310344827582;118.88202594193945;124.07638466220328;129.376124775045;134.78119455943227;140.2915451895044;145.9071305347902;151.62790697674416;157.45383324006718;163.3848702374379;169.4209809264304;175.56213017751497;181.80828465215086;188.15941269008886;194.61548420507506;201.17647058823536;207.84234461849405;214.6130803794308;221.48865318204275;228.46903949293028;235.5542168674699;242.7441638875655;250.03886010362703;257.43828598043797;264.9424228466146;272.5512528473803;280.2647589004057;288.0829246544804;296.00573445081613;304.0331732867744;312.1652267818574;320.4018811457888;328.74312314854;337.1889400921657;345.7393197843219;354.39425051334706;363.1537210248068;372.01772049939586;380.98623853210984;390.0592651126037;399.2367906066536;408.51880573865833;417.90530157510557;427.3962695089456;436.99170124481316;446.69158878504663;456.49592441645063;466.4047006977596;476.41791044776073;486.53554673403073;496.7576028622543;507.0840723660874;517.5149489975379;528.0502267178233;538.6898996886889;549.4339622641508;560.2824089826468;571.2352345595682;582.2924338801474;593.4540019926935;604.7199341021419;616.0902255639098;627.564871878041;639.1438686836179;650.8272117534332;662.6148969889064;674.5069204152251;686.503278176709;698.6039665323829;710.8089818517378;723.1183206106871;735.5319793876934;748.049954860066;760.6722438004176;773.398843073272;786.229749631811;799.1649605147704;812.2044728434507;825.3482838188629;838.5963907189916;851.9487908961587;865.4054817745127;878.9664608476005;892.6317256760522;906.4012738853507;920.2751031636863;934.2532112599074;948.3355959815372;962.5222551928787;976.8131868131868;991.2083888149136;1005.7078592220173;1020.3115961083358;1035.0195975960278;1049.8318618540638;1064.7483870967744;1079.7691715824571;1094.8942136120318;1110.1235115277432;1125.4570637119114;1140.8948685857322;1156.436924608112;1172.083230274549;1187.833784116055;1203.6885846981177;1219.6476306196837;1235.7109205122015;1251.8784530386738;1268.150226892763;1284.5262407979108;1301.006493506493;1317.5909837990134;1334.2797104833062;1351.0726723937778;1367.9698683906727;1384.9712973593573;1402.0769582096368;1419.2868498750854;1436.6009713124013;1454.0193215007857;1471.5418994413412;1489.16870415648;1506.8997346893652;1524.7349901033645;1542.6744694815138;1560.718171926007;1578.866096557696;1597.1182425156153;1615.4746089565033
82,8.0;7.0;7.0;6.0;5.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.147483647E9,70.0;136.66666666666666;101.66666666666669;74.28571428571428;54.93827160493828;39.56521739130436;34.46153846153847;33.01587301587301;33.495145631067956;35.245901639344254;37.96690307328603;41.5;45.75418994413408;50.67340067340069;56.22119815668202;62.37288135593221;69.11111111111111;76.42335766423355;84.30034129692831;92.73504273504273;101.72205438066464;111.25714285714287;121.33694670280028;131.95876288659787;143.12039312039315;154.8200312989046;167.056179775281;179.82758620689657;193.13319530710822;206.97211155378488;221.3435700575817;236.24691358024688;251.68157423971377;267.6470588235295;284.14293690675595;301.16883116883116;318.72440944881885;336.809378185525;355.4234769687964;374.56647398843927;394.23816221284574;414.43835616438355;435.16688918558077;456.4236111111111;478.2083862770013;500.5210918114145;523.3616161616162;546.7298578199052;570.6257242178447;595.0491307634165;620.0;645.478260869565;671.4838480653177;698.016701461378;725.0767656090072;752.6639892904955;780.7783251231526;809.4197292069634;838.588160810383;868.2835820895523;898.5059578368471;929.255255255255;960.531443755536;992.3344947735188;1024.664381605256;1057.5210792580099;1090.9045643153527;1124.814814814815;1159.2518101367655;1194.2155309033283;1229.705958886287;1265.7230769230766;1302.2668688400306;1339.3373193821626;1376.9344141488577;1415.058139534884;1453.7084826762243;1492.8854314002824;1532.5889741800415;1572.8191000918273;1613.5757987763427;999180.0
44,6.0;5.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0,50.0;40.0;30.0;32.500000000000014;38.636363636363626;47.14285714285715;57.64705882352942;70.0;84.13043478260869;100.0;117.58620689655172;136.875;157.85714285714283;180.52631578947364;204.8780487804878;230.909090909091;258.6170212765957;288.00000000000006;319.0566037735849;351.78571428571433;386.1864406779663;422.2580645161289;460.0;499.41176470588243;540.492957746479;583.2432432432432;627.6623376623377;673.7500000000001;721.5060240963855;770.9302325581396;822.0224719101125;874.7826086956522;929.2105263157896;985.3061224489793;1043.0693069306933;1102.5000000000002;1163.5981308411217;1226.3636363636363;1290.796460176991;1356.8965517241384;1424.6638655462184;1494.0983606557377;1565.1999999999998;1637.96875
31,5.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0,40.0;30.0;38.57142857142857;51.999999999999986;69.23076923076924;90.00000000000003;114.21052631578948;141.8181818181818;172.79999999999995;207.14285714285717;244.8387096774194;285.88235294117646;330.2702702702703;378.0000000000001;429.06976744186045;483.47826086956525;541.2244897959183;602.3076923076924;666.7272727272727;734.4827586206897;805.5737704918032;880.0000000000002;957.7611940298507;1038.857142857143;1123.2876712328768;1211.0526315789475;1302.1518987341772;1396.5853658536582;1494.3529411764707;1595.454545454545;1699.89010989011
17,4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0,30.0;56.66666666666667;93.33333333333334;140.0;196.66666666666666;263.3333333333333;340.0;426.66666666666663;523.3333333333334;630.0;746.6666666666667;873.3333333333335;1010.0;1156.6666666666667;1313.3333333333335;1479.999999999999;1656.6666666666665
1,3.0;3.0,999990.0
1,3.0;3.0,999990.0
1,3.0;3.0,999990.0
1,3.0;3.0,999990.0
