numPlayed,heuristicList,remainingTime
1124,19.0;18.0;18.0;17.0;17.0;17.0;17.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;19.0;19.0;18.0;17.0;15.0;15.0;15.0;16.0;15.0;15.0;15.0;16.0;16.0;16.0;15.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;15.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;17.0;17.0;16.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;16.0;16.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;16.0;16.0;17.0;17.0;16.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;15.0;16.0;16.0;16.0;16.0;15.0;15.0;15.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;16.0;15.0;15.0;15.0;16.0;16.0;15.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;15.0;15.0;16.0;15.0;16.0;16.0;16.0;15.0;16.0;15.0;15.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;17.0;15.0;15.0;16.0;15.0;16.0;15.0;16.0;16.0;16.0;16.0;15.0;15.0;15.0;16.0;16.0;16.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;16.0;16.0;16.0;17.0;16.0;17.0;17.0;17.0;17.0;16.0;16.0;16.0;17.0;17.0;16.0;17.0;16.0;17.0;16.0;16.0;16.0;17.0;16.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;16.0;17.0;16.0;16.0;16.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;16.0;17.0;16.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;15.0;15.0;16.0;15.0;15.0;16.0;15.0;15.0;16.0;16.0;16.0;16.0;15.0;15.0;16.0;16.0;16.0;15.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;15.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;16.0;16.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;14.0;14.0;14.0;13.0;13.0;14.0;14.0;14.0;14.0;13.0;13.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;15.0;14.0;14.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;14.0;14.0;15.0;15.0;15.0;15.0;15.0;14.0;14.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;14.0;14.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;14.0;14.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;14.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;14.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;2.147483647E9,180.0;356.66666666666663;285.0;336.0;416.6666666666667;516.6666666666669;952.0;1726.6666666666665;3199.9999999999995;6449.999999999999;16866.666666666664;999880.0;999870.0;999860.0;999850.0;999840.0;999830.0;999820.0;999810.0;999800.0;999790.0;13733.07692307693;4399.814814814815;2844.675324675324;2527.20207253886;2080.3359173126614;1824.520123839009;1664.1237113402067;1678.4433962264145;1700.4347826086955;1728.7500000000002;1650.118203309693;1595.5221518987344;1649.4594594594594;1705.8333333333335;1764.5231607629426;1825.4296875000005;1888.4704904405648;1953.5765550239244;2020.6896551724135;2089.7603244837765;2160.746268656716;2233.6111111111118;2308.32339297548;2384.855769230769;2463.1843575418993;2543.288206979543;2625.1488616462348;2708.749999999999;2794.077134986226;2881.1173633440517;2969.859154929576;3060.292174796749;3152.4071322436844;3107.595818815331;3073.140857392826;3173.097686375322;3274.7355163727952;3378.053497942387;3483.050847457627;3589.726840855107;3698.080808080809;3808.112128146453;3919.8202247190975;4033.2045621780726;4148.264642082431;4265.000000000001;4383.410202655485;4503.494845360825;4625.253549695738;4748.685961410513;4873.7917485265225;5000.570599613153;5129.022222222222;5259.146341463415;5390.9426987061;5524.411050394657;5659.55116696589;5796.362831858405;5934.845840605006;6075.0;6216.825127334467;6360.32104969291;6759.674657534247;7183.690893169878;7329.539833189532;7476.994047619048;7940.678851174936;8433.58288770053;8957.94520547945;9516.23127340824;10111.162343900096;10745.74950690335;11423.333333333338;12147.630208333334;12922.78670953912;13753.443708609271;14644.812286689421;15602.764084507045;16633.939393939396;17745.877192982454;18947.17250324254;20247.668010752684;21658.688981868898;23193.33333333333;24866.832579185524;26697.004716981133;28704.827586206888;30915.17182130585;33357.747747747744;36068.34280303031;35084.95511669659;37945.520931696585;36866.457960644;39882.90960451978;43255.16235917825;47046.315789473716;51335.279642058194;56222.05648369133;61835.294117647085;68343.33333333334;75970.79601990049;85024.25081433209;95933.33333333324;87358.45295055826;98495.8947368421;112151.15009746587;129268.7719298246;114148.7121212122;102691.33333333343;93719.58333333326;105362.02614379096;119577.11956521754;137306.42276422787;160014.58333333346;190111.18279569893;231859.32692307647;293582.22222222155;394007.08333333244;585910.6060606061;998590.0;998580.0;998570.0;998560.0;998550.0;998540.0;998530.0;998520.0;998510.0;998500.0;998490.0;998480.0;998470.0;998460.0;998450.0;998440.0;998430.0;998420.0;998410.0;998400.0;998390.0;998380.0;998370.0;998360.0;998350.0;998340.0;998330.0;998320.0;998310.0;998300.0;998290.0;998280.0;998270.0;998260.0;998250.0;998240.0;998230.0;998220.0;998210.0;998200.0;998190.0;998180.0;998170.0;998160.0;998150.0;998140.0;998130.0;998120.0;998110.0;998100.0;998090.0;998080.0;998070.0;998060.0;998050.0;998040.0;998030.0;998020.0;998010.0;998000.0;997990.0;997980.0;997970.0;997960.0;997950.0;997940.0;997930.0;997920.0;997910.0;997900.0;997890.0;997880.0;997870.0;997860.0;997850.0;997840.0;997830.0;997820.0;997810.0;997800.0;997790.0;997780.0;997770.0;997760.0;997750.0;997740.0;997730.0;997720.0;997710.0;997700.0;997690.0;997680.0;997670.0;997660.0;997650.0;997640.0;997630.0;997620.0;997610.0;997600.0;997590.0;997580.0;997570.0;997560.0;997550.0;997540.0;997530.0;997520.0;997510.0;997500.0;997490.0;997480.0;997470.0;997460.0;997450.0;997440.0;997430.0;997420.0;997410.0;997400.0;997390.0;997380.0;997370.0;997360.0;997350.0;997340.0;997330.0;997320.0;997310.0;997300.0;997290.0;997280.0;997270.0;997260.0;997250.0;997240.0;997230.0;997220.0;997210.0;997200.0;997190.0;997180.0;997170.0;997160.0;997150.0;997140.0;997130.0;997120.0;997110.0;997100.0;997090.0;997080.0;997070.0;997060.0;997050.0;997040.0;997030.0;997020.0;997010.0;997000.0;996990.0;996980.0;996970.0;996960.0;996950.0;996940.0;996930.0;996920.0;996910.0;996900.0;996890.0;996880.0;996870.0;996860.0;996850.0;996840.0;996830.0;996820.0;996810.0;996800.0;996790.0;996780.0;996770.0;996760.0;996750.0;996740.0;996730.0;996720.0;996710.0;996700.0;996690.0;996680.0;996670.0;996660.0;996650.0;996640.0;996630.0;996620.0;996610.0;996600.0;996590.0;996580.0;996570.0;996560.0;996550.0;996540.0;996530.0;996520.0;996510.0;996500.0;804617.4850299397;582364.8183556405;527558.0956471928;482862.07488299493;395301.2202852618;335382.2210357715;318193.1432160803;302926.2790697672;289278.29361510684;277006.49295172974;265914.3917819364;255841.21553398058;246654.14004457643;238242.47063011755;230513.21770334925;223387.6930660531;216798.86234177215;210689.26457125414;205009.36210960522;199716.2204500143;194772.44349503863;190145.30841121508;185806.05774210245;181729.31641115856;186546.62914161442;191549.36946326212;187253.18082237945;192248.9189189189;197439.22522286302;202835.19458544854;208448.77995642705;214292.87697861713;220381.41879131255;226729.48250939575;233353.4090909091;240270.93859913616;247501.36321626647;255065.70078740153;262986.89218213054;271290.0263765251;280002.5979068197;289154.802259887;298779.8758865254;308914.4889050564;319599.2002738356;330878.98734177207;342803.8643533123;355429.60784313706;368818.611111111;383040.8953938873;398175.3123149799;414310.9812012838;431549.0165876776;450004.6166421446;469809.60365853686;491115.5350553503;514097.5401606431;538959.0883190887;565937.9631828979;595313.8148377779;627417.7983138786;662645.0033990467;610949.0704429931;644190.7426710101;680704.9197130167;626905.5;661321.1551047126;699165.2884615383;740973.0419075154;787397.0274390246;839241.4314516137;897508.7328767128;963464.8357664243;995760.0;995750.0;995740.0;995730.0;995720.0;995710.0;764270.137931034;700930.3937585091;575823.7865572085;540519.7009569377;509693.2182877633;482545.879005059;421630.0402782863;403626.0241453365;360862.4295883628;326670.7756579864;298710.6160337553;290433.3895818048;282708.5525070954;275483.376078162;268711.63781624497;262352.6480086114;256370.4459308805;239714.84212571656;234930.8609271522;230397.66970898252;226096.54800431468;222010.59468467685;218124.5121881601;214424.42074445836;210897.6978417266;207532.83902257035;204319.3367745971;201247.57482967165;198308.73563218385;195494.7191011237;192798.07110983157;190211.9203537741;187729.92248062018;185346.2105263158;183055.35084211003;180852.30381569473;178732.38878889172;176691.25265795074;174724.84171322163;172829.3763348997;171001.328212514;169237.39979930347;167534.50574979675;165889.75612079646;164300.4411433716;162764.01739708567;161278.09523809527;164130.52631578964;158431.86209088023;153175.36052551155;151963.92487697097;147205.87199458183;146146.91333269677;141817.75202727603;140889.1891891892;139986.89930493137;139109.93074669273;138257.37763157894;134514.60487225186;131009.139121855;127719.36139679502;127102.8478658096;126502.37396597464;125917.44237229234;122964.20342034205;122447.59411895745;121944.09057491546;121453.31222246493;120974.89331026532;120508.48218747777;120053.74063074523;119610.3432093577;119177.97668609492;118756.33945143329;118345.14098896607;117944.10137004795;117552.95077581595;117171.42904487308;116799.28524504005;116436.2772676955;116082.17144332558;115736.74217700133;115399.7716025885;115071.04925457633;114750.371756487;114437.54252489639;114132.3714881609;113834.67481900587;113544.27468018353;113260.99898246242;112984.6811542572;112715.15992224772;112452.27910238433;112195.8874007074;111945.83822344957;111701.98949591829;113203.13128989591;114729.18129501959;116280.70273740725;115999.09059324238;117568.05417809154;119163.42277736962;120785.80431177444;120463.26048642932;120148.34032634033;119840.86599606891;121462.58077042561;121146.17398087423;122785.90824406149;124453.48889736278;126149.56547443091;127874.80770949382;127496.38660758248;127126.68717588115;126765.50040683488;128488.20282300579;130240.54066816196;129851.14320835893;131622.53515033523;131223.14075937518;133013.7382075472;132604.21897383424;132203.97332560163;131812.77785765633;133599.90591008333;133198.6706714188;135005.14918023293;136842.92479271285;138712.74851391913;138260.95357590975;140150.76078431366;142073.81689347443;144030.93490346114;146022.9543696829;148050.74249605055;150115.19528258542;149536.83343452742;151622.68703318236;153746.6032843561;155909.55433113352;158112.54552304416;160356.61684610508;159656.18067754083;161922.88322207108;164232.25569668727;166585.42867261232;165809.60591761244;168186.12769379222;167396.05890722226;166624.00309167773;165869.4519092558;168227.07727869714;170629.44034596786;173077.73924481095;175573.2150795193;174704.48849432726;177224.25818134783;179793.05988818553;182412.24578503685;185083.2180126288;187807.43101212036;190586.3939865918;189507.03832752613;192311.97165950827;195173.85250938887;198094.3297369957;201075.11624669362;204117.9921273679;207224.80797898787;210397.48843878836;213638.035921205;216948.53458682372;220331.1545568781;223788.156391202;227321.89584905663;230934.82895389193;234629.5173849356;238408.6342204731;242274.97005988014;246231.43955387364;250281.08837509042;254427.10066403224;258672.80698862718;263021.6928592272;260622.18330318457;265003.3397105307;269492.2235313919;274092.69531028223;271468.86155654443;276102.2403466296;273452.97319932986;278119.38596491236;282903.2921598903;287809.0145003042;284912.84052019165;289852.17381890595;294918.8183545228;300117.579793137;305453.5083618054;302157.4180315778;307527.6114050033;313041.2719099082;318704.0304229153;324521.81597837247;330500.87576759566;336647.79676976614;342969.529171925;349473.4117531252;356167.19942763995;363059.09316455445;358239.2519645878;365165.29135765095;372299.09500409453;379649.8992260144;387227.4955182959;395042.2728975963;389283.6981409515;397131.033091633;405227.46074715775;413584.7437307522;422215.3965061277;415609.8351858949;424270.7921673342;433219.17707803374;442469.22077922104;452036.10867659946;461936.062118691;472186.428269149;482805.7795004309;493814.02350681595;505232.5255102039;517084.2441369454;529393.8827838829;542188.0585734529;555495.4913294794;569347.2153972152;583776.8175956443;598820.7051422724;585093.7460859654;600122.5842778257;615802.3894330659;632175.8219593564;649289.3519379848;633167.1132856605;650242.6582538221;668104.0961674671;686806.3101948785;706409.4143512794;726979.3918918922;748588.8295385654;771317.7647546324;795254.6669096918;820497.5776862606;847155.4417187759;875349.6655452113;905215.9519201397;936906.4679540999;970592.4201753433;993120.0;993110.0;993100.0;993090.0;993080.0;993070.0;993060.0;993050.0;993040.0;993030.0;993020.0;993010.0;993000.0;992990.0;992980.0;992970.0;992960.0;992950.0;992940.0;992930.0;992920.0;992910.0;992900.0;992890.0;992880.0;992870.0;992860.0;992850.0;992840.0;992830.0;992820.0;992810.0;992800.0;958794.5414160106;926838.3870967745;897181.7716298642;869586.0948905112;797224.4216295399;736395.1994421204;718513.9810233819;701618.5981103058;685630.3079884504;641010.2510460253;602112.2610722611;590829.4291338581;580051.0699962567;569744.4912978271;559879.7664771854;550429.4483450348;541368.3175289477;514223.2812500002;489841.03685720626;482987.791554669;476379.4322102484;470003.3255190895;463847.6929091731;457901.53945770964;452154.5897854384;460188.5368084134;468447.912968795;476942.1197545215;485681.08840390784;494675.3177514288;503935.9153649777;513474.6423135465;523303.96194465493;533437.0930968962;543888.0682253148;554671.796977048;565804.1358229466;577301.9644290346;589183.2695413834;601467.2372611467;614174.3547053965;627326.5221867599;640947.177203918;655061.431719628;669696.2244177839;684880.4898816762;700645.346928812;717024.3086816715;734053.517358469;751772.0072455121;770221.9998781313;789449.2361283897;809503.350697753;830438.2954692972;852312.8193218765;875191.013391241;899142.9324352476;924245.3049907571;899269.3321846992;924265.6977564561;950485.6915739274;978020.6769367504;992170.0;992160.0;992150.0;992140.0;992130.0;992120.0;992110.0;992100.0;992090.0;992080.0;992070.0;992060.0;992050.0;992040.0;992030.0;992020.0;992010.0;992000.0;991990.0;991980.0;991970.0;991960.0;991950.0;991940.0;991930.0;991920.0;991910.0;991900.0;991890.0;991880.0;991870.0;991860.0;991850.0;991840.0;991830.0;991820.0;991810.0;991800.0;991790.0;991780.0;991770.0;991760.0;991750.0;991740.0;991730.0;991720.0;991710.0;991700.0;991690.0;991680.0;991670.0;991660.0;991650.0;991640.0;991630.0;991620.0;991610.0;991600.0;991590.0;991580.0;991570.0;991560.0;991550.0;991540.0;991530.0;991520.0;991510.0;991500.0;991490.0;991480.0;991470.0;991460.0;991450.0;991440.0;991430.0;991420.0;991410.0;991400.0;991390.0;991380.0;991370.0;991360.0;991350.0;991340.0;991330.0;991320.0;991310.0;991300.0;991290.0;991280.0;991270.0;991260.0;991250.0;991240.0;991230.0;991220.0;991210.0;991200.0;943983.9731010547;850185.0755395686;773723.3447600396;710199.7260410443;656587.3691099476;610735.2914110429;571072.9423917364;536426.7932112551;505902.33931947045;478805.82540311926;454590.9207809274;432821.5347593573;413145.346314837;395274.6113989638;378972.01579191815;364040.09097201616;350313.1882562279;337651.31773399014;330923.028464457;319706.6383225432;309281.45511894225;303760.7582443221;298466.2786017738;293384.50444132765;288502.97923440905;283810.2006350635;279295.53083254053;274949.1168245376;270761.8193534674;266725.1494270875;259726.3309252218;253121.0269298051;249675.38377657963;246343.06029687548;243118.63131473082;239997.0126301692;236973.43464538892;231600.71993618298;226493.86969536502;223865.42557723436;221313.3365177681;218834.38197362697;216425.52009227034;214083.8754882616;211806.7280094546;209591.50240078397;207435.75878308463;205337.18387293827;203293.58287711896;199522.86931818182;195909.12614606382;194095.03108398337;192325.49960764928;190598.9523942287;188913.88393766913;187268.85828581156;185662.50506954317;184093.5158009163;182560.6404192134;181062.68406579996;179598.50407027427;176794.2748115726;174091.00183901982;172772.07441308064;171481.31939536255;170217.8764536851;168980.9199784551;167769.65734843133;166583.32729940227;165421.19838872107;164282.5675491901;163166.75872628804;162073.12159318835;161001.03033843846;159949.88252154924;158919.0979920995;157908.11786827922;156916.4035710936;155943.43591072012;154988.71422176584;154051.75554439102;153132.09384849545;152229.2792983401;151342.87755517132;150472.46911557423;149617.64868343773;148778.02457355647;147953.21814502586;147142.86326270693;146346.6057851539;145564.10307749794;144795.02354788073;144039.04620611953;143295.86024337055;142565.1646316327;141846.66774200983;141140.08698071179;140445.14844184284;139761.58657607806;139089.14387438918;138427.57056602516;137776.62433000584;137136.07001942742;136505.6793979222;135885.23088764847;135274.5093282319;134673.30574610195;134081.41713370697;133498.64623811698;132924.80135855175;132359.69615239825;131103.50378749272;130563.53239142973;130031.61412890512;129507.58645247825;128991.29117991275;128482.57434861848;127981.28607588331;127487.28042461773;127000.41527437081;126520.55219737164;126047.55633937084;125581.29630506644;125121.64404791035;124668.47476410022;124221.66679057319;123781.10150682609;123346.66324039572;122918.23917584072;122495.71926707524;122078.99615291058;121667.9650756694;120687.95837080818;120293.73258169641;119904.80423618617;119521.080403541;119142.47032913775;118768.88537114148;118400.23893937774;118036.44643631639;117677.42520007945;117323.09444939547;116973.37523042003;116628.19036535184;116287.46440277244;115951.12356964356;115619.0957248957;115291.31031455025;114967.69832831355;114648.19225758701;114332.72605484263;114021.23509430654;113713.65613390993;113409.92727845118;113109.98794393147;112813.77882301642;112521.24185158366;112232.32017631736;111946.9581233111;111665.10116764157;111386.69590388144;111111.6900175131;110840.03225721658;110571.6724079955;110306.56126511599;110044.65060882687;109785.89317983578;109530.24265551416;109277.65362680612;109028.0815758174;108781.48285406013;108537.81466133283;108297.035025212;108059.10278113664;107823.97755306459;107591.6197346822;107361.99047114876;107135.05164135777;106910.76584069879;106689.09636430263;106470.00719075455;106253.4629662607;106039.428989252;105827.87119541244;105618.75614311828;105412.05099927375;105207.72352553309;105005.74206489358;104806.07552865086;104608.69338370289;104413.56564019449;104220.66283948757;104029.95604245209;103841.41681806384;103655.01723230173;103470.72983733511;103288.52766099152;103108.38419649801;102930.27339248577;102754.16964325227;102580.04777927104;102407.88305794453;102237.65115458917;102069.32815365009;101902.8905401349;101738.31519126221;101575.57936831895;101414.6607087187;101255.53721825685;101098.18726355614;100942.58956469763;100788.72318803109;100636.56753916039;100486.10235609897;100337.3077025899;100190.1639615865;100044.65182888914;99900.75230693366;99758.44669872685;99617.71660192535;99478.54390305448;99340.91077186208;99204.79965580454;99070.19327466101;98937.07461527256;98805.42692640293;98675.23371371735;98546.47873487601;98419.14599474121;98293.2197406905;98168.68445803945;98045.52486556521;97923.72591113189;97803.2727674136;97684.15082771306;97566.34570187308;97449.84321227887;97334.62938994811;97220.69047070773;97108.01289145376;96996.58328649309;96886.388483965;96777.41550234021;988760.0
7,19.0;17.0;17.0;17.0;17.0;18.0;18.0;18.0,85.0;166.66666666666666;276.66666666666663;415.0;1200.0;4890.000000000001;999930.0
7,19.0;17.0;17.0;17.0;17.0;18.0;18.0;18.0,85.0;166.66666666666666;276.66666666666663;415.0;1200.0;4890.000000000001;999930.0
5,18.0;17.0;17.0;17.0;17.0;18.0,170.0;336.66666666666663;560.0;839.9999999999999;999950.0
5,19.0;18.0;18.0;18.0;18.0;19.0,180.0;356.66666666666663;593.3333333333334;889.9999999999999;999950.0
5,18.0;17.0;17.0;17.0;17.0;18.0,170.0;336.66666666666663;560.0;839.9999999999999;999950.0
1,17.0;17.0,999990.0
1,18.0;18.0,999990.0
1,18.0;19.0,999990.0
1,17.0;17.0,999990.0
