numPlayed,heuristicList,remainingTime
96,20.0;16.0;16.0;17.0;17.0;18.0;18.0;19.0;16.0;15.0;16.0;15.0;17.0;17.0;17.0;17.0;17.0;18.0;18.0;18.0;18.0;18.0;18.0;15.0;16.0;14.0;15.0;14.0;16.0;16.0;16.0;16.0;17.0;17.0;17.0;17.0;17.0;17.0;17.0;13.0;14.0;14.0;14.0;16.0;15.0;14.0;15.0;12.0;14.0;15.0;15.0;15.0;11.0;14.0;14.0;13.0;13.0;11.0;12.0;12.0;13.0;13.0;13.0;13.0;13.0;12.0;11.0;11.0;12.0;11.0;9.0;8.0;11.0;8.0;9.0;10.0;10.0;10.0;11.0;11.0;10.0;11.0;8.0;10.0;7.0;7.0;6.0;6.0;6.0;6.0;6.0;7.0;7.0;7.0;6.0;6.0;0.0,400.0;766.6666666666666;1766.666666666667;3240.0;9861.111111111108;48500.0;999300.0;51933.333333333314;10465.384615384615;9394.736842105263;7381.420765027324;9666.666666666666;12405.08474576271;15649.42528735632;19456.140350877195;23885.714285714286;42500.0;96299.99999999993;998100.0;998000.0;997900.0;997800.0;997700.0;169600.0000000001;46917.47572815534;34627.27272727273;25087.500000000007;25387.40157480315;25802.294685990342;26312.08053691276;26902.1875;30630.53763440859;34796.66666666667;39451.724137931036;44654.16666666665;50471.11111111111;56979.99999999999;64270.66666666667;42870.45454545454;35928.28685258965;31489.52850877194;28441.17647058824;29660.62670299728;29039.264828738516;27014.884233737597;26836.494845360823;23151.703577512777;22373.790951638064;22676.659209545116;23004.761904761912;23356.06579849211;20447.508690614133;20237.6772082879;20086.40576725026;19366.270783847984;18776.954732510287;17301.571709233787;16552.243125904486;15931.78008716058;15785.486950986637;15674.098757952139;15593.179190751442;15539.071566731142;15508.73478030704;15176.953190071632;14598.322460391428;14104.80139676997;13939.716902581182;13553.071638861627;12764.929424538546;11898.114355231144;11715.67944250871;11029.755096055142;10599.181609195399;10372.403365763872;10172.469228836977;9996.052737036145;9977.152163797113;9967.13995943205;9832.466782206822;9842.833105479025;9483.293460925044;9397.718740976034;8980.723767957807;8609.11518911002;8177.992738308134;7793.429252904516;7448.378615249778;7137.156229003036;6855.125314944962;6672.134387351776;6504.194802537342;6349.733633242571;6140.563892678487;5947.931474394025;5410.754446943363
4,18.0;16.0;17.0;17.0;18.0,800.0;3300.0;8350.0;999600.0
4,18.0;16.0;16.0;17.0;18.0,800.0;1566.6666666666667;5433.333333333333;999600.0
2,17.0;16.0;17.0,1600.0;999800.0
2,16.0;15.0;16.0,1500.0;999800.0
2,17.0;16.0;17.0,1600.0;999800.0
1,15.0;15.0,999900.0
1,16.0;16.0,999900.0
1,16.0;16.0,999900.0
1,17.0;17.0,999900.0
1,16.0;16.0,999900.0
