numPlayed,heuristicList,remainingTime
28,28.0;26.0;25.0;24.0;23.0;22.0;21.0;21.0;21.0;23.0;24.0;24.0;24.0;24.0;24.0;21.0;21.0;24.0;24.0;21.0;23.0;22.0;21.0;23.0;21.0;24.0;24.0;24.0;24.0,130.0;165.55555555555554;183.07692307692307;190.0;190.83333333333334;188.06451612903228;202.5;225.4088050314465;306.00000000000006;446.1538461538462;630.8163265306122;871.3043478260868;1182.093023255814;1582.0000000000007;1264.2857142857142;1123.0379746835442;1463.6301369863017;1898.0597014925365;1632.513966480447;1844.9275362318838;1850.0;1701.1627906976744;1926.9871794871792;1809.032258064516;2239.4736842105267;2777.3333333333335;3457.9148936170222;4333.333333333334
25,27.0;26.0;25.0;26.0;25.0;25.0;25.0;23.0;25.0;24.0;22.0;24.0;25.0;25.0;26.0;24.0;24.0;22.0;26.0;24.0;25.0;24.0;24.0;22.0;26.0;27.0,260.0;250.0;635.0;625.0;723.6111111111111;865.0000000000001;588.8235294117648;800.7407407407408;836.1702127659574;650.0;758.6206896551724;1013.333333333333;1327.2839506172838;2105.833333333333;2116.233766233766;2165.333333333335;1655.742092457421;2422.499999999999;2527.7599999999998;3119.2090395480222;3200.3787878787875;3301.506849315069;2620.4368932038838;3636.2352941176473;6490.825688073393
24,27.0;26.0;25.0;26.0;25.0;25.0;25.0;23.0;25.0;25.0;24.0;22.0;26.0;25.0;25.0;25.0;24.0;22.0;24.0;24.0;22.0;26.0;26.0;24.0;27.0,260.0;250.0;635.0;625.0;723.6111111111111;865.0000000000001;588.8235294117648;800.7407407407408;1049.2105263157894;1053.9999999999998;790.515873015873;1236.0000000000002;1578.8405797101445;1983.333333333334;2455.970149253731;2396.09756097561;1743.6895674300254;1864.166666666667;1993.184713375796;1698.412698412698;2327.9888268156424;3261.3513513513512;3359.6932515337426;5943.396226415091
22,27.0;26.0;25.0;25.0;25.0;25.0;23.0;25.0;25.0;24.0;22.0;26.0;25.0;25.0;25.0;24.0;22.0;24.0;24.0;22.0;26.0;26.0;24.0,260.0;250.0;352.85714285714283;492.0;661.5384615384614;472.8571428571428;692.7586206896551;964.4444444444441;986.25;727.1428571428572;1213.2738095238094;1614.8148148148155;2110.0;2715.066666666666;2603.1746031746034;1782.2222222222217;1919.0476190476188;2065.3846153846152;1721.6759776536308;2451.8018018018024;3617.264957264957;3714.6153846153843
22,24.0;22.0;20.0;19.0;18.0;18.0;18.0;19.0;20.0;20.0;20.0;22.0;18.0;18.0;18.0;18.0;19.0;19.0;20.0;20.0;20.0;20.0;20.0,110.0;100.0;110.0;117.33333333333334;139.14728682170545;168.57142857142856;232.5806451612903;355.55555555555566;518.2758620689656;728.5714285714288;1732.5000000000002;1230.0000000000007;1056.2499999999998;985.3846153846157;960.9375;1088.2352941176468;1223.4490740740737;1566.7164179104484;1996.532258064516;2537.4269005847955;3223.3653846153848;4102.765957446808
19,27.0;26.0;25.0;26.0;25.0;25.0;25.0;23.0;25.0;25.0;24.0;22.0;24.0;25.0;25.0;25.0;25.0;25.0;25.0;2.147483647E9,260.0;250.0;635.0;625.0;723.6111111111111;865.0000000000001;588.8235294117648;800.7407407407408;1049.2105263157894;1053.9999999999998;790.515873015873;899.1489361702128;1174.2857142857144;1508.1818181818182;1910.0;2390.243902439024;2961.0126582278476;3636.315789473685;999810.0
17,27.0;26.0;25.0;26.0;25.0;25.0;25.0;23.0;25.0;25.0;24.0;22.0;24.0;25.0;25.0;25.0;25.0;26.0,260.0;250.0;635.0;625.0;723.6111111111111;865.0000000000001;588.8235294117648;800.7407407407408;1049.2105263157894;1053.9999999999998;790.515873015873;899.1489361702128;1174.2857142857144;1508.1818181818182;1910.0;2390.243902439024;3804.8924731182797
16,27.0;26.0;25.0;25.0;25.0;25.0;23.0;25.0;24.0;22.0;26.0;24.0;24.0;22.0;26.0;27.0;26.0,260.0;250.0;352.85714285714283;492.0;661.5384615384614;472.8571428571428;692.7586206896551;749.4736842105262;582.0;1000.0000000000002;1105.4098360655737;1224.0000000000002;996.6666666666665;1570.0000000000007;3431.25;7154.285714285712
15,26.0;25.0;25.0;25.0;23.0;25.0;25.0;24.0;22.0;25.0;26.0;24.0;24.0;22.0;26.0;26.0,250.0;496.66666666666663;826.6666666666666;393.33333333333337;765.151515151515;1362.0;1264.375;731.9298245614034;1180.0;2961.111111111111;2757.333333333333;2731.2500000000005;1640.0;3192.2222222222217;8715.78947368421
15,27.0;26.0;25.0;25.0;23.0;25.0;25.0;25.0;24.0;22.0;26.0;24.0;24.0;22.0;27.0;26.0,260.0;250.0;352.85714285714283;260.0;438.5964912280702;674.0000000000001;970.0;960.0;670.0;1190.9090909090912;1280.566037735849;1389.677419354839;1084.2268041237112;2157.9569892473114;3932.142857142858
15,27.0;26.0;25.0;26.0;25.0;25.0;25.0;23.0;25.0;25.0;24.0;22.0;25.0;26.0;26.0;26.0,260.0;250.0;635.0;625.0;723.6111111111111;865.0000000000001;588.8235294117648;800.7407407407408;1049.2105263157894;1053.9999999999998;790.515873015873;1042.926829268293;1627.9104477611938;2622.307692307692;4531.081081081081
14,27.0;26.0;25.0;25.0;25.0;25.0;23.0;25.0;25.0;24.0;22.0;25.0;26.0;26.0;26.0,260.0;250.0;352.85714285714283;492.0;661.5384615384614;472.8571428571428;692.7586206896551;964.4444444444441;986.25;727.1428571428572;1001.4925373134329;1679.23076923077;3000.540540540539;6293.636363636363
13,24.0;22.0;20.0;19.0;18.0;18.0;18.0;18.0;19.0;20.0;20.0;20.0;22.0;22.0,110.0;100.0;110.0;117.33333333333334;139.14728682170545;168.57142857142856;203.91304347826087;277.1171171171172;417.0;604.5454545454546;852.204301075269;2064.7058823529424;15101.666666666666
13,24.0;22.0;20.0;18.0;18.0;18.0;18.0;19.0;19.0;20.0;20.0;20.0;22.0;22.0,110.0;100.0;90.0;107.49999999999997;134.09090909090907;167.1428571428571;235.24590163934425;315.55555555555554;476.61290322580646;694.8275862068966;986.6049382716051;2718.46153846154;999870.0
13,24.0;22.0;20.0;19.0;18.0;18.0;18.0;19.0;20.0;20.0;20.0;20.0;22.0;22.0,110.0;100.0;110.0;117.33333333333334;139.14728682170545;168.57142857142856;232.5806451612903;355.55555555555566;518.2758620689656;728.5714285714288;995.4320987654321;2539.9999999999995;45760.00000000013
