testNumber,a,b,c,d,e,f,g,h,i
1,84.318,189.029,10000,147.054,10000,125.346,10000,131.606,10000
2,170.452,466.379,10000,609.448,10000,352.279,10000,286.619,10000
3,474.878,958.982,10000,10000,10000,562.511,10000,624.385,10000
4,162.545,434.612,10000,500.151,10000,271.023,10000,272.408,10000
5,224.529,388.873,10000,459.141,10000,502.192,10000,662.499,10000
6,356.57,533.058,10000,601.865,10000,776.791,10000,831.489,10000
7,1509.648,10000,10000,10000,10000,10000,10000,10000,10000
8,1304.114,10000,10000,10000,10000,10000,10000,10000,10000
9,2615.467,10000,10000,10000,10000,10000,10000,10000,10000
10,10000,10000,10000,10000,10000,10000,10000,10000,10000
11,10000,10000,10000,10000,10000,10000,10000,10000,10000
12,10000,10000,10000,10000,10000,10000,10000,10000,10000
13,235.067,473.074,10000,291.502,10000,424.488,10000,578.428,10000
14,602.929,846.228,10000,848.284,10000,10000,10000,862.8,10000
15,1084.515,10000,10000,10000,10000,10000,10000,10000,10000
16,403.797,736.946,10000,652.638,10000,681.999,10000,627.569,10000
17,663.986,884.033,10000,10000,10000,10000,10000,10000,10000
18,1142.449,10000,10000,10000,10000,10000,10000,10000,10000
19,723.413,794.365,10000,10000,10000,10000,10000,10000,10000
20,1175.701,10000,10000,10000,10000,10000,10000,10000,10000
21,697.19,598.022,10000,350.222,10000,396.312,10000,415.96,10000
22,775.925,580.016,10000,615.647,10000,359.592,10000,383.364,10000
23,681.12,501.502,10000,310.199,10000,303.813,10000,327.098,10000
24,3674.123,10000,10000,10000,10000,10000,10000,10000,10000
25,2490.836,10000,10000,10000,10000,10000,10000,10000,10000
26,3757.422,10000,10000,10000,10000,10000,10000,10000,10000
27,10000,10000,10000,10000,10000,10000,10000,10000,10000
28,10000,10000,10000,10000,10000,10000,10000,10000,10000
29,10000,10000,10000,10000,10000,10000,10000,10000,10000
30,10000,10000,10000,10000,10000,10000,10000,10000,10000
31,10000,10000,10000,10000,10000,10000,10000,10000,10000
32,10000,10000,10000,10000,10000,10000,10000,10000,10000
33,10000,10000,10000,10000,10000,10000,10000,10000,10000
34,10000,10000,10000,10000,10000,10000,10000,10000,10000
35,0.591,1.179,10000,1.101,10000,0.857,10000,0.951,10000
36,0.616,1.041,10000,0.926,10000,0.947,10000,1.107,10000
37,1.071,1.946,10000,1.573,10000,1.659,10000,1.761,10000
38,3.129,7.04,10000,5.23,10000,5.994,10000,5.122,10000
39,1.736,4.174,10000,3.094,10000,2.545,10000,3.716,10000
40,4.713,12.867,10000,11.916,10000,15.074,10000,12.692,10000
41,28.817,38.172,10000,49.829,10000,19.352,10000,24.072,10000
42,3201.843,10000,10000,889.122,10000,840.466,10000,558.612,10000
43,1.385,1.889,10000,1.962,10000,2.61,10000,2.516,10000
44,1.284,1.938,10000,2.416,10000,2.047,10000,2.112,10000
45,1.189,1.592,10000,1.645,10000,2.659,10000,1.486,10000
46,1.469,2.386,10000,1.699,10000,1.776,10000,2.396,10000
47,1.301,1.737,10000,1.859,10000,1.695,10000,1.851,10000
48,63.502,95.439,10000,78.306,10000,294.831,10000,203.04,10000
49,7.311,11.025,10000,10.229,10000,12.027,10000,11.084,10000
50,67.766,125.964,10000,99.585,10000,126.547,10000,124.983,10000
51,5.219,10.122,10000,10.291,10000,9.651,10000,8.748,10000
52,632.384,10000,10000,10000,10000,457.302,10000,488.037,10000
53,45.868,97.665,10000,105.259,10000,79.328,10000,89.805,10000
