testNumber,a
1,84.318
2,170.452
3,474.878
4,162.545
5,224.529
6,356.57
7,1509.648
8,1304.114
9,2615.467
10,10000
11,10000
12,10000
13,235.067
14,602.929
15,1084.515
16,403.797
17,663.986
18,1142.449
19,723.413
20,1175.701
21,697.19
22,775.925
23,681.12
24,3674.123
25,2490.836
26,3757.422
27,10000
28,10000
29,10000
30,10000
31,10000
32,10000
33,10000
34,10000
35,0.591
36,0.616
37,1.071
38,3.129
39,1.736
40,4.713
41,28.817
42,3201.843
43,1.385
44,1.284
45,1.189
46,1.469
47,1.301
48,63.502
49,7.311
50,67.766
51,5.219
52,632.384
53,45.868
54,490.916
55,3067.285
56,10000
57,10000
58,10000
59,10000
60,10000
61,10000
62,10000
63,10000
64,10000
65,10000
66,10000
67,10000
68,1399.345
69,10000
70,10000
71,10000
72,10000
73,10000
74,10000
75,0.455
76,2.844
77,23.602
78,330.777
79,1009.409
80,1.29
81,40.483
82,52.321
83,97.993
84,705.571
85,2291.732
86,205.337
87,756.47
88,713.865
89,4417.667
90,8.303
91,444.09
92,199.171
93,546.428
94,10000
95,45.291
96,15.614
97,144.436
98,54.603
99,489.335
100,424.445
101,1914.796
102,585.326
103,4531.43
104,1782.7
105,894.854
106,1510.632
107,10000
108,10000
109,10000
110,2065.378
111,10000
112,10000
113,10000
114,10000
115,0.842
116,1.316
117,1.664
118,0.77
119,0.807
120,1.604
121,2.038
122,3.097
123,1.06
124,1.209
125,2.29
126,3.166
127,3.805
128,4.407
129,1.516
130,3.142
131,5.154
132,5.324
133,8.897
134,2.147
135,0.788
136,3.448
137,6.763
138,2.854
139,26.808
140,66.549
141,839.745
142,1179.663
143,10000
144,10000
145,1.765
146,0.864
147,5.457
148,6.67
149,207.915
150,98.987
151,5.792
152,3.825
153,4.501
154,2.693
155,1176.087
156,6.656
157,10.762
158,188.768
159,0.83
160,4.278
161,36.171
162,594.51
163,0.852
164,2.325
165,41.649
166,218.633
167,3.789
168,36.772
169,218.386
170,2.395
171,10000
172,2409.775
173,72.313
174,11.104
175,1894.356
176,1290.297
177,10000
178,176.867
179,72.105
180,47.392
181,27.289
182,384.767
183,227.952
184,2346.441
185,10000
186,10000
187,15.129
188,10000
189,10000
190,88.055
191,134.443
192,0.402
193,1.441
194,2.681
195,13.506
196,10000
197,4471.152
198,1.278
199,84.122
200,223.151
201,10000
202,10000
203,10000
204,10.574
205,13.887
206,420.764
207,10000
208,10000
209,10000
210,10000
211,10000
212,4.335
213,0.306
214,0.384
215,1.252
216,1.392
217,10000
218,14.795
219,56.308
220,4601.014
221,46.424
222,10000
223,10000
224,10000
225,10000
226,10000
227,0.34
228,0.497
229,0.613
230,2.089
231,8.162
